VariableName,_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_ma,talkContent_en,talkContent_th,talkContent_ph,talkContent_in,talkContent_vn,topTalk,topTalk_ma,topTalk_en,topTalk_th,topTalk_ph,topTalk_in,topTalk_vn,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName_cn,roleName_tw,roleName,roleName_vn,roleName_kr,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
151,,,2000,,,,,,,,,,,<402>,,,,The attacks of these monsters are so strange… but incredibly strong!,Serangan makhluk ini aneh sekali... tapi sangat kuat!  ,The attacks of these monsters are so strange… but incredibly strong!,ท่าไม้ตายของพวกสัตว์ประหลาดนี่แปลกชะมัด... แต่ก็รุนแรงมาก!,Ang mga galaw ng mga halimaw na ito ay kakaiba... pero napakalakas nila!  ,Gerakan monster-monster ini aneh sekali... tapi sangat kuat!  ,Những chiêu thức của đám quái vật này kỳ lạ thật... nhưng mạnh quá!,,,,,,,,,,,,,,,,,,,,,,,,,
152,,2000,2000,,,,,,,,,,,<403>,,,,"Since they’re from the multiverse, having strange powers isn’t surprising at all.","Mereka berasal dari multiverse, jadi memiliki kuasa pelik bukanlah sesuatu yang pelik.  ","Since they’re from the multiverse, having strange powers isn’t surprising at all.",พวกเขามาจากพหุจักรวาล จะมีวิธีแปลก ๆ ก็ไม่แปลกหรอก,"Kung sila’y mula sa multiverse, kahit anong kakaibang pamamaraan ay hindi na nakagugulat.  ","Mereka datang dari multisemesta, jadi tidak heran kalau mereka punya teknik luar biasa.  ","Việc họ đến từ đa vũ trụ, thì có thủ đoạn gì cũng không có gì đáng ngạc nhiên.",,,,,,,,,,,,,,,,,,,,,,,,,
153,,4000,2000,,,,,,,,,,,<402>,,,,Master Kakashi is trapped—what should we do?!,Guru Kakashi terperangkap! Apa yang harus kita lakukan?  ,Master Kakashi is trapped—what should we do?!,อาจารย์คาคาชิติดกับแล้ว เราจะทำยังไงดี?,"Naipit si Guro Kakashi, anong gagawin natin?!  ","Guru Kakashi terjebak, kita harus bagaimana?  ","Thầy Kakashi bị mắc kẹt rồi, chúng ta phải làm sao?",,,,,,,,,,,,,,,,,,,,,,,,,
154,,6000,2000,,,,,,,,,,2,<404>,,,,Flesh… bones… destroy!,Daging dan tulang... dimusnahkan!  ,Flesh… bones… destroy!,เนื้อ... กระดูก... ทำลาย!,Laman... buto... pagwasak!  ,Daging dan tulang... hancurkan!  ,Thịt xương... hủy diệt!,,,,,,,,,,,,,,,,,,,,,,,,,
155,,8000,2000,,,,,,,,,,,<403>,,,,Don’t hold back—give it everything you’ve got!,"Jangan berlembut, gunakan segala kekuatan untuk hancurkan mereka!  ",Don’t hold back—give it everything you’ve got!,อย่าออมมือ! ใส่พลังให้สุดแล้วจัดการพวกมันเลย!,Walang awa! Ibigay ang buong lakas para durugin sila!  ,"Jangan menahan diri, keluarkan semua kekuatan untuk mengalahkan mereka!  ","Đừng nương tay, dốc toàn lực đánh tan bọn chúng!",,,,,,,,,,,,,,,,,,,,,,,,,
201,,,2000,,,,,,,,,,,<402>,,,,Ah! Master Kakashi is in danger!,Ah! Guru Kakashi dalam bahaya!  ,Ah! Master Kakashi is in danger!,อ๊าก! อาจารย์คาคาชิกำลังตกอยู่ในอันตราย!,Aah! Nasa panganib si Guro Kakashi!  ,A! Guru Kakashi dalam bahaya!  ,Á! Thầy Kakashi gặp nguy hiểm!,,,,,,,,,,,,,,,,,,,,,,,,,
202,,2000,2000,,,,,,,,,,,<403>,,,,Hmph! You’ve really pissed me off! Watch this—do you think I’m not the Medical Sage of the ninja world?!,Hmph! Kalian telah membuat aku marah! Ingat aku bukan Saint Perubatan di dunia ninja ini?!  ,Hmph! You’ve really pissed me off! Watch this—do you think I’m not the Medical Sage of the ninja world?!,หึ! พวกแกทำให้ฉันโกรธแล้วนะ! ดูซิ คิดว่าฉันไม่ใช่เซียนแพทย์แห่งโลกนินจาหรือไง?!,Hmph! Pina-init niyo ako ha! Akala niyo hindi ako ang Mediko Santo ng mundo ng ninja?!  ,Hmph! Kalian sudah membuatku marah! Kalian pikir aku bukan Sage Medis di dunia ninja ini?!  ,Hừ! Các ngươi chọc giận ta rồi! Xem ta đây không phải là Y Thánh của giới ninja chắc?!,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,2000,,,,,,,,,,,<401>,,,,"D*mn it, you guys are having fun fighting, huh? Now it’s my turn!","S*la**, korang berlawan seronok sangat ya? Sekarang giliran aku!  ","D*mn it, you guys are having fun fighting, huh? Now it’s my turn!",ไอ้พวกบ้า พวกแกสู้กันมันส์แล้วใช่มั้ย? ถึงตาฉันบ้างแล้ว!,"P*t*, kayo na lang ba ang masaya sa laban? Ako naman!  ","S**l, kalian bertarung seru banget ya? Sekarang giliran gue!  ","Đ* m*, chúng mày đánh nhau đã sướng rồi chứ gì? Đến lượt tao!",,,,,,,,,,,,,,,,,,,,,,,,,
212,,2000,2000,,,,,,,,,,,<403>,,,,"With the world in such turmoil, the village won’t be safe. We must return quickly! Use that move now!","Dunia sedang bergolak begini, kampung tidak akan aman, kita harus segera pulang! Gunakan jurus itu sekarang juga!","With the world in such turmoil, the village won’t be safe. We must return quickly! Use that move now!",โลกปั่นป่วนขนาดนี้ หมู่บ้านจะไม่ปลอดภัย เราต้องรีบกลับแล้ว! ใช้ท่านั้นเลย!,"Sa ganitong kaguluhan sa mundo, hindi na mapapanatag ang nayon. Kailangan na nating bumalik agad! Gamitin ang ultimate move!  ","Dunia kacau seperti ini, desa tidak akan tenang, kita harus segera pulang! Gunakan jurus itu!  ","Thế giới biến động thế này, làng không yên được, chúng ta phải mau về thôi! Dùng chiêu đó luôn!",,,,,,,,,,,,,,,,,,,,,,,,,
816,,,4500,1,,,,,,,,,,,10263,,,"Welcome to the live broadcast of the World Championship organized by the Pocket Baby League! I’m your host, Super Ampharos! Before the match begins, let us welcome our sacred torch ambassador—Charizard!","Selamat datang ke siaran langsung Kejohanan Dunia anjuran Persekutuan Pocket Baby, saya ialah hos anda - Super Ampharos! Sebelum pertarungan bermula, seperti biasa, mari kita sambut duta obor suci kita - Charizard!  ","Welcome to the live broadcast of the World Championship organized by the Pocket Baby League! I’m your host, Super Ampharos! Before the match begins, let us welcome our sacred torch ambassador—Charizard!",ขอต้อนรับเข้าสู่การถ่ายทอดสดการแข่งขันชิงแชมป์โลก จัดโดยสมาคม Pocket Baby! ฉันคือพิธีกร Super Ampharos! ก่อนการแข่งขันจะเริ่ม เรามาต้อนรับทูตคบเพลิงศักดิ์สิทธิ์ของเรา - ลิซาโดงะกันเถอะ!,"Maligayang pagdating sa live broadcast ng World Championship na inorganisa ng Pocket Baby Alliance, ako ang host na si Super Ampharos! Bago magsimula ang laban, ayon sa tradisyon, salubungin natin ang ating Banal na Torch Ambassador — si Charizard!  ","Selamat datang di siaran langsung Kejuaraan Dunia yang diselenggarakan oleh Aliansi Pocket Baby, saya adalah pembawa acara Super Ampharos! Sebelum pertandingan dimulai, sesuai tradisi, mari kita sambut duta api suci kita – Charizard!  ","Chào mừng đến với buổi phát sóng trực tiếp Giải vô địch thế giới do Liên minh Pocket Baby tổ chức, tôi là người dẫn chương trình Super Ampharos! Trước khi trận đấu bắt đầu, theo thông lệ, chúng ta hãy cùng chào đón đại sứ ngọn đuốc thiêng của chúng ta - Charizard!",,,,,,,,,,,,,,,,,,,,,,,,,
817,,4500,4500,1,,,,,,,,,,,10263,,,"(A gigantic figure flies down from the sky, and the audience erupts in cheers. ""Charizard!"" ""Charizard!"" ""Charizard!""...)","(Satu objek gergasi terbang turun dari langit, para penonton bersorak. ""Charizard!"" ""Charizard!"" ""Charizard!""...)  ","(A gigantic figure flies down from the sky, and the audience erupts in cheers. ""Charizard!"" ""Charizard!"" ""Charizard!""...)","(สิ่งมีชีวิตขนาดมหึมาบินลงมาจากฟากฟ้า ผู้ชมพากันโห่ร้อง ""ลิซาโดงะ!"" ""ลิซาโดงะ!"" ""ลิซาโดงะ!""…)","(Isang napakalaking nilalang ang lumipad mula sa kalangitan, at ang mga manonood ay agad nagsigawan: “Charizard!” “Charizard!” “Charizard!”...)  ","(Sebuah benda raksasa terbang dari langit, penonton langsung bersorak. ""Charizard!"" ""Charizard!"" ""Charizard!"")  ","(Một vật thể khổng lồ bay đến từ trên không, khán giả lập tức reo hò.""Charizard!"" ""Charizard!"" ""Charizard!""...",,,,,,,,,,,,,,,,,,,,,,,,,
818,,9000,4500,1,,,,,,,,,,,10263,,,"(Charizard lands on the sacred flame platform at the center of the arena, folds its wings, and bows to the contestants. Then, it turns toward the torch and breathes out a stream of flame.)","(Charizard mendarat di altar api suci di tengah arena, melipat sayap dan tunduk menyapa para peserta pertandingan. Kemudian, ia berpaling ke arah altar dan menyembur api.)  ","(Charizard lands on the sacred flame platform at the center of the arena, folds its wings, and bows to the contestants. Then, it turns toward the torch and breathes out a stream of flame.)",(ลิซาโดงะลงจอดบนแท่นคบเพลิงศักดิ์สิทธิ์กลางสนาม พับปีกลงและโค้งคำนับต่อเหล่าผู้เข้าแข่งขัน จากนั้นหันไปทางแท่นคบเพลิงแล้วพ่นไฟออกมา),"(Bumaba si Charizard sa sagradong plasa ng apoy sa gitna ng arena, inipon ang kanyang mga pakpak, at yumuko bilang pagbati sa mga kalahok. Pagkatapos, humarap ito sa altar ng apoy at bumuga ng isang liyab.)  ","(Charizard mendarat di altar api suci di tengah arena, melipat sayapnya dan menunduk memberi hormat kepada para peserta. Lalu ia menghadap altar dan menyemburkan api.)  ","(Charizard hạ cánh xuống đài lửa thiêng ở trung tâm đấu trường, thu cánh lại và cúi đầu chào những thí sinh tham gia cuộc thi lần này. Sau đó, nó quay đầu về phía đài lửa thiêng và phun ra một ngọn lửa.)",,,,,,,,,,,,,,,,,,,,,,,,,
819,,13500,4500,1,,,,,,,,,,,10263,,,"(The flame ignites atop the sacred flame platform… Under the light of the holy fire, the athletes begin their oath!)","(Api menyala di atas altar api suci... Di bawah cahaya nyalaan suci itu, para atlet bersumpah untuk memulakan!)","(The flame ignites atop the sacred flame platform… Under the light of the holy fire, the athletes begin their oath!)",(เปลวไฟลุกโชติช่วงบนแท่นคบเพลิงศักดิ์สิทธิ์… ภายใต้แสงศักดิ์สิทธิ์ของคบเพลิง เหล่านักกีฬากล่าวคำปฏิญาณเริ่มการแข่งขัน!),"(Nagliyab ang apoy sa sagradong altar… Sa liwanag ng sagradong apoy, nanumpa ang mga atleta at nagsimula na ang kumpetisyon!)","(Api suci menyala menyala di altar... Di bawah cahaya api suci, para atlet mulai mengucapkan sumpah!)","(Ngọn lửa bùng cháy trên đài lửa thiêng… Dưới ánh sáng của ngọn lửa thiêng, các vận động viên tuyên thệ bắt đầu!)",,,,,,,,,,,,,,,,,,,,,,,,,
820,,18000,1500,1,,,,,,3,,,,,,,,,,,,,,,"I swear, we will uphold the spirit of the Pokémon League, fighting with honor and integrity...!","Saya bersumpah, kami akan mengikuti semangat Liga Pokémon, bertarung dengan kehormatan dan integriti...!","I swear, we will uphold the spirit of the Pokémon League, fighting with honor and integrity...!",ข้าขอสาบานว่า พวกเราจะปฏิบัติตามจิตวิญญาณของสมาพันธ์โปเกมอน และสู้ด้วยเกียรติยศ...!,"Sumusumpa ako, kami ay susunod sa diwa ng Pokémon League, at lalaban ng may dangal...!","Saya bersumpah, kami akan mematuhi semangat Liga Pokémon, bertarung dengan kehormatan dan integritas...!","Tôi xin thề, chúng tôi sẽ tuân theo tinh thần của Liên Minh Pokémon, chiến đấu một cách quang minh chính đại...!",2,,,,,,,,,,,,,,,,,
821,,19500,1500,1,,,,,,3,,,,,,,,,,,,,,,I swear...!,Saya bersumpah...!,I swear...!,ข้าสาบาน...!,Sumusumpa ako...!,Saya bersumpah...!,Tôi tuyên thệ...!,7,,,,,,,,,,,,,,,,,
822,,21000,1500,1,,,,,,3,,,,,,,,,,,,,,,I swear...!,Saya bersumpah...!,I swear...!,ข้าสาบาน...!,Sumusumpa ako...!,Saya bersumpah...!,Tôi tuyên thệ...!,4,,,,,,,,,,,,,,,,,
823,,22500,1500,1,,,,,,3,,,,,,,,,,,,,,,I swear...!,Saya bersumpah...!,I swear...!,ข้าสาบาน...!,Sumusumpa ako...!,Saya bersumpah...!,Tôi tuyên thệ...!,9,,,,,,,,,,,,,,,,,
824,,24000,1500,1,,,,,,3,,,,,,,,,,,,,,,I swear...!,Saya bersumpah...!,I swear...!,ข้าสาบาน...!,Sumusumpa ako...!,Saya bersumpah...!,Tôi tuyên thệ...!,6,,,,,,,,,,,,,,,,,
825,,25500,1500,1,,,,,,3,,,,,,,,,,,,,,,I swear...!,Saya bersumpah...!,I swear...!,ข้าสาบาน...!,Sumusumpa ako...!,Saya bersumpah...!,Tôi tuyên thệ...!,11,,,,,,,,,,,,,,,,,
826,,27000,6000,1,,,,,,,,,2,,10263,,,"After hearing the players' oaths, I'm even more excited for this match. Since all the players are ready, I hereby declare – the official match begins!  ","Setelah mendengar ikrar para peserta, saya semakin teruja menantikan pertarungan ini. Oleh kerana semua peserta sudah bersedia, saya dengan ini mengisytiharkan - perlawanan rasmi bermula!  ","After hearing the players' oaths, I'm even more excited for this match. Since all the players are ready, I hereby declare – the official match begins!  ",หลังจากได้ฟังคำปฏิญาณของเหล่าผู้เข้าแข่งขัน ฉันยิ่งรู้สึกตื่นเต้นกับการแข่งขันครั้งนี้มากยิ่งขึ้น เพราะผู้เข้าแข่งขันทุกคนพร้อมแล้ว ฉันขอประกาศ - การแข่งขันอย่างเป็นทางการเริ่มต้นขึ้น!,"Pagkatapos marinig ang panunumpa ng mga kalahok, lalo akong nasabik sa laban na ito. Dahil handa na ang lahat ng manlalaro, idinedeklara ko - opisyal nang magsisimula ang laban!  ","Setelah mendengar sumpah para peserta, saya semakin menantikan pertandingan ini. Karena semua peserta sudah siap, saya nyatakan – pertandingan resmi dimulai!  ","Sau khi nghe xong lời tuyên thệ của các tuyển thủ, tôi càng thêm mong đợi trận đấu này. Vì tất cả các tuyển thủ đã sẵn sàng, tôi xin tuyên bố - trận đấu chính thức bắt đầu!",,,,,,,,,,,,,,,,,,,,,,,,,
850,,,4500,,,,,,,,,,,,10131,,,"Wow, this year's World Championship is truly incredible! Now, I am honored to invite the champion of this World Championship, the Pokémon Trainer representative – Satoshi from Pallet Town – to the stage to light the sacred torch!  ","Wow, Kejohanan Dunia kali ini benar-benar hebat! Seterusnya, saya dengan penuh hormat menjemput juara Kejohanan Dunia kali ini, wakil jurulatih Pokémon - Satoshi dari pekan Masara naik ke pentas untuk menyalakan obor suci!  ","Wow, this year's World Championship is truly incredible! Now, I am honored to invite the champion of this World Championship, the Pokémon Trainer representative – Satoshi from Pallet Town – to the stage to light the sacred torch!  ",ว้าว! การแข่งขันชิงแชมป์โลกครั้งนี้สุดยอดจริง ๆ! ต่อไปนี้ ขอเรียนเชิญแชมป์ของการแข่งขันครั้งนี้ ตัวแทนของเหล่าเทรนเนอร์โปเกมอน - ซาโตชิจากเมืองมาซาระ ขึ้นเวทีเพื่อจุดคบเพลิงศักดิ์สิทธิ์! ซาโตชิ... ชื่อของเรา!,"Wow, ang World Championship ngayon ay talaga namang kamangha-mangha! Ngayon, buong galang kong inaanyayahan ang kampeon ng World Championship na ito, ang kinatawan ng mga Pokémon Trainer - si Satoshi mula sa bayan ng Masara, upang umakyat sa entablado at sindihan ang sagradong sulo!  Satoshi... ang pangalan ko!  ","Wow, Kejuaraan Dunia kali ini benar-benar luar biasa! Selanjutnya, saya dengan hormat mengundang juara Kejuaraan Dunia ini, perwakilan pelatih Pokémon – Satoshi dari Kota Masara, untuk menyalakan obor suci!  Satoshi... Itu nama aku!  ","""Wow, Giải vô địch thế giới lần này thật sự quá tuyệt vời! Sau đây, tôi xin trân trọng kính mời nhà vô địch của Giải vô địch thế giới lần này, đại diện huấn luyện viên Pokemon - Satoshi đến từ thị trấn Masara lên đài thắp đuốc thánh!""Satoshi... Tên của mình!",,,,,,,,,,,,,,,,,,,,,,,,,
851,,4500,4500,,,,,,,,,,2,,10131,,,Satoshi... That's my name!  ,Satoshi... Itu nama aku!  ,Satoshi... That's my name!  ,...ทาเคชิ ตื่นเร็ว! วันนี้เป็นวันแรกที่ลูกจะได้เป็นเทรนเนอร์โปเกมอนนะ!......เสียงแม่! อา! เรากำลังฝันอยู่ สายแล้ว!,"...Satoshi, bumangon ka na! Ngayon ang unang araw mong maging isang Pokémon Trainer!......Boses ni Mama, a! Nanaginip lang pala ako, huli na!","...Satoshi, bangun cepat! Hari ini adalah hari pertama kamu menjadi pelatih Pokémon!......Suara ibu, ah! Ternyata aku sedang bermimpi, sudah terlambat!  ","""...Tiểu Trí, dậy mau! Hôm nay là ngày đầu tiên con trở thành huấn luyện viên Pokémon đó!...""...Giọng của mẹ, a! Mình đang ngủ mơ, muộn mất!",,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,2000,,,TRUE,,,,,,,,<401>,,,,"...Ash, wake up! Today is your first day as a Pokémon Trainer!...  ","...Ash kecil, bangun cepat! Hari ini hari pertama kamu menjadi jurulatih Pokémon itu!...... Suara ibu, ah! Aku sedang bermimpi, dah lambat!  ","...Ash, wake up! Today is your first day as a Pokémon Trainer!...  ",แย่แล้ว... ที่หัวหมู่บ้านมีซอมบี้จริง ๆ ด้วย ต้องรีบจัดการให้เร็ว!,"Naku! Mukhang may zombie sa bukana ng nayon, kailangan nating manalo nang mabilis!  ","Gawat... Benar saja, ada zombie di ujung desa, harus segera bertarung dan menang!  ","Không hay rồi... Quả nhiên có zombie ở đầu làng, phải đánh nhanh thắng nhanh thôi!",,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,2000,,,TRUE,,,,,,,2,<888>,,{y=100;x=0},,"...Mom's voice, ah! I was dreaming—I'm late!  ","Tidak baik ini... Benarlah, ada zombie di hujung kampung, mesti habiskan cepat-cepat!  ","...Mom's voice, ah! I was dreaming—I'm late!  ",โอ้พระเจ้า! ขอฉันพูดจ้ออีกหน่อยเถอะ! ฉันจะสอนคุณเกี่ยวกับทักษะการต่อสู้แบบใหม่!,Naku po! Pahintulutan mo muna akong magsalita pa ng kaunti! Ipapakita ko sa’yo ang mga bagong kasanayan sa pakikipaglaban.  ,Ya ampun! Izinkan saya ngoceh sedikit lagi ya! Biar saya tunjukkan kepada Anda keterampilan bertarung yang benar-benar baru ini.  ,Ôi trời! Cho phép tôi lải nhải thêm vài câu nữa nhé! Để tôi chỉ cho bạn những kỹ năng chiến đấu hoàn toàn mới này.,,,,,,,,,,,,login/new_character/xiaozhushou.png,{y=600;x=-30},,,,,,,,,,,,
1021,,,,,,TRUE,,,,,,,2,<888>,,{y=100;x=0},,"This is bad... Just as expected, there are zombies at the village entrance. We need to strike fast and win quickly!  ",Oh tidak! Izinkan saya membebel beberapa patah kata lagi! Biar saya tunjukkan kepada anda beberapa kemahiran bertarung yang serba baharu ini.  ,"This is bad... Just as expected, there are zombies at the village entrance. We need to strike fast and win quickly!  ",โอ้พระเจ้า! ขอฉันพูดจ้ออีกหน่อยเถอะ! ฉันจะสอนคุณเกี่ยวกับทักษะการต่อสู้แบบใหม่!,Naku po! Hayaan mo muna akong magsalita pa ng kaunti! Ipapakita ko sa’yo ang mga bagong kasanayan sa pakikipaglaban.  ,Ya ampun! Izinkan saya cerewet sedikit lagi ya! Biar saya tunjukkan kepada Anda keterampilan bertarung yang benar-benar baru.  ,Ôi trời! Cho phép tôi lảm nhảm thêm vài câu nữa nhé! Để tôi chỉ cho bạn những kỹ năng chiến đấu hoàn toàn mới.,,,,,,,,,,,,login/new_character/xiaozhushou.png,,,,,,,,,effect/shouyindao.skel,,,,
1022,,,,,,,,,,1,,,,,,,,Oh no! Allow me to babble a little more! Let me show you these completely new combat skills.  ,Oh tidak! Izinkan saya berceloteh sedikit lagi! Biar saya tunjukkan kepada anda kemahiran bertarung yang serba baharu ini.  ,Oh no! Allow me to babble a little more! Let me show you these completely new combat skills.  ,เลือกทักษะแล้ว ให้คลิกที่เป้าหมายที่ทักษะจะส่งผล,"Pagkatapos pumili ng kasanayan, i-click ang target na tatamaan nito.  ","Setelah memilih skill, klik pada target tempat skill akan digunakan.  ","Chọn kỹ năng xong, hãy nhấp vào mục tiêu tác dụng của kỹ năng nhé.",,,,,,,,,,,,login/new_character/xiaozhushou.png,,,,,,,,<bottomRightPanel;skill3>,effect/shouyindao.skel,,,,
