8,skillLevelGoldNotEnough,"Insufficient coins, cannot upgrade skill!","Không đủ tiền xu, không thể nâng cấp kỹ năng!","Syiling tidak mencukupi, tidak boleh naik taraf kemahiran!","Insufficient coins, cannot upgrade skill!","Koin tidak cukup, tidak bisa upgrade skill!",เหรียญไม่เพียงพอ ไม่สามารถอัปเกรดสกิลได้!  ,"Walang sapat na coins, hindi maaring i-upgrade ang skill!  "
9,skillLevelItemsNotEnough,"Not enough items, cannot upgrade skill!","Đạo cụ không đủ, kỹ năng không thể nâng cấp!","Alat tidak mencukupi, kemahiran tidak boleh dinaik taraf!","Not enough items, cannot upgrade skill!","Item tidak cukup, tidak bisa upgrade skill!",ไอเทมไม่เพียงพอ ไม่สามารถอัปเกรดสกิลได้!  ,"Walang sapat na item, hindi maaring i-upgrade ang skill!  "
10,skillLevelLevelNotEnough,"Hero level too low, cannot upgrade skill!","Cấp độ anh hùng không đủ, kỹ năng không thể nâng cấp!","Tahap wira tidak mencukupi, kemahiran tidak boleh dinaik taraf!","Hero level too low, cannot upgrade skill!","Level hero terlalu rendah, tidak bisa upgrade skill!",เลเวลฮีโร่ไม่เพียงพอ ไม่สามารถอัปเกรดสกิลได้!  ,"Hindi sapat ang antas ng bayani, hindi maaring i-upgrade ang skill!  "
11,strategyUnlockLevelNotEnough,"Level too low, cannot unlock strategic skill!","Cấp độ không đủ, kỹ năng chiến lược không thể mở khóa!","Tahap tidak mencukupi, kemahiran strategi tidak boleh dibuka!","Level too low, cannot unlock strategic skill!","Level terlalu rendah, tidak bisa buka skill strategi!",เลเวลไม่เพียงพอ ไม่สามารถปลดล็อกสกิลกลยุทธ์ได้!  ,"Hindi sapat ang antas, hindi maaring i-unlock ang strategic skill!  "
12,strategyUnlockItemNotEnough,"Not enough items, cannot unlock strategic skill!","Đạo cụ không đủ, kỹ năng chiến lược không thể mở khóa!","Alat tidak mencukupi, kemahiran strategi tidak boleh dibuka!","Not enough items, cannot unlock strategic skill!","Item tidak cukup, tidak bisa buka skill strategi!",ไอเทมไม่เพียงพอ ไม่สามารถปลดล็อกสกิลกลยุทธ์ได้!  ,"Walang sapat na item, hindi maaring i-unlock ang strategic skill!  "
13,buyShopTimesLimit,Purchase limit in store reached!,Số lần mua giới hạn trong cửa hàng đã hết!,Bilangan pembelian dalam kedai telah habis!,Purchase limit in store reached!,Batas pembelian di toko sudah tercapai!,จำนวนครั้งซื้อในร้านหมดแล้ว!  ,Naubos na ang bilang ng beses na pwedeng bumili sa shop!  
14,zhulianItemsNotEnough,"Not enough items, cannot train!","Đạo cụ không đủ, không thể rèn luyện!","Alat tidak mencukupi, tidak boleh berlatih!","Not enough items, cannot train!","Item tidak cukup, tidak bisa berlatih!",ไอเทมไม่เพียงพอ ไม่สามารถฝึกฝนได้!  ,"Walang sapat na item, hindi maaring magsanay!  "
15,strategyUpdateMax,"Strategic skill is at max level, cannot upgrade!","Kỹ năng chiến lược đã đạt cấp cao nhất, không thể nâng cấp!","Kemahiran strategi telah mencapai tahap tertinggi, tidak boleh dinaik taraf!","Strategic skill is at max level, cannot upgrade!","Skill strategi sudah maksimal, tidak bisa naik lagi!",สกิลกลยุทธ์ถึงระดับสูงสุดแล้ว ไม่สามารถอัปเกรดได้!  ,"Naabot na ng strategic skill ang pinakamataas na antas, hindi maaring i-upgrade!  "
16,taskUnFinished,Quest not yet completed!,Nhiệm vụ chưa hoàn thành!,Misi belum disiapkan!,Quest not yet completed!,Quest belum selesai!,ภารกิจยังไม่เสร็จสิ้น!  ,Hindi pa natatapos ang misyon!  
17,taskClosed,Quest reward already claimed!,Phần thưởng nhiệm vụ đã nhận!,Ganjaran misi telah diterima!,Quest reward already claimed!,Hadiah quest sudah diklaim!,รับรางวัลภารกิจไปแล้ว!  ,Nakuha na ang gantimpala ng misyon!  
18,fragCombCardExisted,"Hero already exists, cannot merge fragments!","Anh hùng đã tồn tại, không thể ghép mảnh!","Wira telah wujud, tidak boleh gabungkan serpihan!","Hero already exists, cannot merge fragments!","Hero sudah ada, tidak bisa digabung fragmennya!",ฮีโร่นี้มีอยู่แล้ว ไม่สามารถรวมชิ้นส่วนได้!  ,"Umiiral na ang bayani, hindi maaring pagsamahin ang mga piraso!  "
19,levelLessNoOpened,"Main character level too low, cannot unlock!","Cấp độ nhân vật chính không đủ, không thể mở!","Tahap watak utama tidak mencukupi, tidak boleh dibuka!","Main character level too low, cannot unlock!","Level karakter utama terlalu rendah, tidak bisa dibuka!",เลเวลตัวละครหลักไม่เพียงพอ ไม่สามารถเปิดใช้งานได้!  ,"Hindi sapat ang antas ng pangunahing karakter, hindi maaring i-unlock!  "
20,rankChanged,"Main character rank changed, please choose another opponent!","Xếp hạng nhân vật chính đã thay đổi, vui lòng chọn đối thủ khác!","Kedudukan watak utama telah berubah, sila pilih lawan lain!","Main character rank changed, please choose another opponent!","Peringkat karakter utama berubah, silakan pilih lawan lain!",อันดับของตัวละครหลักเปลี่ยนไปแล้ว กรุณาเลือกคู่ต่อสู้ใหม่!  ,"Nagbago na ang ranggo ng pangunahing karakter, mangyaring pumili ng ibang kalaban!  "
21,rankBigger,You cannot challenge an opponent weaker than yourself!,Bạn không thể thách đấu đối thủ yếu hơn mình!,Anda tidak boleh mencabar lawan yang lebih lemah daripada anda!,You cannot challenge an opponent weaker than yourself!,Kamu tidak bisa menantang lawan yang lebih lemah dari kamu!,คุณไม่สามารถท้าทายคู่ต่อสู้ที่อ่อนแอกว่าได้!  ,Hindi mo pwedeng hamunin ang kalaban na mas mahina sa’yo!  
22,rankTimerNoCD,Next challenge time has not arrived!,Thời gian thách đấu tiếp theo chưa đến!,Masih belum tiba masa cabaran seterusnya!,Next challenge time has not arrived!,Waktu tantangan berikutnya belum tiba!,ยังไม่ถึงเวลาท้าทายครั้งถัดไป!  ,Hindi pa panahon para sa susunod na hamon!  
23,rankEnemyChanged,"Opponent rank changed, please choose another opponent!","Xếp hạng đối thủ đã thay đổi, vui lòng chọn đối thủ khác!","Kedudukan lawan telah berubah, sila pilih lawan lain!","Opponent rank changed, please choose another opponent!","Peringkat lawan berubah, silakan pilih lawan lain!",อันดับของคู่ต่อสู้เปลี่ยนไปแล้ว กรุณาเลือกคู่ต่อสู้ใหม่!  ,"Nagbago na ang ranggo ng kalaban, mangyaring pumili ng ibang kalaban!  "
24,rankEnemyBattling,"Opponent is currently in battle, please choose another!","Đối thủ đang chiến đấu, vui lòng chọn đối thủ khác!","Lawan sedang bertarung, sila pilih lawan lain!","Opponent is currently in battle, please choose another!","Lawan sedang bertarung, silakan pilih lawan lain!",คู่ต่อสู้อยู่ระหว่างการต่อสู้ กรุณาเลือกคู่ต่อสู้อื่น!  ,"Ang kalaban ay kasalukuyang nakikipaglaban, mangyaring pumili ng iba!  "
25,rankPrevNoFinished,"Previous battle not finished, result undecided, please return later!","Trận chiến trước chưa kết thúc, thắng thua chưa rõ, vui lòng quay lại sau!","Pertarungan sebelum ini belum selesai, keputusan belum diketahui, sila kembali kemudian!","Previous battle not finished, result undecided, please return later!","Pertarungan sebelumnya belum selesai, hasil belum jelas, silakan kembali nanti!",การต่อสู้ครั้งก่อนยังไม่จบ ยังไม่ทราบผลแพ้ชนะ กรุณากลับมาทีหลัง!  ,"Hindi pa tapos ang nakaraang laban, hindi pa tiyak ang resulta, bumalik ulit mamaya!  "
26,pvpShopRefresh,"Arena shop updated, please make selections again!","Cửa hàng đấu trường đã được cập nhật, hãy chọn lại nhé!","Kedai arena telah dikemas kini, sila pilih semula!","Arena shop updated, please make selections again!","Toko arena telah diperbarui, silakan pilih lagi!",ร้านค้าอารีน่าได้รับการอัปเดต กรุณาเลือกใหม่!  ,"Na-update na ang shop ng arena, mangyaring pumili muli!  "
27,pvpShopRefreshRMBNotEnough,"Enough diamonds, cannot refresh!","Đủ kim cương, không thể làm mới!","Emas cukup, tidak boleh muat semula!","Enough diamonds, cannot refresh!","Permata cukup, tidak bisa segarkan!",เพชรเพียงพอ ไม่สามารถรีเฟรชได้!  ,"May sapat na diamante, hindi maaring i-refresh!  "
28,drawCardRMBNotEnough,Not enough diamonds to draw cards!,Không đủ kim cương để rút thẻ!,"Permata tidak mencukupi, tidak boleh undi kad!",Not enough diamonds to draw cards!,Tidak cukup permata untuk draw kartu!,เพชรไม่พอ ไม่สามารถสุ่มการ์ดได้!  ,Walang sapat na diamante para mag-draw!  
29,drawCardGoldNotEnough,Not enough gold to draw cards!,"Không đủ vàng, không thể rút thẻ!","Emas tidak mencukupi, tidak boleh undi kad!",Not enough gold to draw cards!,Tidak cukup emas untuk draw kartu!,ทองไม่พอ ไม่สามารถสุ่มการ์ดได้!  ,Walang sapat na ginto para mag-draw!  
30,freeDrawCardTimerNoCD,Free draw is not available yet!,"Thời gian miễn phí chưa đến, không thể rút thẻ!","Masa percuma belum tiba, tidak boleh undi kad!",Free draw is not available yet!,Belum waktunya draw gratis!,ยังไม่ถึงเวลาฟรี ไม่สามารถสุ่มการ์ดได้!  ,Hindi pa oras para sa libreng draw!  
31,vipLevelMax,"VIP reached max level, cannot purchase!","VIP đã đạt cấp cao nhất, không thể mua!","VIP telah mencapai tahap tertinggi, tidak boleh membeli!","VIP reached max level, cannot purchase!","VIP sudah maksimal, tidak bisa membeli!",VIP ถึงระดับสูงสุดแล้ว ไม่สามารถซื้อได้!  ,"Naabot na ang pinakamataas na VIP level, hindi na maaring bumili!  "
32,vipLevelUpRMBNotEnough,Not enough diamonds to recharge VIP!,"Không đủ kim cương, VIP không thể nạp tiền!","Permata tidak mencukupi, VIP tidak boleh topup!",Not enough diamonds to recharge VIP!,Tidak cukup permata untuk top-up VIP!,เพชรไม่พอ ไม่สามารถเติม VIP ได้!  ,"Walang sapat na diamante, hindi maaring i-recharge ang VIP!  "
33,pwBuyMax,Today’s ranked match purchase limit reached!,Số lần mua thi đấu xếp hạng hôm nay đã đạt giới hạn!,Had pembelian perlawanan berperingkat hari ini telah dicapai!,Today’s ranked match purchase limit reached!,Batas pembelian ranked match hari ini sudah tercapai!,จำนวนครั้งซื้อการแข่งขันจัดอันดับวันนี้ถึงขีดจำกัดแล้ว!  ,Naabot na ang limit ng pagbili ng ranked match ngayon!  
34,buyRMBNotEnough,Not enough diamonds to make purchase!,Không đủ kim cương để mua!,Permata tidak mencukupi untuk membeli!,Not enough diamonds to make purchase!,Tidak cukup permata untuk membeli!,เพชรไม่พอ ไม่สามารถซื้อได้!  ,Walang sapat na diamante para bumili!  
35,staminaBuyMax,Today’s stamina purchase limit reached!,Số lần mua thể lực hôm nay đã đạt giới hạn!,Had pembelian tenaga hari ini telah dicapai!,Today’s stamina purchase limit reached!,Batas pembelian stamina hari ini sudah tercapai!,จำนวนครั้งซื้อพลังงานวันนี้ถึงขีดจำกัดแล้ว!  ,Naabot na ang limit ng pagbili ng stamina ngayon!  
36,staminaBuyNoNeed,"Stamina is full, no need to purchase!","Thể lực đã đạt tối đa, không cần mua thêm!","Tenaga sudah penuh, tidak perlu membeli!","Stamina is full, no need to purchase!","Stamina sudah penuh, tidak perlu beli lagi!",พลังงานเต็มแล้ว ไม่ต้องซื้อเพิ่ม!  ,"Puno na ang stamina, hindi na kailangan bumili pa!  "
37,herogateBuyMax,Today’s hard stage reset limit reached!,Số lần đặt lại ải khó hôm nay đã đạt giới hạn!,Had reset peringkat sukar hari ini telah dicapai!,Today’s hard stage reset limit reached!,Batas reset stage sulit hari ini sudah tercapai!,จำนวนครั้งรีเซ็ตด่านยากวันนี้ถึงขีดจำกัดแล้ว!  ,Naabot na ang limit ng pag-reset ng hard stage ngayon!  
38,huodongNoOpen,Event not open yet!  ,Sự kiện chưa mở!,Acara belum dibuka!  ,Event not open yet!  ,Event belum dibuka!  ,กิจกรรมยังไม่เปิด!  ,Hindi pa bukas ang event!  
39,huodongLevelNotEnough,"Level not sufficient, cannot open event!  ","Cấp độ không đủ, không thể mở sự kiện!","Tahap tidak mencukupi, tidak boleh buka acara!  ","Level not sufficient, cannot open event!  ","Level tidak cukup, tidak bisa buka event!  ",เลเวลไม่เพียงพอ เปิดกิจกรรมไม่ได้!  ,"Hindi sapat ang level, hindi maaring buksan ang event!  "
40,huodongChanllengeToMuch,Event challenge attempts have reached the limit!  ,Số lần thử thách sự kiện đã đạt giới hạn!,Had cabaran acara telah dicapai!  ,Event challenge attempts have reached the limit!  ,Jumlah tantangan event sudah mencapai batas!  ,จำนวนครั้งท้าทายกิจกรรมถึงขีดจำกัดแล้ว!  ,Naabot na ang limit ng challenge sa event!  
41,gateStaminaNotEnough,"Not enough stamina, cannot attempt the stage!  ","Thể lực không đủ, không thể thử thách ải!","Stamina tidak mencukupi, tidak boleh mencabar peringkat!  ","Not enough stamina, cannot attempt the stage!  ","Stamina tidak cukup, tidak bisa coba stage!  ",พลังไม่พอ ไม่สามารถท้าด่านได้!  ,"Walang stamina, hindi maaring subukan ang stage!  "
42,gateNoOpen,You cannot challenge this stage!  ,Ải này bạn không thể thử thách!,Tidak boleh mencabar peringkat ini!  ,You cannot challenge this stage!  ,Stage ini tidak bisa ditantang!  ,ด่านนี้คุณไม่สามารถท้าได้!  ,Hindi mo ma-challenge ang stage na ito!  
43,gateCardsError,Incorrect hero deployed!  ,Anh hùng ra trận không đúng!,Hero yang dikerahkan salah!  ,Incorrect hero deployed!  ,Hero yang dikirim salah!  ,ฮีโร่ออกสนามไม่ถูกต้อง!  ,Maling hero ang ipinadala!  
44,gateBenchCardsError,Incorrect hero in reserve!  ,Anh hùng dự bị không đúng!,Hero simpanan salah!  ,Incorrect hero in reserve!  ,Hero cadangan salah!  ,ฮีโร่สำรองไม่ถูกต้อง!  ,Maling hero ang nasa reserve!  
45,fragCombfragNotEnough,"Not enough fragments, cannot combine!  ","Mảnh ghép không đủ, không thể hợp thành!","Serpihan tidak mencukupi, tidak boleh digabungkan!  ","Not enough fragments, cannot combine!  ","Fragmen tidak cukup, tidak bisa gabung!  ",ชิ้นส่วนไม่พอ ไม่สามารถรวมได้!  ,"Kulangan sa fragment, hindi maaring mag-merge!  "
46,lianjinRMBNotEnough,"Not enough diamonds, cannot smelt!  ","Không đủ kim cương, không thể luyện kim!","Permata tidak mencukupi, tidak boleh smelting!  ","Not enough diamonds, cannot smelt!  ","Diamond tidak cukup, tidak bisa smelting!  ",ไม่พอเพชร ไม่สามารถตีเหล็กได้!  ,"Walang sapat na diamonds, hindi maaring mag-smelt!  "
47,lianjinMax,Smelting limit reached today!  ,Số lần luyện kim hôm nay đã đạt giới hạn!,Had smelting hari ini telah dicapai!  ,Smelting limit reached today!  ,Batas smelting hari ini sudah tercapai!  ,จำนวนตีเหล็กวันนี้ถึงขีดจำกัดแล้ว!  ,Naabot na ang limit ng smelt ngayon!  
48,saodangTimesNotEnough,"Not enough sweep attempts, cannot sweep!  ","Số lần quét không đủ, không thể quét!","Jumlah sweep tidak mencukupi, tidak boleh sweep!  ","Not enough sweep attempts, cannot sweep!  ","Jumlah sweep tidak cukup, tidak bisa sweep!  ",จำนวนการสแกนไม่พอ ไม่สามารถสแกนได้!  ,"Walang sapat na sweep tries, hindi maaring mag-sweep!  "
49,saodangGateNoStar,"This stage is not 3-star, cannot sweep!  ","Ải này chưa đạt 3 sao, bạn không thể quét!","Peringkat ini belum 3 bintang, tidak boleh sweep!  ","This stage is not 3-star, cannot sweep!  ","Stage ini belum 3 bintang, tidak bisa sweep!  ",ด่านนี้ยังไม่ 3 ดาว ไม่สามารถสแกนได้!  ,"Hindi pa 3-star ang stage, hindi maaring sweep!  "
50,saodangGateTimesNotEnough,"Remaining challenge attempts not enough, cannot sweep!  ","Số lần thử thách còn lại của ải này không đủ, bạn không thể quét!","Jumlah cabaran tinggal tidak mencukupi, tidak boleh sweep!  ","Remaining challenge attempts not enough, cannot sweep!  ","Sisa tantangan tidak cukup, tidak bisa sweep!  ",จำนวนการท้าวที่เหลือไม่พอ ไม่สามารถสแกนได้!  ,"Walang sapat na challenge tries, hindi maaring sweep!  "
51,saodangMultiVIPNotEnough,VIP level not sufficient for multi-sweep!  ,"Cấp độ VIP không đủ, không thể quét nhiều lần!","Tahap VIP tidak memadai, tidak boleh multi-sweep!  ",VIP level not sufficient for multi-sweep!  ,Level VIP tidak mencukupi untuk multi-sweep!  ,VIP ไม่พอ ไม่สามารถสแกนหลายครั้ง!  ,"Level ng VIP kulang, hindi pwedeng multi-sweep!  "
52,yuanzhengNoOpen,"Level too low, cannot open challenge!  ","Cấp độ không đủ, không thể mở thử thách!","Tahap tidak mencukupi, tidak boleh buka cabaran!  ","Level too low, cannot open challenge!  ","Level terlalu rendah, tidak bisa buka challenge!  ",เลเวลไม่พอ ไม่สามารถเปิดความท้าได้!  ,"Level kulang, hindi maaring buksan ang challenge!  "
53,yuanzhengShopRefresh,"Challenge shop refreshed, please shop again!  ","Cửa hàng thử thách đã làm mới, vui lòng mua sắm lại!","Kedai cabaran telah dikemas kini, sila beli lagi!  ","Challenge shop refreshed, please shop again!  ","Toko challenge sudah di-refresh, silakan belanja lagi!  ",ร้านกิจกรรมได้รีเฟรชแล้ว โปรดเลือกใหม่!  ,"Na-refresh na ang challenge shop, pakiusap bumili muli!  "
54,shopCoinNotEnough,Not enough points to purchase!  ,"Điểm không đủ, không thể mua!","Mata tidak mencukupi, tidak boleh beli!  ",Not enough points to purchase!  ,Poin tidak cukup untuk beli!  ,คะแนนไม่พอ ไม่สามารถซื้อได้!  ,Walang sapat na points para bumili!  
55,yuanzhengShopRefreshRMBNotEnough,Not enough diamonds to refresh!  ,Không đủ kim cương để làm mới!,"Permata tidak mencukupi, tidak boleh refresh!  ",Not enough diamonds to refresh!  ,Diamond tidak cukup untuk refresh!  ,ไม่พอเพชร ไม่สามารถรีเฟรชได้!  ,Walang sapat na diamonds para mag-refresh!  
56,kgStaminaNotEnough,"Not enough stamina, cannot do archaeology!  ","Hoạt lực không đủ, không thể khảo cổ!","Stamina tidak mencukupi, tidak boleh arkeologi!  ","Not enough stamina, cannot do archaeology!  ","Stamina tidak cukup, tidak bisa arkeologi!  ",พลังไม่พอ ไม่สามารถสำรวจโบราณคดีได้!  ,"Stamina kulang, hindi maaring mag-archeology!  "
57,kgLevelNotEnough,"Level too low, cannot access archaeology!  ","Cấp độ không đủ, không thể khảo cổ!","Tahap tidak mencukupi, tidak boleh arkeologi!  ","Level too low, cannot access archaeology!  ","Level terlalu rendah, tidak bisa arkeologi!  ",เลเวลไม่พอ ไม่สามารถสำรวจโบราณคดีได้!  ,"Level kulang, hindi maaring mag-archeology!  "
58,kgStaminaBuyNoNeed,"Stamina full, no need to buy more!  ","Hoạt lực đã đạt tối đa, không cần mua thêm!","Stamina penuh, tidak perlu beli!  ","Stamina full, no need to buy more!  ","Stamina penuh, tidak perlu beli!  ",พลังเต็มแล้ว ไม่ต้องซื้อเพิ่ม!  ,"Puno na ang stamina, hindi kailangan bumili!  "
59,kgStaminaBuyMax,Stamina purchase limit reached today!  ,Số lần mua hoạt lực hôm nay đã đạt giới hạn!,Had beli stamina hari ini telah dicapai!  ,Stamina purchase limit reached today!  ,Batas pembelian stamina hari ini sudah tercapai!  ,ซื้อพลังวันนี้ถึงขีดจำกัดแล้ว!  ,Naabot na ang limit ng bumili ng stamina ngayon!  
60,kgShopRefresh,Archaeology shop expired!  ,Cửa hàng khảo cổ đã hết hạn!,Kedai arkeologi telah tamat tempoh!  ,Archaeology shop expired!  ,Toko arkeologi sudah kedaluwarsa!  ,ร้านค้าโบราณคดีหมดอายุแล้ว!  ,Ang archeology shop ay nag-expire na!  
61,yyHuoDongNoActive,This event cannot be claimed!  ,Sự kiện này không thể nhận thưởng!,Event ini tidak boleh diklaim!  ,This event cannot be claimed!  ,Event ini tidak bisa diklaim!  ,กิจกรรมนี้ไม่สามารถรับรางวัลได้!  ,Hindi mo pwedeng i-claim ang reward para sa event na ito!  
62,yyHuoDongRechargeNoTimes,Monthly card claim period expired!  ,Thời gian nhận thẻ tháng đã hết hạn!,Masa untuk tebus kad bulanan telah tamat!  ,Monthly card claim period expired!  ,Waktu klaim kartu bulanan telah berakhir!  ,หมดเวลากดรับบัตรรายเดือนแล้ว!  ,Natapos na ang claim time para sa monthly card!  
63,yyHuoDongAlreadyGet,Today's event reward has been claimed!  ,Phần thưởng sự kiện hôm nay đã nhận!,Ganjaran event hari ini sudah diklaim!  ,Today's event reward has been claimed!  ,Reward event hari ini sudah diklaim!  ,รับรางวัลกิจกรรมวันนี้แล้ว!  ,Naka-claim na ang reward ng event today!  
64,kgMineRobbing,"The mine is being raided, you cannot perform any actions, pray for defense success!  ","Mỏ khoáng đang bị cướp, bạn không thể thực hiện bất kỳ thao tác nào, hãy cầu nguyện phòng thủ thành công!","Kawasan lombong dirampas, tidak boleh berbuat apa-apa, berdoalah agar pertahanan berjaya!  ","The mine is being raided, you cannot perform any actions, pray for defense success!  ","Tambang sedang diserang, Anda tidak bisa melakukan apapun, doakan pertahanan berhasil!  ",แร่ถูกปล้นอยู่ คุณไม่สามารถทำอะไรได้ สวดภาวนาให้ป้องกันสำเร็จ!  ,"Ang mine ay ninakaw, hindi ka pwedeng gumawa ng kahit ano, ipanalangin na magtagumpay ang depensa!  "
65,kgMineNotYours,This is not your mine!  ,Đây không phải mỏ khoáng của bạn!,Ini bukan lombong anda!  ,This is not your mine!  ,Ini bukan tambang Anda!  ,นี่ไม่ใช่แร่ของคุณ!  ,Hindi iyo ang mine na ito!  
66,kgMineRefresh,"Mine status updated, please refresh!  ","Trạng thái mỏ khoáng đã cập nhật, vui lòng làm mới!","Status lombong telah dikemaskini, sila refresh!  ","Mine status updated, please refresh!  ","Status tambang diperbarui, silakan refresh!  ",สถานะแร่เปลี่ยนแล้ว กรุณารีเฟรช!  ,"Nagbago ang status ng mine, pakiusap i-refresh!  "
67,twLevelNotEnough,"Level too low, cannot enter Infinite Tower!  ","Cấp độ không đủ, không thể vào Tháp Vô Hạn!","Level tidak mencukupi, tidak boleh masuk Tower Tak Terbatas!  ","Level too low, cannot enter Infinite Tower!  ","Level terlalu rendah, tidak bisa masuk Infinite Tower!  ",เลเวลไม่พอ ไม่สามารถเข้าสู่หอคอยไร้ขีดจำกัดได้!  ,"Level kulang, hindi pwedeng pumasok sa Infinite Tower!  "
68,twFailedMax,"No more failure attempts in Infinite Tower today, cannot challenge!  ","Tháp Vô Hạn hôm nay đã hết số lần thất bại, không thể thử thách!","Tower Tak Terbatas hari ini kehabisan peluang gagal, tidak boleh cabar!  ","No more failure attempts in Infinite Tower today, cannot challenge!  ","Infinite Tower hari ini habis kesempatan gagal, tidak bisa challenge!  ",หอคอยไร้ขีดจำกัดวันนี้หมดโอกาสแพ้แล้ว ไม่สามารถท้าได้!  ,"Naubos na ang failure count sa Infinite Tower ngayong araw, hindi pwedeng subukan!  "
69,twInTopFloor,"At top floor already, no need to sweep!  ","Đã ở tầng cao nhất lịch sử, không cần quét!","Telah mencapai tingkat tertinggi, tidak perlu sweep!  ","At top floor already, no need to sweep!  ","Sudah di lantai tertinggi, tidak perlu sweep!  ",อยู่ชั้นสูงสุดแล้ว ไม่ต้องสแกน!  ,"Nasa top floor na, hindi na kailangan i-sweep!  "
70,roleNameExisted,Character name already in use!  ,Tên nhân vật này đã được sử dụng!,Nama watak ini telah digunakan!  ,Character name already in use!  ,Nama karakter ini sudah digunakan!  ,ชื่อตัวละครนี้มีคนใช้แล้ว!  ,Ang character name na ito ay ginagamit na!  
71,roleNameTooLong,Character name too long!  ,Tên nhân vật quá dài!,Nama terlalu panjang!  ,Character name too long!  ,Nama terlalu panjang!  ,ชื่อตัวละครยาวเกินไป!  ,Ang pangalan sobrang haba!  
72,roleNameRMBNotEnough,Not enough diamonds to rename!  ,Không đủ kim cương để đổi tên!,Tidak cukup permata untuk tukar nama!  ,Not enough diamonds to rename!  ,Diamond tidak cukup untuk ganti nama!  ,ไม่พอเพชร ไม่สามารถเปลี่ยนชื่อได้!  ,Walang sapat na diamonds para mag-change ng name!  
73,roleNameInvalid,Character name invalid!  ,Tên nhân vật không phù hợp!,Nama watak tidak sesuai!  ,Character name invalid!  ,Nama karakter tidak valid!  ,ชื่อตัวละครไม่เหมาะสม!  ,Ang character name ay hindi angkop!  
74,giftNoExisted,Gift pack code does not exist!  ,Mã kích hoạt gói quà không tồn tại!,Kod pakej hadiah tidak wujud!  ,Gift pack code does not exist!  ,Kode paket hadiah tidak ada!  ,รหัสแพ็คเกจของขวัญไม่ถูกต้อง!  ,Hindi umiiral ang gift pack code!  
75,giftOpened,Gift pack already claimed!  ,Gói quà đã nhận!,Pakej hadiah telah dituntut!  ,Gift pack already claimed!  ,Paket hadiah sudah diklaim!  ,แพ็คเกจของขวัญได้รับแล้ว!  ,Na-claim na ang gift pack!  
