VariableName,tab,sender_cn,sender_vn,sender_th,sender_in,sender,subject_ma,subject_ph,subject_en,subject_vn,subject_th,subject_in,subject,attachs,special,content_cn,content_vn,content,content_ma,content_ph,content_en,content_th,content_in
9,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Harian,Pang-araw-araw na Login Reward,Daily Login Reward,Daily Login Reward,รางวัลล็อกอินรายวัน,Hadiah Login Harian,Daily Login Reward,{vip=5;rmb=3000;gold=100000},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayon. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
10,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Harian,Pang-araw-araw na Login Reward,Daily Login Reward,Daily Login Reward,รางวัลล็อกอินรายวัน,Hadiah Login Harian,Daily Login Reward,{vip=7;rmb=3000;gold=100000},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayon. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!"
11,,Admin,Admin,Admin,Admin,Admin,"Pek Ujian, untuk ujian sahaja","Test Gift Pack, para lang sa testing","Test Gift Pack, for testing only","Test Gift Pack, for testing only",แพ็กของขวันทดสอบ ใช้สำหรับการทดสอบเท่านั้น,"Paket Tes, hanya untuk uji coba","Test Gift Pack, for testing only",{14=99},,,,,,,,,
12,,Admin,Admin,Admin,Admin,Admin,Pek Pampasan “Mohon Maaf”,Compensation Pack “Pasensya na po”,Compensation Pack “Please Forgive Us”,Compensation Pack “Please Forgive Us”,"แพ็กชดเชย ""ขออภัย""","Paket Kompensasi ""Mohon Ampun""",Compensation Pack “Please Forgive Us”,{rmb=300;gold=50000},,"Các bạn thân mến:\n Máy chủ hiện đang được bảo trì! Vì nhân viên của chúng tôi đã mở ""Cánh cửa tối"" và phát hành nhiều lỗi, gây ra những rắc rối và tổn thất không đáng có cho bạn nên chúng tôi xin bồi thường cho bạn. Nội dung bồi thường đã được gửi qua email, vui lòng kiểm tra kịp thời. \n Lần đầu thử nghiệm mong các bạn thông cảm!","Dear players:\n The server is currently under maintenance! Since our staff opened the ""Dark Gate"" and released many bugs, causing unnecessary trouble and loss to you, we would like to compensate you. The compensation has been sent via email, please check it in time. \n This is the first test, we hope for your understanding!  ","Dear players:\n The server is currently under maintenance! Since our staff opened the ""Dark Gate"" and released many bugs, causing unnecessary trouble and loss to you, we would like to compensate you. The compensation has been sent via email, please check it in time. \n This is the first test, we hope for your understanding!  ","Para pemain yang dihormati:\n Pelayan kini sedang dalam penyelenggaraan! Disebabkan pasukan kami telah membuka ""Pintu Gelap"" dan menyebabkan pelbagai pepijat, yang menyebabkan kesulitan dan kerugian kepada anda, kami ingin memberikan pampasan. Kandungan pampasan telah dihantar melalui emel, sila semak dengan segera. \n Mohon maaf atas kesulitan ini semasa percubaan pertama!","Minamahal na mga manlalaro:\n Kasalukuyang isinasagawa ang maintenance ng server! Dahil sa aming staff na nagbukas ng “Madilim na Pinto” at naglabas ng maraming bug na nagdulot ng abala at di kailangang pagkalugi sa inyo, kami ay nagpadala ng kompensasyon. Ang nilalaman ng kompensasyon ay ipinadala sa pamamagitan ng email, pakisuri agad. \nUna itong pagsubok, sana ay inyong maunawaan!","Dear players:\n The server is currently under maintenance! Since our staff opened the ""Dark Gate"" and released many bugs, causing unnecessary trouble and loss to you, we would like to compensate you. The compensation has been sent via email, please check it in time. \n This is the first test, we hope for your understanding!  ","เพื่อนๆ ที่รัก:\n ขณะนี้เซิร์ฟเวอร์กำลังอยู่ระหว่างการบำรุงรักษา! เนื่องจากทีมงานของเราได้เปิด ""ประตูแห่งความมืด"" และเกิดข้อผิดพลาดหลายอย่าง ทำให้เกิดความไม่สะดวกและความเสียหายโดยไม่ตั้งใจ เราจึงขอมอบค่าชดเชยให้คุณ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nการทดสอบครั้งแรก หวังว่าทุกคนจะเข้าใจ!","Teman-teman yang terhormat:\n Server saat ini sedang dalam pemeliharaan! Karena staf kami membuka ""Gerbang Kegelapan"" dan menyebabkan banyak bug, yang mengganggu serta menyebabkan kerugian yang tidak perlu bagi Anda, kami memberikan kompensasi. Hadiah kompensasi telah dikirim melalui email, silakan periksa tepat waktu. \n Mohon pengertiannya karena ini adalah uji coba pertama!  "
13,,Admin,Admin,Admin,Admin,Admin,Pengumuman Sistem,Anunsyo ng Sistema,System Announcement,System Announcement,ประกาศระบบ,Pengumuman Sistem,System Announcement,,,"Các bạn thân mến:\n Để các bạn có thể trải nghiệm game mượt mà hơn, server sẽ khởi động lại từ 16:30 đến 16:45 để khắc phục một số vấn đề. Sau khi máy chủ được mở lại, phần thưởng bồi thường sẽ được gửi đến hộp thư của bạn. Vui lòng kiểm tra nó kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n To provide a smoother gaming experience, the server will restart from 16:30 to 16:45 to fix some issues. After the server reopens, compensation rewards will be sent to your mailbox. Please check them in time. \nEnjoy the game!  ","Dear players:\n To provide a smoother gaming experience, the server will restart from 16:30 to 16:45 to fix some issues. After the server reopens, compensation rewards will be sent to your mailbox. Please check them in time. \nEnjoy the game!  ","Para pemain yang dihormati:\n Untuk memberikan pengalaman permainan yang lebih lancar, pelayan akan dimulakan semula dari 16:30 hingga 16:45 untuk menyelesaikan beberapa isu. Selepas pelayan dibuka semula, ganjaran pampasan akan dihantar ke peti mel anda. Sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Para sa mas maayos ninyong karanasan sa laro, ire-restart ang server mula 16:30 hanggang 16:45 upang ayusin ang ilang isyu. Matapos muling buksan ang server, ang kompensasyon ay ipapadala sa inyong mailbox. Pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n To provide a smoother gaming experience, the server will restart from 16:30 to 16:45 to fix some issues. After the server reopens, compensation rewards will be sent to your mailbox. Please check them in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n เพื่อให้คุณสามารถเล่นเกมได้อย่างราบรื่นยิ่งขึ้น เซิร์ฟเวอร์จะรีสตาร์ตตั้งแต่เวลา 16:30 ถึง 16:45 เพื่อแก้ไขปัญหาบางประการ หลังจากเซิร์ฟเวอร์เปิดใหม่ รางวัลชดเชยจะถูกส่งไปยังกล่องจดหมายของคุณ กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Agar pengalaman bermain Anda lebih lancar, server akan direstart dari pukul 16:30 hingga 16:45 untuk memperbaiki beberapa masalah. Setelah server dibuka kembali, hadiah kompensasi akan dikirim ke kotak surat Anda. Silakan periksa tepat waktu. \nSelamat bermain!  "
14,,Admin,Admin,Admin,Admin,Admin,"Pek ""Harta Keluarga""",“Family Treasure” na Pakete,Family Treasure Pack,Family Treasure Pack,"แพ็ก ""สมบัติครอบครัว""","Paket ""Harta Keluarga""",Family Treasure Pack,{519=10},,"Các bạn thân mến:\n Xin hãy tha thứ cho gói quà gia truyền đến muộn này, nhưng điều gì phải đến sẽ luôn đến. Gói quà ""gia truyền"" bí ẩn đã được gửi kèm theo email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Please forgive this late arrival of the family gift package, but what must come will always come. The mysterious ""family gift"" has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n Please forgive this late arrival of the family gift package, but what must come will always come. The mysterious ""family gift"" has been sent via email, please check it in time. \nEnjoy the game!  ","Para pemain yang dihormati:\n Maaf atas kelewatan penghantaran hadiah pusaka ini, namun ia tetap akan tiba. Hadiah pusaka misteri telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Patawad sa pagkaantala ng family gift package na ito, ngunit ang nakatakdang dumating ay darating din. Ang misteryosong ""family gift"" ay ipinadala na sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Please forgive this late arrival of the family gift package, but what must come will always come. The mysterious ""family gift"" has been sent via email, please check it in time. \nEnjoy the game!  ","เพื่อนๆ ที่รัก:\n โปรดยกโทษให้กับของขวัญมรดกที่มาถึงช้า แต่อะไรที่ต้องมาก็จะมา ของขวัญลึกลับ ""มรดก"" ได้แนบมากับอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!","Teman-teman yang terhormat:\n Maaf karena hadiah keluarga ini datang terlambat, tetapi yang ditakdirkan akan tetap datang. Hadiah misterius ""warisan keluarga"" telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
15,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Harian,Pang-araw-araw na Login Reward,Daily Login Reward,Daily Login Reward,รางวัลล็อกอินรายวัน,Hadiah Login Harian,Daily Login Reward,{card=21},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayong araw. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
16,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Harian,Pang-araw-araw na Login Reward,Daily Login Reward,Daily Login Reward,รางวัลล็อกอินรายวัน,Hadiah Login Harian,Daily Login Reward,{20611=30},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayong araw. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
17,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Lanjutan Ujian Tertutup,Login Reward sa Pinalawig na Closed Beta,Extended Closed Beta Login Reward,Extended Closed Beta Login Reward,รางวัลล็อกอินช่วงขยายการทดสอบแบบปิด,Hadiah Login Perpanjangan Closed Beta,Extended Closed Beta Login Reward,{20611=30;gold=600000;vip=8;rmb=3000},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayong araw. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
18,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Lanjutan Ujian Tertutup,Login Reward sa Pinalawig na Closed Beta,Extended Closed Beta Login Reward,Extended Closed Beta Login Reward,รางวัลล็อกอินช่วงขยายการทดสอบแบบปิด,Hadiah Login Perpanjangan Closed Beta,Extended Closed Beta Login Reward,{20611=30;gold=600000;vip=9;rmb=3000},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayong araw. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
19,,Admin,Admin,Admin,Admin,Admin,Ganjaran Log Masuk Lanjutan Ujian Tertutup,Login Reward sa Pinalawig na Closed Beta,Extended Closed Beta Login Reward,Extended Closed Beta Login Reward,รางวัลล็อกอินช่วงขยายการทดสอบแบบปิด,Hadiah Login Perpanjangan Closed Beta,Extended Closed Beta Login Reward,{20611=30;gold=600000;vip=10;rmb=3000},,"Các bạn thân mến:\nCảm ơn bạn đã đăng nhập ngày hôm nay. Phần thưởng đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ","Para pemain yang dihormati:\n Terima kasih kerana log masuk hari ini. Ganjaran telah dihantar melalui emel, sila semak dengan segera. \nSelamat bermain!","Minamahal na mga manlalaro:\n Salamat sa pag-login mo ngayong araw. Naipadala na ang reward sa email, pakisuri agad. \nMag-enjoy sa laro!","Dear players:\n Thank you for logging in today. The reward has been sent via email, please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n ขอบคุณที่เข้าสู่ระบบวันนี้ รางวัลได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Terima kasih telah login hari ini. Hadiah telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
