VariableName,icon,name_cn,name_tw,name,name_vn,name_en,name_ma,name_ph,name_th,name_in,type,param,validRechargeHuodong,rmbDisplay_cn,rmbDisplay_tw,rmbDisplay,rmbDisplay_vn,rmbDisplay_th,vndPrice,rmbDisplay_kr,rmb,rmb_vn,rmb_en,rmb_tw,rmb_kr,real_rmb,firstPresent,firstDesc_cn,firstDesc_tw,firstDesc,firstDesc_vn,firstDesc_in,firstDesc_th,present,desc_cn,desc,desc_vn,desc_th,desc_in,recommend,sortValue,languages
107,,,,Direct Purchase Pack 8.99$,Gói quà mua trực tiếp 100K,Direct Purchase Pack 8.99$,Pakej Pembelian Terus 8.99$,Direktang Bili Package 8.99$,แพ็คเกจซื้อโดยตรง 300฿,Paket Pembelian Langsung 8.99$,3,,,"""100.000""","""100.000""","""100.000""","""100.000""","""100.000""",100000,"""100.000""",100000,100000,100000,100000,100000,100000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
108,,,,Direct Purchase Pack 14.99$,Gói quà mua trực tiếp 150K,Direct Purchase Pack 14.99$,Pakej Pembelian Terus 14.99$,Direktang Bili Package 14.99$,แพ็คเกจซื้อโดยตรง 450฿,Paket Pembelian Langsung 14.99$,3,,,"""150.000""","""150.000""","""150.000""","""150.000""","""150.000""",150000,"""150.000""",150000,150000,150000,150000,150000,150000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
109,,,,Direct Purchase Pack 19.99$,Gói quà mua trực tiếp 200K,Direct Purchase Pack 19.99$,Pakej Pembelian Terus 19.99$,Direktang Bili Package 19.99$,แพ็คเกจซื้อโดยตรง 600฿,Paket Pembelian Langsung 19.99$,3,,,"""200.000""","""200.000""","""200.000""","""200.000""","""200.000""",200000,"""200.000""",200000,200000,200000,200000,200000,200000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
110,,,,Direct Purchase Pack 25.99$,Gói quà mua trực tiếp 250K,Direct Purchase Pack 25.99$,Pakej Pembelian Terus 25.99$,Direktang Bili Package 25.99$,แพ็คเกจซื้อโดยตรง 750฿,Paket Pembelian Langsung 25.99$,3,,,"""250.000""","""250.000""","""250.000""","""250.000""","""250.000""",250000,"""250.000""",250000,250000,250000,250000,250000,250000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
111,,,,Direct Purchase Pack 29.99$,Gói quà mua trực tiếp 300K,Direct Purchase Pack 29.99$,Pakej Pembelian Terus 29.99$,Direktang Bili Package 29.99$,แพ็คเกจซื้อโดยตรง 900฿,Paket Pembelian Langsung 29.99$,3,,,"""300.000""","""300.000""","""300.000""","""300.000""","""300.000""",300000,"""300.000""",300000,300000,300000,300000,300000,300000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
112,,,,Direct Purchase Pack 49.99$,Gói quà mua trực tiếp 500K,Direct Purchase Pack 49.99$,Pakej Pembelian Terus 49.99$,Direktang Bili Package 49.99$,แพ็คเกจซื้อโดยตรง 1500฿,Paket Pembelian Langsung 49.99$,3,,,"""500.000""","""500.000""","""500.000""","""500.000""","""500.000""",500000,"""500.000""",500000,500000,500000,500000,500000,500000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
113,,,,Direct Purchase Pack 99.99$,Gói quà mua trực tiếp 1000K,Direct Purchase Pack 99.99$,Pakej Pembelian Terus 99.99$,Direktang Bili Package 99.99$,แพ็คเกจซื้อโดยตรง 3000฿,Paket Pembelian Langsung 99.99$,3,,,"""1.000.000""","""1.000.000""","""1.000.000""","""1.000.000""","""1.000.000""",1000000,"""1.000.000""",1000000,1000000,1000000,1000000,1000000,1000000,,,,,,,,,,,,,,,,<cn;en;in;th;ma;vn;ph>
3101,city/recharge/icon_cz_1@.png,,,1000 Diamond  ,1000 Kim Cương,1000 Diamond  ,1000 Diamond  ,1000 Diamond  ,1000 อินก็อต  ,1000 Emas  ,,,,"""10.000""","""10.000""","""10.000""","""10.000""","""10.000""",10000,"""10.000""",10000,10000,10000,10000,10000,10000,10000,,,Bonus 66 Diamond (first top-up only)  ,Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 66 Emas (hanya untuk top-up pertama)  ,แถมฟรี 66 อินก็อต (เฉพาะการเติมเงินครั้งแรก)  ,0,,,,,,0,1,<cn;en;in;th;ma;vn;ph>
3102,city/recharge/icon_cz_1@.png,,,2000 Diamond  ,2000 Kim Cương,2000 Diamond  ,2000 Diamond  ,2000 Diamond  ,2000 อินก็อต  ,2000 Emas  ,,,,"""20.000""","""20.000""","""20.000""","""20.000""","""20.000""",20000,"""20.000""",20000,20000,20000,20000,20000,20000,20000,,,Bonus 140 Diamond (first top-up only)  ,Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 140 Emas (hanya untuk top-up pertama)  ,แถมฟรี 140 อินก็อต (เฉพาะการเติมเงินครั้งแรก)  ,0,,,,,,0,2,<cn;en;in;th;ma;vn;ph>
3103,city/recharge/icon_cz_2@.png,,,3000 Diamond  ,3000 Kim Cương,3000 Diamond  ,3000 Diamond  ,3000 Diamond  ,3000 อินก็อต  ,3000 Emas  ,,,,"""30.000""","""30.000""","""30.000""","""30.000""","""30.000""",30000,"""30.000""",30000,30000,30000,30000,30000,30000,30000,,,Bonus 340 Diamond (first top-up only)  ,Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 340 Emas (hanya untuk top-up pertama)  ,แถมฟรี 340 อินก็อต (เฉพาะการเติมเงินครั้งแรก)  ,0,,,,,,0,3,<cn;en;in;th;ma;vn;ph>
3104,city/recharge/icon_cz_2@.png,,,5000 Diamond  ,5000 Kim Cương,5000 Diamond  ,5000 Diamond  ,5000 Diamond  ,5000 อินก็อต  ,5000 Emas  ,,,,"""50.000""","""50.000""","""50.000""","""50.000""","""50.000""",50000,"""50.000""",50000,50000,50000,50000,50000,50000,50000,,,Bonus 580 Diamond (first top-up only)  ,Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 580 Emas (hanya untuk top-up pertama)  ,แถมฟรี 580 อินก็อต (เฉพาะการเติมเงินครั้งแรก)  ,0,,,,,,0,4,<cn;en;in;th;ma;vn;ph>
3105,city/recharge/icon_cz_3@.png,,,10000 Diamond  ,10000 Kim Cương,10000 Diamond  ,10000 Diamond  ,10000 Diamond  ,10000 อินก็อต  ,10000 Emas  ,,,,"""100.000""","""100.000""","""100.000""","""100.000""","""100.000""",100000,"""100.000""",100000,100000,100000,100000,100000,100000,100000,,,Bonus 1340 Diamond (first top-up only)  ,Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 1340 Emas (hanya untuk top-up pertama)  ,แถมฟรี 1340 อินก็อต (เฉพาะการเติมเงินครั้งแรก)  ,0,,,,,,0,5,<cn;en;in;th;ma;vn;ph>
3106,city/recharge/icon_cz_3@.png,,,15000 Diamond  ,15000 Kim Cương,15000 Diamond  ,15000 Diamond  ,15000 Diamond  ,15000 อินก็อต  ,15000 Emas  ,,,,"""150.000""","""150.000""","""150.000""","""150.000""","""150.000""",150000,"""150.000""",150000,150000,150000,150000,150000,150000,150000,,,Bonus 3380 Diamond (first top-up only)  ,Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 3380 Emas (hanya untuk top-up pertama)  ,แถมฟรี 3380 อินก็อต (เฉพาะการเติมเงินครั้งแรก)  ,0,,,,,,0,6,<cn;en;in;th;ma;vn;ph>
3107,city/recharge/icon_cz_4@.png,,,30000 Diamond  ,30000 Kim Cương,30000 Diamond  ,30000 Diamond  ,30000 Diamond  ,30000 อินก็อต  ,30000 Emas  ,,,,"""300.000""","""300.000""","""300.000""","""300.000""","""300.000""",300000,"""300.000""",300000,300000,300000,300000,300000,300000,300000,,,Bonus 6580 Diamond (first top-up only)  ,Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 6580 Emas (hanya untuk top-up pertama)  ,แถมฟรี 6580 อินก็อต (เฉพาะการเติมเงินครั้งแรก)  ,0,,,,,,0,7,<cn;en;in;th;ma;vn;ph>
3108,city/recharge/icon_cz_4@.png,,,50000 Diamond  ,50000 Kim Cương,50000 Diamond  ,50000 Diamond  ,50000 Diamond  ,50000 อินก็อต  ,50000 Emas  ,,,,"""500.000""","""500.000""","""500.000""","""500.000""","""500.000""",500000,"""500.000""",500000,500000,500000,500000,500000,500000,500000,,,Bonus 15000 Diamond (first top-up only)  ,Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 15000 Emas (hanya untuk top-up pertama)  ,แถมฟรี 15000 อินก็อต (เฉพาะการเติมเงินครั้งแรก)  ,0,,,,,,0,8,<cn;en;in;th;ma;vn;ph>
3109,city/recharge/icon_cz_5@.png,,,100000 Diamond,100000 Kim Cương,100000 Diamond,100000 Diamond,100000 Diamond,100000 อินก็อต,100000 Emas,,,,"""1.000.000""","""1.000.000""","""1.000.000""","""1.000.000""","""1.000.000""",1000000,"""1.000.000""",1000000,1000000,1000000,1000000,1000000,1000000,1000000,,,Bonus 50000 Diamond (first top-up only),Nhận x2 kim cương (chỉ với lần Nạp đầu tiên),Bonus 50000 Emas (hanya untuk top-up pertama),แถมฟรี 50000 อินก็อต (เฉพาะการเติมเงินครั้งแรก),0,,,,,,0,9,<cn;en;in;th;ma;vn;ph>
