VariableName,name_cn,name_vn,name,name_ma,name_en,name_th,name_in,name_ph,icon,desc_cn,desc_vn,desc,desc_ma,desc_en,desc_th,desc_in,desc_ph,openLv,noticeLv,type,goToPanel
9,,Đạo cụ,Items  ,Barangan  ,Items  ,ไอเท็ม  ,Barang  ,Mga Bagay  ,city/levelup/grow_guide_5.png,,"Trang bị vật phẩm siêu việt, nhận thêm hiệu ứng.","Equip superior items, gain additional effects.","Perlengkapan hebat, terima kesan tambahan.","Equip superior items, gain additional effects.",สวมใส่อุปกรณ์ขั้นสูง รับผลเสริมพิเศษ,"Perlengkapan super, dapatkan efek tambahan.","Gamitin ang super na kagamitan, tumanggap ng dagdag na epekto.",11,4,,
10,,Nhiệm vụ hàng ngày,Daily Quests  ,Misi Harian  ,Daily Quests  ,เควสประจำวัน  ,Misi Harian  ,Araw-araw na Gawain  ,city/levelup/grow_guide_15.png,,Bắt đầu nhiệm vụ hàng ngày để nhận thưởng.,Start daily missions to receive rewards.,Mulakan misi harian untuk terima ganjaran.,Start daily missions to receive rewards.,เริ่มภารกิจประจำวันเพื่อรับรางวัล,Mulai misi harian untuk mendapatkan hadiah.,Simulan ang araw-araw na misyon para makatanggap ng gantimpala.,12,9,,
11,,Đặc quyền huấn luyện,Training Privileges  ,Keistimewaan Latihan  ,Training Privileges  ,สิทธิพิเศษการฝึกอบรม  ,Hak Istimewa Pelatihan  ,Pribilehiyo sa Pagsasanay  ,city/levelup/grow_guide_5.png,,"Nâng cấp đặc quyền huấn luyện, nhận nhiều ưu đãi khác nhau","Upgrade training privileges, enjoy various benefits.","Naik taraf keistimewaan latihan, terima pelbagai kelebihan.","Upgrade training privileges, enjoy various benefits.",อัปเกรดสิทธิ์การฝึก รับสิทธิพิเศษมากมาย,"Upgrade hak istimewa pelatihan, dapatkan banyak keuntungan.","I-upgrade ang training privileges, tumanggap ng iba't ibang benepisyo.",12,9,,
12,,Tinh chế,Refinement  ,Penapisan  ,Refinement  ,การกลั่น  ,Penyempurnaan  ,Pagpino  ,city/levelup/grow_guide_5.png,,"Luyện thuộc tính bẩm sinh, nhận anh hùng hoàn hảo","Train innate attributes, obtain perfect heroes.","Latih atribut semula jadi, dapatkan wira sempurna.","Train innate attributes, obtain perfect heroes.",ฝึกคุณสมบัติพิเศษ รับฮีโร่สมบูรณ์แบบ,"Latih atribut bawaan, dapatkan pahlawan sempurna.","Sanayin ang likas na katangian, magkaroon ng perpektong bayani.",14,11,,
13,,Đấu trường,Arena  ,Arena  ,Arena  ,สังเวียน  ,Arena  , Arena  ,city/levelup/grow_guide_3.png,,"Đấu trường mở ra, thời khắc so tài thực lực đã đến.","The arena opens, the moment to compete has arrived.","Arena dibuka, masa untuk bertarung menunjukkan kekuatan.","The arena opens, the moment to compete has arrived.",อารีน่าเปิดแล้ว ถึงเวลาประลองฝีมือ,"Arena dibuka, saatnya bertanding menunjukkan kemampuan.","Bukas na ang arena, panahon na para ipakita ang lakas.",15,12,,
14,,Bảng xếp hạng,Leaderboard  ,Papan Kedudukan  ,Leaderboard  ,กระดานคะแนน  ,Papan Peringkat  ,Leaderboard  ,city/levelup/grow_guide_11.png,,"Bảng xếp hạng đã mở, bạn có thể xem thứ hạng thực lực của mình.","Leaderboard is available, check your ranking.","Jadual kedudukan dibuka, lihat kedudukan anda.","Leaderboard is available, check your ranking.",ตารางอันดับเปิดแล้ว ดูอันดับพลังของคุณ,"Papan peringkat dibuka, lihat peringkat kekuatanmu.","Bukas na ang leaderboard, tingnan ang iyong ranggo.",18,12,,
15,,Phó bản sự kiện,Event Dungeon  ,Penjara Acara  ,Event Dungeon  ,ดันเจี้ยนกิจกรรม  ,Dungeon Acara  ,Event Dungeon  ,city/levelup/grow_guide_21.png,,"Mở phó bản sự kiện, nhận tài nguyên nhanh chóng","Unlock event dungeons, quickly gather resources.","Buka penjara acara, dapatkan sumber dengan cepat.","Unlock event dungeons, quickly gather resources.",เปิดดันเจี้ยนกิจกรรม รับทรัพยากรเร็วขึ้น,"Buka dungeon event, dapatkan sumber daya dengan cepat.","Buksan ang event dungeon, mabilis makakuha ng resources.",18,12,,
16,,Công hội,Guild  ,Gilda  ,Guild  ,กลุ่ม  ,Guild  ,Samahan  ,city/levelup/grow_guide_9.png,,"Bang hội mở, tìm kiếm đồng đội.","Guilds are open, find teammates.","Gild dibuka, cari rakan sepasukan.","Guilds are open, find teammates.",เปิดกิลด์ หาทีมงานร่วมมือ,"Guild dibuka, cari teman satu tim.","Bukas na ang guild, maghanap ng mga kasamahan.",20,15,,
17,,Tái sinh,Rebirth  ,Kelahiran Semula  ,Rebirth  ,การเกิดใหม่  ,Reinkarnasi  ,Muling Pagsilang  ,city/levelup/grow_guide_5.png,,"Tái sinh anh hùng, hoàn trả nhanh tài nguyên bồi dưỡng","Rebirth heroes, quickly reclaim training resources.","Reinkarnasi wira, pulihkan sumber dengan pantas.","Rebirth heroes, quickly reclaim training resources.",เกิดใหม่ฮีโร่ คืนทรัพยากรฝึกได้รวดเร็ว,"Reinkarnasi pahlawan, cepat dapatkan kembali sumber daya.","Rebirth ng bayani, mabilis na ibalik ang mga resources.",23,18,,
18,,Con đường trưởng thành,Growth Path  ,Jalur Pertumbuhan  ,Growth Path  ,เส้นทางเติบโต  ,Jalur Pertumbuhan  ,Landas ng Paglago  ,city/levelup/grow_guide_7.png,,"Hành trình trưởng thành bắt đầu, thử thách không giới hạn.","The growth journey begins, endless challenges await.","Perjalanan pertumbuhan bermula, cabaran tanpa had.","The growth journey begins, endless challenges await.",เริ่มต้นเส้นทางเติบโต ท้าทายไม่จำกัด,"Perjalanan pertumbuhan dimulai, tantangan tanpa batas.","Magsimula ng growth journey, walang katapusang hamon.",24,22,,
19,,Tiềm năng,Potential  ,Potensi  ,Potential  ,ศักยภาพ  ,Potensi  ,Potensyal  ,city/levelup/grow_guide_5.png,,"Tăng tiềm năng, cường hóa thuộc tính","Increase potential, strengthen attributes.","Tingkatkan potensi, kuatkan atribut.","Increase potential, strengthen attributes.",เพิ่มศักยภาพ เสริมคุณสมบัติ,"Tingkatkan potensi, perkuat atribut.","Dagdagan ang potensyal, palakasin ang attributes.",24,22,,
20,,Thiện cảm,Affinity  ,Kesukaan  ,Affinity  ,ความชอบ  ,Afinitas  ,Pagkakaugnay  ,city/levelup/grow_guide_5.png,,"Tặng quà, tăng độ hảo cảm của tướng","Give gifts, raise hero affinity.","Beri hadiah, tingkatkan keakraban wira.","Give gifts, raise hero affinity.",มอบของขวัญ เพิ่มความสัมพันธ์กับฮีโร่,"Berikan hadiah, tingkatkan hubungan dengan pahlawan.","Magbigay ng regalo, pataasin ang pagkakaibigan sa bayani.",25,23,,
21,,Thiên phú,Talent  ,Bakat  ,Talent  ,พรสวรรค์  ,Bakat  ,Talaan  ,city/levelup/grow_guide_13.png,,"Kích hoạt thiên phú, cường hóa thực lực","Activate talents, enhance combat strength.","Aktifkan bakat, kuatkan keupayaan.","Activate talents, enhance combat strength.",เปิดใช้งานพรสวรรค์ เสริมความแข็งแกร่ง,"Aktifkan bakat, perkuat kemampuan.","I-activate ang talent, palakasin ang lakas.",27,24,,
22,,Phái cử,Dispatch  ,Hantar  ,Dispatch  ,ส่งตัวแทน  ,Kirim  ,Pagpapadala  ,city/levelup/grow_guide_25.png,,"Phái cử bắt đầu, dễ dàng nhận thưởng","Dispatch begins, easily receive rewards.","Mula penugasan, mudah dapat ganjaran.","Dispatch begins, easily receive rewards.",เริ่มส่งภารกิจ รับรางวัลง่าย,"Mulai pengiriman, mudah dapat hadiah.","Simulan ang dispatch, madaling makakuha ng reward.",30,25,,
