VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,_beizhu,isShow,icon,desc_cn,desc_tw,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc1_cn,desc1_in,desc1,desc1_vn,desc1_th,quality,use,type,stackMax,specialArgsMap,specialArgsMap_vn,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc_cn,produceDesc_tw,produceDesc,produceDesc_vn,produceDesc_en,produceDesc_th,produceDesc_in,produceDesc_ph,produceDesc_ma,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop,languages
31,,,Essence of Puzzle Dress-up,Tinh hoa ghép hình thay đồ,Essence of Puzzle Dress-up,อัญมณีปริศนาเปลี่ยนชุด,Esensi Puzzle Kostum,Essence ng Puzzle Dress-up,Intipati Teka-teki Pakaian,,,config/item/icon_xwtp.png,,,Unlocks outfits for companions in Ultimate Ninja Paradise  ,Dùng để mở khóa trang phục cho bạn đồng hành trong Nhẫn Giả Cực Lạc.,Unlocks outfits for companions in Ultimate Ninja Paradise  ,ปลดล็อกชุดเครื่องแต่งกายให้เพื่อนร่วมทางใน Ultimate Ninja Paradise  ,Digunakan untuk membuka kostum pendamping di Ninja Ultimate Paradise  ,Ginagamit upang i-unlock ang costume ng companion sa Ninja Extreme Paradise  ,Digunakan untuk membuka pakaian untuk teman dalam Ninja Syurga Muktamad  ,,,,,,4,xiaowu,20,,,,,,,<1;2>,<1>,,,17,9,,10000,20000,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Shy Mint,Bạc hà nhút nhát,Shy Mint,มิ้นต์ขี้อาย,Mint Pemalu,Mahiyain na Mint,Mint Pemalu,,,config/item/character_item/icon_bh_dx.png,,,"After smelling this mint, the hero becomes shy  ","Sau khi ngửi loại bạc hà này, anh hùng sẽ trở nên nhút nhát.","After smelling this mint, the hero becomes shy  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะขี้อาย  ,"Setelah mencium mint ini, hero menjadi pemalu  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging mahiyain  ","Selepas menghidu pudina ini, hero akan menjadi pemalu  ",,,,,,4,strengthen-attribute,18,,{character=6},{character=6},,{character=6},,<2>,<2>,,,16,39,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
52,,,Spicy Mint,Bạc hà cay,Spicy Mint,มิ้นต์เผ็ด,Mint Pedas,Maalat na Mint,Mint Pedas,,,config/item/character_item/icon_bh_tz.png,,,"After smelling this mint, the hero becomes hot-tempered  ","Sau khi ngửi loại bạc hà này, tính khí của anh hùng sẽ trở nên nóng nảy.","After smelling this mint, the hero becomes hot-tempered  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะอารมณ์ร้อน  ,"Setelah mencium mint ini, hero menjadi pemarah  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging mainitin ang ulo  ","Selepas menghidu pudina ini, hero akan menjadi cepat marah  ",,,,,,4,strengthen-attribute,18,,{character=7},{character=7},,{character=7},,<2>,<2>,,,16,38,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
53,,,Refreshing Mint,Bạc hà sảng khoái,Refreshing Mint,มิ้นต์สดชื่น,Mint Menyegarkan,Nagpapalakas na Mint,Mint Menyegarkan,,,config/item/character_item/icon_bh_jz.png,,,"After smelling this mint, the hero becomes cheerful  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên sảng khoái.","After smelling this mint, the hero becomes cheerful  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะร่าเริง  ,"Setelah mencium mint ini, hero menjadi ceria  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging masayahin  ","Selepas menghidu pudina ini, hero akan menjadi ceria  ",,,,,,4,strengthen-attribute,18,,{character=8},{character=8},,{character=8},,<2>,<2>,,,16,37,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
54,,,Innocent Mint,Bạc hà ngây thơ,Innocent Mint,มิ้นต์ไร้เดียงสา,Mint Naif,Inosenteng Mint,Mint Naif,,,config/item/character_item/icon_bh_sl.png,,,"After smelling this mint, the hero becomes innocent  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên ngây thơ.","After smelling this mint, the hero becomes innocent  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะไร้เดียงสา  ,"Setelah mencium mint ini, hero menjadi polos  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging inosente  ","Selepas menghidu pudina ini, hero akan menjadi naif  ",,,,,,4,strengthen-attribute,18,,{character=9},{character=9},,{character=9},,<2>,<2>,,,16,36,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
55,,,Lonely Mint,Sợ cô đơn bạc hà,Lonely Mint,มิ้นต์กลัวความเหงา,Mint Takut Kesepian,Mint na Takot sa Pag-iisa,Mint Takut Kesepian,,,config/item/character_item/icon_bh_pjm.png,,,"After smelling this mint, the hero becomes afraid of being alone  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên sợ cô đơn.","After smelling this mint, the hero becomes afraid of being alone  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะกลัวความเหงา  ,"Setelah mencium mint ini, hero menjadi takut kesepian  ","Pagkatapos maamoy ang mint na ito, ang bayani ay matatakot sa pag-iisa  ","Selepas menghidu pudina ini, hero akan takut kesunyian  ",,,,,,4,strengthen-attribute,18,,{character=10},{character=10},,{character=10},,<2>,<2>,,,16,35,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
56,,,Brave Mint,Bạc hà dũng cảm,Brave Mint,มิ้นต์กล้าหาญ,Mint Berani,Matapang na Mint,Mint Berani,,,config/item/character_item/icon_bh_yg.png,,,"After smelling this mint, the hero becomes brave  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên dũng cảm.","After smelling this mint, the hero becomes brave  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะกล้าหาญ  ,"Setelah mencium mint ini, hero menjadi berani  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging matapang  ","Selepas menghidu pudina ini, hero akan menjadi berani  ",,,,,,4,strengthen-attribute,18,,{character=11},{character=11},,{character=11},,<2>,<2>,,,16,34,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
57,,,Stubborn Mint,Bạc hà cứng đầu,Stubborn Mint,มิ้นต์ดื้อ,Mint Keras Kepala,Matigas ang Ulo na Mint,Mint Keras Kepala,,,config/item/character_item/icon_bh_gz.png,,,"After smelling this mint, the hero becomes stubborn  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên bướng bỉnh.","After smelling this mint, the hero becomes stubborn  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะดื้อรั้น  ,"Setelah mencium mint ini, hero menjadi keras kepala  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging matigas ang ulo  ","Selepas menghidu pudina ini, hero akan menjadi degil  ",,,,,,4,strengthen-attribute,18,,{character=12},{character=12},,{character=12},,<2>,<2>,,,16,33,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
58,,,Mischievous Mint,Bạc hà tinh nghịch,Mischievous Mint,มิ้นต์ขี้เล่น,Mint Nakal,Makulit na Mint,Mint Nakal,,,config/item/character_item/icon_bh_wp.png,,,"After smelling this mint, the hero becomes mischievous  ","Sau khi ngửi loại bạc hà này, tính cách của người hùng sẽ trở nên tinh nghịch.","After smelling this mint, the hero becomes mischievous  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะซุกซน  ,"Setelah mencium mint ini, hero menjadi nakal  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging pilyo  ","Selepas menghidu pudina ini, hero akan menjadi nakal  ",,,,,,4,strengthen-attribute,18,,{character=13},{character=13},,{character=13},,<2>,<2>,,,16,32,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
59,,,Bold Mint,Bạc hà táo bạo,Bold Mint,มิ้นต์กล้าหาญ,Mint Berani,Matapang na Mint,Mint Berani,,,config/item/character_item/icon_bh_dd.png,,,"After smelling this mint, the hero becomes bold  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên táo bạo hơn.","After smelling this mint, the hero becomes bold  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะกล้าหาญขึ้น  ,"Setelah mencium mint ini, hero menjadi berani  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging mapangahas  ","Selepas menghidu pudina ini, hero akan menjadi berani  ",,,,,,4,strengthen-attribute,18,,{character=14},{character=14},,{character=14},,<2>,<2>,,,16,31,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
60,,,Relaxing Mint,Bạc hà thư giãn,Relaxing Mint,มิ้นต์ผ่อนคลาย,Mint Santai,Relaks na Mint,Mint Santai,,,config/item/character_item/icon_bh_yx.png,,,"After smelling this mint, the hero becomes relaxed  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên thư thái.","After smelling this mint, the hero becomes relaxed  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะผ่อนคลาย  ,"Setelah mencium mint ini, hero menjadi santai  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging kalmado  ","Selepas menghidu pudina ini, hero akan menjadi tenang  ",,,,,,4,strengthen-attribute,18,,{character=15},{character=15},,{character=15},,<2>,<2>,,,16,30,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
61,,,Playful Mint,Bạc hà tinh nghịch,Playful Mint,มิ้นต์ขี้เล่น,Mint Nakal,Makuli na Mint,Mint Nakal,,,config/item/character_item/icon_bh_tq.png,,,"After smelling this mint, the hero becomes playful  ","Sau khi ngửi loại bạc hà này, tính cách của người hùng sẽ trở nên tinh nghịch.","After smelling this mint, the hero becomes playful  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะขี้เล่น  ,"Setelah mencium mint ini, hero menjadi jahil  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging makulit  ","Selepas menghidu pudina ini, hero akan menjadi nakal  ",,,,,,4,strengthen-attribute,18,,{character=16},{character=16},,{character=16},,<2>,<2>,,,16,29,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
62,,,Lotte Mint,Bạc hà Lotte,Lotte Mint,มิ้นต์ Lotte,Mint Lotte,Lotte Mint,Mint Lotte,,,config/item/character_item/icon_bh_lt.png,,,"After smelling this mint, the hero becomes optimistic  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên lạc quan.","After smelling this mint, the hero becomes optimistic  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะมองโลกในแง่ดี  ,"Setelah mencium mint ini, hero menjadi optimis  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging positibo  ","Selepas menghidu pudina ini, hero akan menjadi optimis  ",,,,,,4,strengthen-attribute,18,,{character=17},{character=17},,{character=17},,<2>,<2>,,,16,28,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
63,,,Discreet Mint,Bạc hà kín đáo,Discreet Mint,มิ้นต์ลับๆ,Mint Terselubung,Discreet na Mint,Mint Terpencil,,,config/item/character_item/icon_bh_nl.png,,,"After smelling this mint, the hero becomes reserved  ","Sau khi ngửi loại bạc hà này, tính cách của anh hùng sẽ trở nên kín đáo.","After smelling this mint, the hero becomes reserved  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะเงียบขรึม  ,"Setelah mencium mint ini, hero menjadi pendiam  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging tahimik  ","Selepas menghidu pudina ini, hero akan menjadi pendiam  ",,,,,,4,strengthen-attribute,18,,{character=18},{character=18},,{character=18},,<2>,<2>,,,16,27,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
64,,,Slow-melting Mint Candy,Kẹo bạc hà chậm tan,Slow-melting Mint Candy,ลูกอมมิ้นต์ละลายช้า,Permen Mint Meleleh Lambat,Mabagal matunaw na Mint Candy,Kudapan Mint Yang Meleleh Perlahan,,,config/item/character_item/icon_bh_lj.png,,,"After smelling this mint, the hero becomes slow  ","Sau khi ngửi loại bạc hà này, tính cách của người hùng sẽ trở nên chậm chạp.","After smelling this mint, the hero becomes slow  ",เมื่อได้กลิ่นมิ้นต์นี้ ฮีโร่จะเชื่องช้า  ,"Setelah mencium mint ini, hero menjadi lamban  ","Pagkatapos maamoy ang mint na ito, ang bayani ay magiging mabagal  ","Selepas menghidu pudina ini, hero akan menjadi perlahan  ",,,,,,4,strengthen-attribute,18,,{character=19},{character=19},,{character=19},,<2>,<2>,,,16,26,,,,,,,,,,,Obtained through special event activities,Nhận thông qua các hoạt động hoạt động đặc biệt,Obtained through special event activities,รับผ่านกิจกรรมพิเศษ,Diperoleh melalui aktivitas acara khusus,Nakukuha sa pamamagitan ng mga espesyal na aktibidad na pangyayari,Diperoleh melalui aktiviti acara khas,,,,,,,,,,,
