VariableName,name_cn,name,name_vn,name_my,name_en,name_th,name_in,name_ph,isWorldEnter,chapterType,res,baseMap,describe,ownerId,openLevel,seq,heroMapId,nightmareMapId,starAwardConds,starAwardIDs
28,,Stretch of red soil  ,Đất đỏ trải dài,Tanah merah terbentang  ,Stretch of red soil  ,ผืนดินสีแดง  ,Tanah merah membentang  ,Pulang lupa ang bumabalot  ,,1,GKDT_ptgk13.json,city/gate/map/img_11.png,,1,80,<11801;11802;11803;11804;11805;11806;11807;11808;11809;11810>,128,228,<10;20;30>,<1281;1282;1283>
29,,Losing oneself  ,Lạc lối bản thân,Hilang arah diri  ,Losing oneself  ,หลงทางในตัวเอง  ,Kehilangan diri  ,Pagkaligaw sa sarili  ,,1,GKDT_ptgk13.json,city/gate/map/img_12.png,,1,85,<11901;11902;11903;11904;11905;11906;11907;11908;11909;11910>,129,229,<10;20;30>,<1291;1292;1293>
30,,Light of hope  ,Ánh sáng hy vọng,Cahaya harapan  ,Light of hope  ,แสงแห่งความหวัง  ,Cahaya harapan  ,Liwanag ng pag-asa  ,,1,GKDT_ptgk13.json,city/gate/map/img_13.png,,1,90,<12001;12002;12003;12004;12005;12006;12007;12008;12009;12010>,130,230,<10;20;30>,<1301;1302;1303>
31,,Immortal legend  ,Huyền thoại bất diệt,Legenda abadi  ,Immortal legend  ,ตำนานอมตะ  ,Legenda abadi  ,Walang hanggang alamat  ,,1,GKDT_ptgk13.json,city/gate/map/img_14.png,,1,95,<12101;12102;12103;12104;12105;12106;12107;12108;12109;12110>,131,231,<10;20;30>,<1311;1312;1313>
32,,Eternity of the strong  ,Sự vĩnh cửu của kẻ mạnh,Keabadian yang kuat  ,Eternity of the strong  ,นิรันดร์ของผู้แข็งแกร่ง  ,Keabadian para kuat  ,Katatagan ng malalakas  ,,1,GKDT_ptgk13.json,city/gate/map/img_15.png,,1,100,<12201;12202;12203;12204;12205;12206;12207;12208;12209;12210>,132,232,<10;20;30>,<1321;1322;1323>
33,,Fighting in despair  ,Chiến đấu trong tuyệt vọng,Bertempur dalam keputusasaan  ,Fighting in despair  ,ต่อสู้ด้วยความสิ้นหวัง  ,Bertarung dalam keputusasaan  ,Laban sa kawalan ng pag-asa  ,,1,GKDT_ptgk5.json,city/gate/map/img_11.png,,1,105,<12301;12302;12303;12304;12305;12306;12307;12308;12309;12310>,133,233,<10;20;30>,<1331;1332;1333>
34,,Destroying the world  ,Hủy diệt thế giới,Memusnahkan dunia  ,Destroying the world  ,ทำลายโลก  ,Menghancurkan dunia  ,Pagwasak ng mundo  ,,1,GKDT_ptgk5.json,city/gate/map/img_12.png,,1,110,<12401;12402;12403;12404;12405;12406;12407;12408;12409;12410>,134,234,<10;20;30>,<1341;1342;1343>
35,,Place of reunion  ,Nơi tái ngộ,Tempat pertemuan semula  ,Place of reunion  ,สถานที่แห่งการพบกันใหม่  ,Tempat reuni  ,Lugar ng muling pagkikita  ,,1,GKDT_ptgk5.json,city/gate/map/img_13.png,,1,115,<12501;12502;12503;12504;12505;12506;12507;12508;12509;12510>,135,235,<10;20;30>,<1351;1352;1353>
36,,World of dreams  ,Thế giới của giấc mơ,Dunia mimpi  ,World of dreams  ,โลกแห่งความฝัน  ,Dunia mimpi  ,Mundong puno ng panaginip  ,,1,GKDT_ptgk5.json,city/gate/map/img_15.png,,1,120,<12601;12602;12603;12604;12605;12606;12607;12608;12609;12610>,136,236,<10;20;30>,<1361;1362;1363>
111,,A world in turmoil  ,Thế giới biến động,Dunia yang bergolak  ,A world in turmoil  ,โลกที่แปรปรวน  ,Dunia yang bergejolak  ,Magulong mundo  ,,2,GKDT_ptgk1.json,city/gate/map/img_1.png,,1,1,<20101;20102;20103>,,,<0;0;9>,<0;0;1501>
112,,A desolate land  ,Một vùng hoang tàn,Sebuah tanah terbiar  ,A desolate land  ,ดินแดนรกร้าง  ,Sebuah tanah tandus  ,Isang lupang abandonado  ,,2,GKDT_ptgk2.json,city/gate/map/img_2.png,,1,1,<20201;20202;20203>,,,<0;0;9>,<0;0;1511>
113,,Starting over  ,Bắt đầu lại từ đầu,Mulakan dari awal  ,Starting over  ,เริ่มต้นใหม่  ,Mulai dari awal  ,Magsimulang muli  ,,2,GKDT_ptgk3.json,city/gate/map/img_3.png,,1,1,<20301;20302;20303;20304>,,,<0;0;12>,<0;0;1521>
114,,Continuing the journey  ,Tiếp tục hành trình,Teruskan perjalanan  ,Continuing the journey  ,เดินทางต่อไป  ,Melanjutkan perjalanan  ,Ipagpatuloy ang paglalakbay  ,,2,GKDT_ptgk4.json,city/gate/map/img_4.png,,1,1,<20401;20402;20403;20404>,,,<0;0;12>,<0;0;1531>
115,,Layered hardships  ,Khó khăn chồng chất,Kesusahan bertimpa-timpa  ,Layered hardships  ,อุปสรรคมากมาย  ,Kesulitan bertumpuk  ,Sunod-sunod na paghihirap  ,,2,GKDT_ptgk5.json,city/gate/map/img_5.png,,1,1,<20501;20502;20503;20504;20505>,,,<0;0;15>,<0;0;1541>
116,,Spiritual cleansing  ,Rửa tội tinh thần,Penyucian rohani  ,Spiritual cleansing  ,ชำระจิตวิญญาณ  ,Pemurnian spiritual  ,Paglilinis ng espiritu  ,,2,GKDT_ptgk6.json,city/gate/map/img_6.png,,1,26,<20601;20602;20603;20604;20605>,,,<0;0;15>,<0;0;1551>
117,,Emotional trauma  ,Chấn thương tâm hồn,Luka jiwa  ,Emotional trauma  ,บาดแผลทางใจ  ,Luka batin  ,Sugatang kaluluwa  ,,2,GKDT_ptgk7.json,city/gate/map/img_7.png,,1,30,<20701;20702;20703;20704;20705>,,,<0;0;15>,<0;0;1561>
118,,Returning to the old land  ,Quay lại vùng đất cũ,Kembali ke tanah lama  ,Returning to the old land  ,ย้อนกลับสู่แผ่นดินเดิม  ,Kembali ke tanah lama  ,Bumalik sa dating lupain  ,,2,GKDT_ptgk8.json,city/gate/map/img_8.png,,1,33,<20801;20802;20803;20804;20805>,,,<0;0;15>,<0;0;1571>
119,,Saving the soul  ,Cứu rỗi linh hồn,Menyelamatkan jiwa  ,Saving the soul  ,ไถ่บาปวิญญาณ  ,Menyelamatkan jiwa  ,Kaligtasan ng kaluluwa  ,,2,GKDT_ptgk9.json,city/gate/map/img_9.png,,1,37,<20901;20902;20903;20904;20905>,,,<0;0;15>,<0;0;1581>
120,,Making travel companions  ,Kết bạn đồng hành,Bersahabat dalam perjalanan  ,Making travel companions  ,สร้างมิตรสหาย  ,Berteman dalam perjalanan  ,Magkaibigang kasama  ,,2,GKDT_ptgk10.json,city/gate/map/img_10.png,,1,40,<21001;21002;21003;21004;21005>,,,<0;0;15>,<0;0;1591>
121,,A new home  ,Ngôi nhà mới,Rumah baharu  ,A new home  ,บ้านหลังใหม่  ,Rumah baru  ,Bagong tahanan  ,,2,GKDT_ptgk11.json,city/gate/map/img_11.png,,1,45,<21101;21102;21103;21104;21105>,,,<0;0;15>,<0;0;1601>
122,,Strong enemies attack  ,Kẻ thù mạnh mẽ tấn công,Musuh yang kuat menyerang  ,Strong enemies attack  ,ศัตรูที่แข็งแกร่งโจมตี  ,Musuh kuat menyerang  ,Malakas na kalaban ang umatake  ,,2,GKDT_ptgk12.json,city/gate/map/img_12.png,,1,50,<21201;21202;21203;21204;21205>,,,<0;0;15>,<0;0;1611>
123,,Tactical transfer  ,Chuyển giao chiến thuật,Pertukaran taktik  ,Tactical transfer  ,แลกเปลี่ยนกลยุทธ์  ,Pertukaran taktik  ,Palitan ng taktika  ,,2,GKDT_ptgk13.json,city/gate/map/img_13.png,,1,55,<21301;21302;21303;21304;21305>,,,<0;0;15>,<0;0;1621>
124,,Acting together  ,Cùng nhau hành động,Bertindak bersama  ,Acting together  ,ลงมือร่วมกัน  ,Bertindak bersama  ,Kumilos ng magkakasama  ,,2,GKDT_ptgk13.json,city/gate/map/img_14.png,,1,60,<21401;21402;21403;21404;21405>,,,<0;0;15>,<0;0;1631>
125,,Ideal land  ,Vùng đất lý tưởng,Tanah impian  ,Ideal land  ,ดินแดนในฝัน  ,Tanah impian  ,Lupang pangarap  ,,2,GKDT_ptgk13.json,city/gate/map/img_15.png,,1,65,<21501;21502;21503;21504;21505>,,,<0;0;15>,<0;0;1641>
126,,Difficult path  ,Đường đi gian nan,Jalan yang sukar  ,Difficult path  ,หนทางที่ยากลำบาก  ,Jalan yang sulit  ,Mahirap na daan  ,,2,GKDT_ptgk13.json,city/gate/map/img_9.png,,1,70,<21601;21602;21603;21604;21605>,,,<0;0;15>,<0;0;1651>
127,,Collapsing situation  ,Tình thế sụp đổ,Keadaan runtuh  ,Collapsing situation  ,สถานการณ์ล่มสลาย  ,Situasi runtuh  ,Pagkawasak ng sitwasyon  ,,2,GKDT_ptgk13.json,city/gate/map/img_10.png,,1,75,<21701;21702;21703;21704;21705>,,,<0;0;15>,<0;0;1661>
128,,Stretch of red soil  ,Đất đỏ trải dài,Tanah merah terbentang  ,Stretch of red soil  ,ผืนดินสีแดง  ,Tanah merah membentang  ,Pulang lupa ang bumabalot  ,,2,GKDT_ptgk13.json,city/gate/map/img_11.png,,1,80,<21801;21802;21803;21804;21805>,,,<0;0;15>,<0;0;1671>
129,,Losing oneself  ,Lạc lối bản thân,Hilang arah diri  ,Losing oneself  ,หลงทางในตัวเอง  ,Kehilangan diri  ,Pagkaligaw sa sarili  ,,2,GKDT_ptgk13.json,city/gate/map/img_12.png,,1,85,<21901;21902;21903;21904;21905>,,,<0;0;15>,<0;0;1681>
130,,Light of hope  ,Ánh sáng hy vọng,Cahaya harapan  ,Light of hope  ,แสงแห่งความหวัง  ,Cahaya harapan  ,Liwanag ng pag-asa  ,,2,GKDT_ptgk13.json,city/gate/map/img_13.png,,1,90,<22001;22002;22003;22004;22005>,,,<0;0;15>,<0;0;1691>
131,,Immortal legend  ,Huyền thoại bất diệt,Legenda abadi  ,Immortal legend  ,ตำนานอมตะ  ,Legenda abadi  ,Walang hanggang alamat  ,,2,GKDT_ptgk13.json,city/gate/map/img_14.png,,1,95,<22101;22102;22103;22104;22105>,,,<0;0;15>,<0;0;1701>
132,,Eternity of the strong  ,Sự vĩnh cửu của kẻ mạnh,Keabadian yang kuat  ,Eternity of the strong  ,นิรันดร์ของผู้แข็งแกร่ง  ,Keabadian para kuat  ,Katatagan ng malalakas  ,,2,GKDT_ptgk13.json,city/gate/map/img_15.png,,1,100,<22201;22202;22203;22204;22205>,,,<0;0;15>,<0;0;1711>
133,,Fighting in despair  ,Chiến đấu trong tuyệt vọng,Bertempur dalam keputusasaan  ,Fighting in despair  ,ต่อสู้ด้วยความสิ้นหวัง  ,Bertarung dalam keputusasaan  ,Laban sa kawalan ng pag-asa  ,,2,GKDT_ptgk5.json,city/gate/map/img_11.png,,1,105,<22301;22302;22303;22304;22305>,,,<0;0;15>,<0;0;1721>
134,,Destroying the world  ,Hủy diệt thế giới,Memusnahkan dunia  ,Destroying the world  ,ทำลายโลก  ,Menghancurkan dunia  ,Pagwasak ng mundo  ,,2,GKDT_ptgk5.json,city/gate/map/img_12.png,,1,110,<22401;22402;22403;22404;22405>,,,<0;0;15>,<0;0;1731>
135,,Place of reunion  ,Nơi tái ngộ,Tempat pertemuan semula  ,Place of reunion  ,สถานที่แห่งการพบกันใหม่  ,Tempat reuni  ,Lugar ng muling pagkikita  ,,2,GKDT_ptgk5.json,city/gate/map/img_13.png,,1,115,<22501;22502;22503;22504;22505>,,,<0;0;15>,<0;0;1741>
136,,World of dreams  ,Thế giới của giấc mơ,Dunia mimpi  ,World of dreams  ,โลกแห่งความฝัน  ,Dunia mimpi  ,Mundong puno ng panaginip  ,,2,GKDT_ptgk5.json,city/gate/map/img_15.png,,1,120,<22601;22602;22603;22604;22605>,,,<0;0;15>,<0;0;1751>
211,,A world in turmoil  ,Thế giới biến động,Dunia yang bergolak  ,A world in turmoil  ,โลกที่แปรปรวน  ,Dunia yang bergejolak  ,Magulong mundo  ,,3,GKDT_ptgk1.json,city/gate/map/img_1.png,,1,47,<30101;30102>,,,<0;0;6>,<0;0;6501>
212,,A desolate land  ,Một vùng hoang tàn,Sebuah tanah terbiar  ,A desolate land  ,ดินแดนรกร้าง  ,Sebuah tanah tandus  ,Isang lupang abandonado  ,,3,GKDT_ptgk2.json,city/gate/map/img_2.png,,1,48,<30201;30202>,,,<0;0;6>,<0;0;6511>
213,,Starting over  ,Bắt đầu lại từ đầu,Mulakan dari awal  ,Starting over  ,เริ่มต้นใหม่  ,Mulai dari awal  ,Magsimulang muli  ,,3,GKDT_ptgk3.json,city/gate/map/img_3.png,,1,49,<30301;30302>,,,<0;0;6>,<0;0;6521>
214,,Continuing the journey  ,Tiếp tục hành trình,Teruskan perjalanan  ,Continuing the journey  ,เดินทางต่อไป  ,Melanjutkan perjalanan  ,Ipagpatuloy ang paglalakbay  ,,3,GKDT_ptgk4.json,city/gate/map/img_4.png,,1,50,<30401;30402>,,,<0;0;6>,<0;0;6531>
215,,Layered hardships  ,Khó khăn chồng chất,Kesusahan bertimpa-timpa  ,Layered hardships  ,อุปสรรคมากมาย  ,Kesulitan bertumpuk  ,Sunod-sunod na paghihirap  ,,3,GKDT_ptgk5.json,city/gate/map/img_5.png,,1,51,<30501;30502>,,,<0;0;6>,<0;0;6541>
216,,Spiritual cleansing  ,Rửa tội tinh thần,Penyucian rohani  ,Spiritual cleansing  ,ชำระจิตวิญญาณ  ,Pemurnian spiritual  ,Paglilinis ng espiritu  ,,3,GKDT_ptgk5.json,city/gate/map/img_6.png,,1,52,<30601;30602;30603>,,,<0;0;9>,<0;0;6551>
217,,Emotional trauma  ,Chấn thương tâm hồn,Luka jiwa  ,Emotional trauma  ,บาดแผลทางใจ  ,Luka batin  ,Sugatang kaluluwa  ,,3,GKDT_ptgk5.json,city/gate/map/img_7.png,,1,53,<30701;30702;30703>,,,<0;0;9>,<0;0;6561>
218,,Returning to the old land  ,Quay lại vùng đất cũ,Kembali ke tanah lama  ,Returning to the old land  ,ย้อนกลับสู่แผ่นดินเดิม  ,Kembali ke tanah lama  ,Bumalik sa dating lupain  ,,3,GKDT_ptgk5.json,city/gate/map/img_8.png,,1,54,<30801;30802;30803>,,,<0;0;9>,<0;0;6571>
219,,Saving the soul  ,Cứu rỗi linh hồn,Menyelamatkan jiwa  ,Saving the soul  ,ไถ่บาปวิญญาณ  ,Menyelamatkan jiwa  ,Kaligtasan ng kaluluwa  ,,3,GKDT_ptgk1.json,city/gate/map/img_9.png,,1,55,<30901;30902;30903>,,,<0;0;9>,<0;0;6581>
220,,Making travel companions  ,Kết bạn đồng hành,Bersahabat dalam perjalanan  ,Making travel companions  ,สร้างมิตรสหาย  ,Berteman dalam perjalanan  ,Magkaibigang kasama  ,,3,GKDT_ptgk2.json,city/gate/map/img_10.png,,1,55,<31001;31002;31003>,,,<0;0;9>,<0;0;6591>
221,,A new home  ,Ngôi nhà mới,Rumah baharu  ,A new home  ,บ้านหลังใหม่  ,Rumah baru  ,Bagong tahanan  ,,3,GKDT_ptgk3.json,city/gate/map/img_11.png,,1,60,<31101;31102;31103;31104>,,,<0;0;12>,<0;0;6601>
222,,Strong enemies attack  ,Kẻ thù mạnh mẽ tấn công,Musuh yang kuat menyerang  ,Strong enemies attack  ,ศัตรูที่แข็งแกร่งโจมตี  ,Musuh kuat menyerang  ,Malakas na kalaban ang umatake  ,,3,GKDT_ptgk4.json,city/gate/map/img_12.png,,1,60,<31201;31202;31203;31204>,,,<0;0;12>,<0;0;6611>
223,,Tactical transfer  ,Chuyển giao chiến thuật,Pertukaran taktik  ,Tactical transfer  ,แลกเปลี่ยนกลยุทธ์  ,Pertukaran taktik  ,Palitan ng taktika  ,,3,GKDT_ptgk5.json,city/gate/map/img_13.png,,1,60,<31301;31302;31303;31304>,,,<0;0;12>,<0;0;6621>
224,,Acting together  ,Cùng nhau hành động,Bertindak bersama  ,Acting together  ,ลงมือร่วมกัน  ,Bertindak bersama  ,Kumilos ng magkakasama  ,,3,GKDT_ptgk5.json,city/gate/map/img_14.png,,1,65,<31401;31402;31403;31404>,,,<0;0;12>,<0;0;6631>
225,,Ideal land  ,Vùng đất lý tưởng,Tanah impian  ,Ideal land  ,ดินแดนในฝัน  ,Tanah impian  ,Lupang pangarap  ,,3,GKDT_ptgk5.json,city/gate/map/img_15.png,,1,65,<31501;31502;31503;31504>,,,<0;0;12>,<0;0;6641>
226,,Difficult path  ,Đường đi gian nan,Jalan yang sukar  ,Difficult path  ,หนทางที่ยากลำบาก  ,Jalan yang sulit  ,Mahirap na daan  ,,3,GKDT_ptgk5.json,city/gate/map/img_9.png,,1,70,<31601;31602;31603;31604>,,,<0;0;12>,<0;0;6651>
227,,Collapsing situation  ,Tình thế sụp đổ,Keadaan runtuh  ,Collapsing situation  ,สถานการณ์ล่มสลาย  ,Situasi runtuh  ,Pagkawasak ng sitwasyon  ,,3,GKDT_ptgk5.json,city/gate/map/img_10.png,,1,75,<31701;31702;31703;31704>,,,<0;0;12>,<0;0;6661>
228,,Stretch of red soil  ,Đất đỏ trải dài,Tanah merah terbentang  ,Stretch of red soil  ,ผืนดินสีแดง  ,Tanah merah membentang  ,Pulang lupa ang bumabalot  ,,3,GKDT_ptgk5.json,city/gate/map/img_11.png,,1,80,<31801;31802;31803;31804;31805>,,,<0;0;15>,<0;0;6671>
229,,Losing oneself  ,Lạc lối bản thân,Hilang arah diri  ,Losing oneself  ,หลงทางในตัวเอง  ,Kehilangan diri  ,Pagkaligaw sa sarili  ,,3,GKDT_ptgk5.json,city/gate/map/img_12.png,,1,85,<31901;31902;31903;31904;31905>,,,<0;0;15>,<0;0;6681>
230,,Light of hope  ,Ánh sáng hy vọng,Cahaya harapan  ,Light of hope  ,แสงแห่งความหวัง  ,Cahaya harapan  ,Liwanag ng pag-asa  ,,3,GKDT_ptgk13.json,city/gate/map/img_13.png,,1,90,<32001;32002;32003;32004;32005>,,,<0;0;15>,<0;0;6691>
231,,Immortal legend  ,Huyền thoại bất diệt,Legenda abadi  ,Immortal legend  ,ตำนานอมตะ  ,Legenda abadi  ,Walang hanggang alamat  ,,3,GKDT_ptgk13.json,city/gate/map/img_14.png,,1,95,<32101;32102;32103;32104;32105>,,,<0;0;15>,<0;0;6701>
232,,Eternity of the strong  ,Sự vĩnh cửu của kẻ mạnh,Keabadian yang kuat  ,Eternity of the strong  ,นิรันดร์ของผู้แข็งแกร่ง  ,Keabadian para kuat  ,Katatagan ng malalakas  ,,3,GKDT_ptgk13.json,city/gate/map/img_15.png,,1,100,<32201;32202;32203;32204;32205>,,,<0;0;15>,<0;0;6711>
233,,Fighting in despair  ,Chiến đấu trong tuyệt vọng,Bertempur dalam keputusasaan  ,Fighting in despair  ,ต่อสู้ด้วยความสิ้นหวัง  ,Bertarung dalam keputusasaan  ,Laban sa kawalan ng pag-asa  ,,3,GKDT_ptgk5.json,city/gate/map/img_11.png,,1,105,<32301;32302;32303;32304;32305>,,,<0;0;15>,<0;0;6721>
234,,Destroying the world  ,Hủy diệt thế giới,Memusnahkan dunia  ,Destroying the world  ,ทำลายโลก  ,Menghancurkan dunia  ,Pagwasak ng mundo  ,,3,GKDT_ptgk5.json,city/gate/map/img_12.png,,1,110,<32401;32402;32403;32404;32405>,,,<0;0;15>,<0;0;6731>
235,,Place of reunion  ,Nơi tái ngộ,Tempat pertemuan semula  ,Place of reunion  ,สถานที่แห่งการพบกันใหม่  ,Tempat reuni  ,Lugar ng muling pagkikita  ,,3,GKDT_ptgk5.json,city/gate/map/img_13.png,,1,115,<32501;32502;32503;32504;32505>,,,<0;0;15>,<0;0;6741>
236,,World of dreams,Thế giới của giấc mơ,Dunia mimpi,World of dreams,โลกแห่งความฝัน,Dunia mimpi,Mundong puno ng panaginip,,3,GKDT_ptgk5.json,city/gate/map/img_15.png,,1,120,<32601;32602;32603;32604;32605>,,,<0;0;15>,<0;0;6751>
