VariableName,_beizhu,catalogType,number,name_cn,name_tw,name,name_vn,name_ma,name_en,name_th,name_ph,name_in,contain,content_cn,content_tw,content,content_vn,content_in,content_th
804,,,,,,Tear,Xé rách,Koyak,Tear,ฉีก,Punit,Merobek,,,,,,,
805,,,,,,Blinding,Làm mù,Buta,Blinding,ทำให้ตาบอด,Pagkabulag,Membutakan,,,,,,,
806,,,,,,Heal decrease,Giảm hồi máu,Kurang penyembuhan,Heal decrease,ลดการฟื้นฟู,Bawas paghilom,Pengurangan penyembuhan,,,,,,,
807,,,,,,Heal immune,Cấm hồi máu,Kebal penyembuhan,Heal immune,ภูมิคุ้มกันการฟื้นฟู,Imyun sa paghilom,Kebal penyembuhan,,,,,,,
810,,,,,,Stats debuff effect,Hiệu ứng giảm thuộc tính,Kesan debuff statistik,Stats debuff effect,ลดค่าสถานะ,Epekto ng debuff ng stats,Efek debuff statistik,,,,,,,
901,,,,,,Buff effect,Hiệu ứng tăng cường,Kesan buff,Buff effect,เพิ่มบัฟ,BUFF na epekto,Efek buff,,,,,,,
902,,,,,,Continuous healing effect,Hiệu ứng hồi phục liên tục,Penyembuhan berterusan,Continuous healing effect,ฟื้นฟูต่อเนื่อง,Tuloy-tuloy na paghilom,Efek penyembuhan berkelanjutan,,,,,,,
903,,,,,,Normal shield,Lá chắn thường,Perisai biasa,Normal shield,โล่ปกติ,Kalaspag na kalasag,Perisai normal,,,,,,,
904,,,,,,All units shield,Lá chắn toàn thể,Perisai semua unit,All units shield,โล่ทั้งทีม,Kalaspag para sa lahat,Perisai seluruh unit,,,,,,,
906,,,,,,Water flow,Dòng nước,Aliran air,Water flow,สายน้ำ,Daloy ng tubig,Aliran air,,,,,,,
907,,,,,,Ignite,Dẫn lửa,Penyalaan,Ignite,จุดไฟ,Pagliyab,Menyala,,,,,,,
908,,,,,,Ice trap,Bẫy băng giá,Perangkap ais,Ice trap,กับดักน้ำแข็ง,Bitag ng yelo,Perangkap es,,,,,,,
