VariableName,floor,openDay,gateSeq,autoCards,autoCards_tw,autoCards_en,autoCards_vn,autoCards_kr,cards,cards_tw,cards_en,cards_vn,cards_kr,deployLock,winCondition,roundLimit,name,name_vn,name_tw,name_en,name_th,name_in,name_ph,name_ma,desc,desc_tw,desc_en,desc_th,desc_in,desc_ph,desc_ma,deployDesc,monsterIDs,scene,beforePlot,beforePlotRepeat,beforeRes,reviewPlot,reviewPlot_vn,reviewPlot_tw,reviewPlot_en,reviewPlot_th,reviewPlot_in,reviewPlot_ph,reviewPlot_ma,reviewPlot_kr,award,award_tw,award_en,award_vn,award_kr
109,9,3,,,,,,,,,,,,,,,Test Nine  ,Thử nghiệm chín,,Test Nine  ,การทดสอบเก้า  ,Uji Coba Sembilan  ,Pagsubok Siyam  ,Ujian Sembilan  ,This is Test 9,,This is Test 9,นี่คือการทดสอบ 9,Ini adalah Uji Coba 9,Ito ay Pagsubok 9,Ini adalah Ujian 9,,<181;182;183>,"csv.""csv.stage.sum",,,,Evaluation 9 (Must complete the level to display),Đánh giá 9 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 9 (Must complete the level to display),การประเมิน 9 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 9 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 9 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 9 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
110,10,3,,,,,,,,,,,,<0;1;0;1;0;1>,,,Test Ten  ,Thử nghiệm mười,,Test Ten  ,การทดสอบสิบ  ,Uji Coba Sepuluh  ,Pagsubok Sampu  ,Ujian Sepuluh  ,This is Test 10,,This is Test 10,นี่คือการทดสอบ 10,Ini adalah Uji Coba 10,Ito ay Pagsubok 10,Ini adalah Ujian 10,,<191;192;193>,"csv.""csv.stage.sum",,,,Evaluation 10 (Must complete the level to display),Đánh giá 10 (Phải hoàn thành cấp độ mới có thể hiển thị),,Evaluation 10 (Must complete the level to display),การประเมิน 10 (ต้องผ่านด่านจึงจะแสดงได้),Evaluasi 10 (Harus menyelesaikan level untuk ditampilkan),Pagsusuri 10 (Dapat ipakita lamang kapag natapos ang antas),Penilaian 10 (Perlu lengkapkan tahap untuk dipaparkan),,,,,,
1001,1,1,1,,,,,,,,,,,<0;1;0;0;1;0>,,,Botanical Garden  ,Vườn thực vật,,Botanical Garden  ,สวนพฤกษศาสตร์  ,Kebun Botani  ,Hardin ng mga Halaman  ,Taman Botani  ,"Level Effect: Cancels the cooldown time of ""Sneak""; Xem Mi is permanently banned from healing; Greatly increases the recovery rate of other creatures. Victory Condition: Defeat Xem Mi",,"Level Effect: Cancels the cooldown time of ""Sneak""; Xem Mi is permanently banned from healing; Greatly increases the recovery rate of other creatures. Victory Condition: Defeat Xem Mi","เอฟเฟกต์ระดับ: ยกเลิกคูลดาวน์ของ ""ลอบเร้น""; Xem Mi ถูกห้ามรักษาอย่างถาวร; เพิ่มอัตราการฟื้นตัวของสิ่งมีชีวิตอื่นอย่างมาก เงื่อนไขชนะ: เอาชนะ Xem Mi","Efek Level: Membatalkan waktu cooldown ""Mengendap""; Xem Mi dilarang sembuh secara permanen; Meningkatkan tingkat pemulihan makhluk lain secara besar-besaran. Syarat Menang: Kalahkan Xem Mi","Epekto ng Antas: Kanselahin ang cooldown ng ""Pagsalakay""; Hindi na maaaring gumaling si Xem Mi; Malaki ang pagtaas ng bilis ng paggaling ng ibang nilalang. Kondisyon sa Panalo: Talunin si Xem Mi","Kesan Tahap: Membatalkan masa cooldown ""Menyelinap""; Xem Mi dilarang sembuh secara kekal; Meningkatkan kadar pemulihan makhluk lain dengan ketara. Syarat Menang: Kalahkan Xem Mi",,<1001>,"csv.""csv.stage.sum",1001,,,"After overcoming the challenge, you received a green stone tablet with an image of a fabric ball #L10##C0x57D700##C0x5B545B##L0#.","Sau khi vượt qua thử thách, các bạn đã nhận được một tấm bia đá màu xanh với hình vẽ #L10##C0x57D700#hình ảnh quả cầu vải#C0x5B545B##L0#.",,"After overcoming the challenge, you received a green stone tablet with an image of a fabric ball #L10##C0x57D700##C0x5B545B##L0#.",หลังจากผ่านความท้าทาย คุณได้รับแผ่นหินสีเขียวพร้อมภาพของลูกบอลผ้า #L10##C0x57D700##C0x5B545B##L0#,"Setelah menyelesaikan tantangan, kamu menerima tablet batu hijau dengan gambar bola kain #L10##C0x57D700##C0x5B545B##L0#","Matapos malampasan ang hamon, nakatanggap kayo ng berdeng tabletang bato na may larawang bola ng tela #L10##C0x57D700##C0x5B545B##L0#","Selepas mengatasi cabaran, anda menerima batu berwarna hijau dengan imej bola kain #L10##C0x57D700##C0x5B545B##L0#",,{21771=6;gold=50000;6394=15;500=1},,,,
1011,2,1,1,,,,,,,,,,,<0;0;0;0;1;0>,,,Snow House  ,Nhà tuyết,,Snow House  ,บ้านหิมะ  ,Rumah Salju  ,Bahay ng Niyebe  ,Rumah Salji  ,"Level Effect: Frozen targets cannot be selected, if your entire team is frozen, you lose; Each turn, the enemy's control rate increases. Victory Condition: Win the match",,"Level Effect: Frozen targets cannot be selected, if your entire team is frozen, you lose; Each turn, the enemy's control rate increases. Victory Condition: Win the match",เอฟเฟกต์ระดับ: เป้าหมายที่ถูกแช่แข็งจะไม่สามารถเลือกได้ หากทั้งทีมของคุณถูกแช่แข็งจะถือว่าแพ้; ทุกเทิร์น อัตราการควบคุมของศัตรูจะเพิ่มขึ้น เงื่อนไขชนะ: ชนะการต่อสู้,"Efek Level: Target yang dibekukan tidak dapat dipilih, jika seluruh timmu dibekukan maka akan kalah; Setiap giliran, tingkat kontrol musuh akan meningkat. Syarat Menang: Menang dalam pertandingan","Epekto ng Antas: Ang mga nagyeyelong target ay hindi maaaring piliin, kapag nagyeyelo ang buong koponan ay talo; Bawat turn, tumataas ang control rate ng kalaban. Kondisyon sa Panalo: Manalo sa laban","Kesan Tahap: Sasaran yang dibekukan tidak boleh dipilih, jika keseluruhan pasukan dibekukan, anda kalah; Setiap pusingan, kadar kawalan musuh meningkat. Syarat Menang: Menang perlawanan",,<1011>,"csv.""csv.stage.sum",,,,"After overcoming the challenge, you received a blue stone tablet with an image of a starfish #L10##C0x00CED7##C0x5B545B##L0#.","Sau khi vượt qua thử thách, các bạn đã nhận được một tấm bia đá màu xanh dương với hình vẽ #L10##C0x00CED7#hình ảnh sao biển#C0x5B545B##L0#.",,"After overcoming the challenge, you received a blue stone tablet with an image of a starfish #L10##C0x00CED7##C0x5B545B##L0#.",หลังจากผ่านความท้าทาย คุณได้รับแผ่นหินสีน้ำเงินพร้อมภาพของปลาดาว #L10##C0x00CED7##C0x5B545B##L0#,"Setelah menyelesaikan tantangan, kamu menerima tablet batu biru dengan gambar bintang laut #L10##C0x00CED7##C0x5B545B##L0#","Matapos malampasan ang hamon, nakatanggap kayo ng bughaw na tabletang bato na may larawang starfish #L10##C0x00CED7##C0x5B545B##L0#","Selepas mengatasi cabaran, anda menerima batu berwarna biru dengan imej tapak sulaiman #L10##C0x00CED7##C0x5B545B##L0#",,{21771=7;gold=60000;6394=15;526=2},,,,
1021,3,1,1,,,,,,,,,,,<0;0;0;1;1;1>,,,Mirror City  ,Thành phố gương,,Mirror City  ,เมืองกระจก  ,Kota Cermin  ,Lungsod ng Salamin  ,Bandar Cermin  ,"Level Effect: The enemy opposite becomes a projection, enemies attacked by the projected target will receive healing. Victory Condition: Win the match",,"Level Effect: The enemy opposite becomes a projection, enemies attacked by the projected target will receive healing. Victory Condition: Win the match",เอฟเฟกต์ระดับ: ศัตรูที่อยู่ตรงข้ามจะกลายเป็นภาพสะท้อน ศัตรูที่ถูกโจมตีโดยเป้าหมายภาพสะท้อนจะได้รับการฟื้นฟู เงื่อนไขชนะ: ชนะการต่อสู้,"Efek Level: Musuh di depan menjadi bayangan, musuh yang diserang oleh target bayangan akan menerima pemulihan. Syarat Menang: Menang dalam pertandingan","Epekto ng Antas: Ang kalaban sa tapat ay nagiging anino, ang mga kalaban na tinamaan ng anino ay gagaling. Kondisyon sa Panalo: Manalo sa laban","Kesan Tahap: Musuh di hadapan menjadi bayangan, musuh yang diserang oleh bayangan akan pulih. Syarat Menang: Menang perlawanan",,<1021>,"csv.""csv.stage.sum",,,,"After overcoming the challenge, you received a white stone tablet with an image of a green caterpillar #L10##C0xAEAEA8##C0x5B545B##L0#.","Sau khi vượt qua thử thách, các bạn đã nhận được một tấm bia đá màu trắng với hình vẽ #L10##C0xAEAEA8#hình ảnh sâu bướm xanh#C0x5B545B##L0#.",,"After overcoming the challenge, you received a white stone tablet with an image of a green caterpillar #L10##C0xAEAEA8##C0x5B545B##L0#.",หลังจากผ่านความท้าทาย คุณได้รับแผ่นหินสีขาวพร้อมภาพของหนอนผีเสื้อสีเขียว #L10##C0xAEAEA8##C0x5B545B##L0#,"Setelah menyelesaikan tantangan, kamu menerima tablet batu putih dengan gambar ulat hijau #L10##C0xAEAEA8##C0x5B545B##L0#","Matapos malampasan ang hamon, nakatanggap kayo ng puting tabletang bato na may larawang berdeng uod #L10##C0xAEAEA8##C0x5B545B##L0#","Selepas mengatasi cabaran, anda menerima batu berwarna putih dengan imej ulat hijau #L10##C0xAEAEA8##C0x5B545B##L0#",,{21771=8;gold=70000;6394=15;rmb=100},,,,
1031,4,2,1,,,,,,,,,,,<0;0;0;1;1;1>,,,Fire Island  ,Đảo lửa,,Fire Island  ,เกาะไฟ  ,Pulau Api  ,Isla ng Apoy  ,Pulau Api  ,"Level Effect: Each Charizard has a unique ability, try to survive! Victory Condition: Survive until turn 7",,"Level Effect: Each Charizard has a unique ability, try to survive! Victory Condition: Survive until turn 7",เอฟเฟกต์ระดับ: Charizard แต่ละตัวมีความสามารถเฉพาะตัว พยายามเอาชีวิตรอด! เงื่อนไขชนะ: อยู่รอดจนถึงเทิร์นที่ 7,"Efek Level: Setiap Charizard memiliki kemampuan unik, cobalah bertahan hidup! Syarat Menang: Bertahan hingga giliran ke-7","Epekto ng Antas: Bawat Charizard ay may natatanging kakayahan, subukang mabuhay! Kondisyon sa Panalo: Mabuhay hanggang turn 7","Kesan Tahap: Setiap Charizard mempunyai kebolehan tersendiri, cubalah untuk bertahan hidup! Syarat Menang: Bertahan hingga pusingan ke-7",,<1031>,"csv.""csv.stage.sum",,,,"After overcoming the challenge, you received a red stone tablet with an image of wild grass #L10##C0xEE2417##C0x5B545B##L0#.","Sau khi vượt qua thử thách, các bạn đã nhận được một tấm bia đá màu đỏ với hình vẽ #L10##C0xEE2417#hình ảnh cỏ dại#C0x5B545B##L0#.",,"After overcoming the challenge, you received a red stone tablet with an image of wild grass #L10##C0xEE2417##C0x5B545B##L0#.",หลังจากผ่านความท้าทาย คุณได้รับแผ่นหินสีแดงพร้อมภาพของหญ้าป่า #L10##C0xEE2417##C0x5B545B##L0#,"Setelah menyelesaikan tantangan, kamu menerima tablet batu merah dengan gambar rumput liar #L10##C0xEE2417##C0x5B545B##L0#","Matapos malampasan ang hamon, nakatanggap kayo ng pulang tabletang bato na may larawang damo #L10##C0xEE2417##C0x5B545B##L0#","Selepas mengatasi cabaran, anda menerima batu berwarna merah dengan imej rumput liar #L10##C0xEE2417##C0x5B545B##L0#",,{850=200;21771=9;gold=80000;6394=15;851=400},,,,
1041,5,2,1,,,,,,,,,,,<0;0;0;1;1;1>,,,Illusion  ,Ảo cảnh,,Illusion  ,ภาพลวงตา  ,Ilusi  ,Ilusyon  ,Ilusi  ,"Level Effect: Alakazam's true consciousness hides among many clones, find it! Alakazam will shift its true consciousness when in danger. Victory Condition: Defeat Alakazam's true consciousness",,"Level Effect: Alakazam's true consciousness hides among many clones, find it! Alakazam will shift its true consciousness when in danger. Victory Condition: Defeat Alakazam's true consciousness",เอฟเฟกต์ระดับ: จิตสำนึกที่แท้จริงของ Alakazam ซ่อนอยู่ในร่างโคลนหลายตัว ค้นหาให้เจอ! Alakazam จะย้ายจิตสำนึกเมื่ออยู่ในอันตราย เงื่อนไขชนะ: เอาชนะจิตสำนึกที่แท้จริงของ Alakazam,"Efek Level: Kesadaran sejati Alakazam tersembunyi di antara banyak klon, temukan dia! Alakazam akan berpindah kesadaran jika dalam bahaya. Syarat Menang: Kalahkan kesadaran sejati Alakazam","Epekto ng Antas: Ang tunay na kamalayan ni Alakazam ay nakatago sa maraming kopya, hanapin ito! Lilipat ang kanyang kamalayan kapag nasa panganib. Kondisyon sa Panalo: Talunin ang tunay na Alakazam","Kesan Tahap: Kesedaran sebenar Alakazam tersembunyi dalam banyak klon, cari ia! Alakazam akan memindahkan kesedarannya apabila dalam bahaya. Syarat Menang: Kalahkan kesedaran sebenar Alakazam",,<1041>,"csv.""csv.stage.sum",,,,"After overcoming the challenge, you received a purple stone tablet with an image of Machoke #L10##C0xC817EE##C0x5B545B##L0#.","Sau khi vượt qua thử thách, các bạn đã nhận được một tấm bia đá màu tím với hình vẽ #L10##C0xC817EE#hình ảnh Machoke#C0x5B545B##L0#.",,"After overcoming the challenge, you received a purple stone tablet with an image of Machoke #L10##C0xC817EE##C0x5B545B##L0#.",หลังจากผ่านความท้าทาย คุณได้รับแผ่นหินสีม่วงพร้อมภาพของมาช็อก #L10##C0xC817EE##C0x5B545B##L0#,"Setelah menyelesaikan tantangan, kamu menerima tablet batu ungu dengan gambar Machoke #L10##C0xC817EE##C0x5B545B##L0#","Matapos malampasan ang hamon, nakatanggap kayo ng lilang tabletang bato na may larawang Machoke #L10##C0xC817EE##C0x5B545B##L0#","Selepas mengatasi cabaran, anda menerima batu berwarna ungu dengan imej Machoke #L10##C0xC817EE##C0x5B545B##L0#",,{529=1000;21771=10;gold=90000;6394=15},,,,
1051,6,2,1,,,,,,,,,,,<1;0;1;1;1;1>,,,Ferris Wheel  ,Vòng đu quay,,Ferris Wheel  ,ชิงช้าสวรรค์  ,Kincir Ria  ,Ferris Wheel  ,Roda Ferris  ,"Level Effect: Hoopa loves to lie, only the truthful Hoopa provides clues. Victory Condition: Defeat all truthful Hoopa",,"Level Effect: Hoopa loves to lie, only the truthful Hoopa provides clues. Victory Condition: Defeat all truthful Hoopa",เอฟเฟกต์ระดับ: Hoopa ชอบโกหก มีเพียง Hoopa ที่พูดความจริงเท่านั้นที่ให้เบาะแส เงื่อนไขชนะ: เอาชนะ Hoopa ที่พูดความจริงทั้งหมด,"Efek Level: Hoopa suka berbohong, hanya Hoopa yang berkata jujur yang memberi petunjuk. Syarat Menang: Kalahkan semua Hoopa yang berkata jujur","Epekto ng Antas: Mahilig magsinungaling si Hoopa, tanging ang nagsasabi ng totoo ang nagbibigay ng clue. Kondisyon sa Panalo: Talunin ang lahat ng nagsasabi ng totoo na Hoopa","Kesan Tahap: Hoopa suka menipu, hanya Hoopa yang jujur akan memberi petunjuk. Syarat Menang: Kalahkan semua Hoopa yang jujur",,<1051>,"csv.""csv.stage.sum",,,,"After overcoming the challenge, you received a yellow stone tablet with an image of a crown goldfish #L10##C0xEEE017##C0x5B545B##L0#.","Sau khi vượt qua thử thách, các bạn đã nhận được một tấm bia đá màu vàng với hình vẽ #L10##C0xEEE017#hình ảnh cá vàng vương miện#C0x5B545B##L0#.",,"After overcoming the challenge, you received a yellow stone tablet with an image of a crown goldfish #L10##C0xEEE017##C0x5B545B##L0#.",หลังจากผ่านความท้าทาย คุณได้รับแผ่นหินสีเหลืองพร้อมภาพของปลาทองมีมงกุฎ #L10##C0xEEE017##C0x5B545B##L0#,"Setelah menyelesaikan tantangan, kamu menerima tablet batu kuning dengan gambar ikan mas mahkota #L10##C0xEEE017##C0x5B545B##L0#","Matapos malampasan ang hamon, nakatanggap kayo ng dilaw na tabletang bato na may larawang gintong isda na may korona #L10##C0xEEE017##C0x5B545B##L0#","Selepas mengatasi cabaran, anda menerima batu berwarna kuning dengan imej ikan mas mahkota #L10##C0xEEE017##C0x5B545B##L0#",,{21771=11;gold=100000;501=2;6394=15},,,,
1061,7,3,1,,,,,,,,,,,<1;0;1;0;0;0>,,,Rescue  ,Cứu,,Rescue  ,ช่วยเหลือ  ,Penyelamatan  ,Sagip  ,Menyelamat  ,Level Effect: Protect the injured Magikarp. Victory Condition: Win the game and keep Magikarp alive,,Level Effect: Protect the injured Magikarp. Victory Condition: Win the game and keep Magikarp alive,เอฟเฟกต์ระดับ: ปกป้อง Magikarp ที่บาดเจ็บ เงื่อนไขชนะ: ชนะเกมและ Magikarp ยังมีชีวิตอยู่,Efek Level: Lindungi Magikarp yang terluka. Syarat Menang: Menangkan permainan dan Magikarp tetap hidup,Epekto ng Antas: Protektahan ang nasugatang Magikarp. Kondisyon sa Panalo: Manalo sa laro at mabuhay si Magikarp,Kesan Tahap: Lindungi Magikarp yang cedera. Syarat Menang: Menang permainan dan Magikarp masih hidup,,<1061>,"csv.""csv.stage.sum",,,,"After catching up with the mischievous youths, you rescued the injured Magikarp and temporarily captured it in a Pokéball.","Sau khi đuổi kịp những thanh niên nghịch ngợm, các bạn đã cứu được con Magikarp bị thương và tạm thời thu phục nó vào Pokéball.",,"After catching up with the mischievous youths, you rescued the injured Magikarp and temporarily captured it in a Pokéball.",หลังจากตามทันกลุ่มเด็กซน คุณได้ช่วยปลามาจิกคาร์ปที่บาดเจ็บและจับมันไว้ในโปเกบอล,"Setelah mengejar anak-anak nakal, kamu berhasil menyelamatkan Magikarp yang terluka dan menangkapnya sementara ke dalam Pokéball","Matapos habulin ang mga pasaway na kabataan, nailigtas ninyo ang nasugatang Magikarp at pansamantalang nakuha ito sa Pokéball","Selepas mengejar remaja nakal, anda berjaya menyelamatkan Magikarp yang cedera dan menangkapnya sementara ke dalam Pokéball",,{21771=12;gold=110000;972=1;6394=15},,,,
1071,8,3,1,,,,,,,,,,,,,,Treasure  ,Kho báu,,Treasure  ,สมบัติ  ,Harta Karun  ,Kayamanan  ,Harta Karun  ,"Level Effect: The different color pillars seem to be related to the stone tablet earlier, what do the images on the stone tablet mean? Victory Condition: Win the game",,"Level Effect: The different color pillars seem to be related to the stone tablet earlier, what do the images on the stone tablet mean? Victory Condition: Win the game",เอฟเฟกต์ระดับ: เสาสีต่างๆ ดูเหมือนจะเกี่ยวข้องกับแผ่นหินก่อนหน้า ภาพบนแผ่นหินหมายความว่าอย่างไร? เงื่อนไขชนะ: ชนะเกม,"Efek Level: Pilar warna yang berbeda tampaknya terkait dengan batu sebelumnya, apa arti gambar di batu itu? Syarat Menang: Menangkan permainan","Epekto ng Antas: Mukhang may kaugnayan ang iba't ibang kulay ng haligi sa bato, ano ang ibig sabihin ng mga larawan sa bato? Kondisyon sa Panalo: Manalo sa laro","Kesan Tahap: Tiang warna yang berbeza nampaknya berkaitan dengan batu sebelum ini, apakah maksud gambar pada batu itu? Syarat Menang: Menang permainan",,<1071>,"csv.""csv.stage.sum",,,,"After solving the desert mystery, you found a beautiful Milotic statue.","Sau khi giải quyết được bí ẩn trong sa mạc, các bạn đã tìm thấy một bức tượng Milotic tuyệt đẹp.",,"After solving the desert mystery, you found a beautiful Milotic statue.",หลังจากไขปริศนาในทะเลทราย คุณได้พบรูปปั้นมิโลติกที่สวยงาม,"Setelah memecahkan misteri gurun, kamu menemukan patung Milotic yang indah","Matapos malutas ang misteryo sa disyerto, natagpuan ninyo ang isang magandang rebultong Milotic","Selepas menyelesaikan misteri padang pasir, anda menjumpai patung Milotic yang cantik",,{502=6;21771=13;gold=120000;6394=15},,,,
1081,9,3,1,,,,,,,,,,,<1;0;1;0;1;0>,,1,Plunder  ,Cướp đoạt,,Plunder  ,ปล้นสะดม  ,Perampasan  ,Pagnanakaw  ,Rampasan  ,Level Effect: Be careful not to let the Milotic statue be destroyed. Victory Condition: Win in one turn and keep the Milotic statue intact,,Level Effect: Be careful not to let the Milotic statue be destroyed. Victory Condition: Win in one turn and keep the Milotic statue intact,เอฟเฟกต์ระดับ: ระวังอย่าให้รูปปั้น Milotic พัง เงื่อนไขชนะ: ชนะภายใน 1 เทิร์นและรูปปั้น Milotic ไม่แตก,"Efek Level: Hati-hati, jangan biarkan patung Milotic hancur. Syarat Menang: Menang dalam satu giliran dan patung Milotic tetap utuh","Epekto ng Antas: Mag-ingat, huwag hayaang masira ang estatwa ni Milotic. Kondisyon sa Panalo: Manalo sa isang turn at manatiling buo ang estatwa","Kesan Tahap: Berhati-hatilah, jangan biarkan patung Milotic pecah. Syarat Menang: Menang dalam satu pusingan dan pastikan patung Milotic tidak rosak",,<1081>,"csv.""csv.stage.sum",,,,"The Milotic statue was stolen by Team Rocket, and during the retrieval process, you unfortunately fell from the plane…","Bức tượng Milotic đã bị Team Rocket cướp đi, trong quá trình lấy lại bức tượng Milotic, các bạn không may bị ngã khỏi máy bay…",,"The Milotic statue was stolen by Team Rocket, and during the retrieval process, you unfortunately fell from the plane…",รูปปั้นมิโลติกถูกขโมยไปโดยทีมร็อกเก็ต และระหว่างการนำกลับ คุณโชคร้ายตกจากเครื่องบิน...,"Patung Milotic telah dicuri oleh Team Rocket, dan dalam proses mengambilnya kembali, kamu jatuh dari pesawat...","Ninakaw ng Team Rocket ang rebultong Milotic, at sa pagsubok na mabawi ito, kayo'y nahulog mula sa eroplano...","Patung Milotic telah dicuri oleh Team Rocket, dan semasa mencuba untuk mendapatkannya kembali, anda terjatuh dari kapal terbang…",,{21771=14;gold=130000;962=2;6394=15},,,,
1091,10,3,1,,,,,,,,,,,<1;0;0;0;1;0>,,,Temple  ,Đền thờ,,Temple  ,วิหาร  ,Kuil  ,Templo  ,Kuil  ,Level Effect: Team up with Milotic to defeat Team Rocket! Victory Condition: Win the game,,Level Effect: Team up with Milotic to defeat Team Rocket! Victory Condition: Win the game,เอฟเฟกต์ระดับ: ร่วมมือกับ Milotic เพื่อเอาชนะ Team Rocket! เงื่อนไขชนะ: ชนะเกม,Efek Level: Bersama Milotic kalahkan Team Rocket! Syarat Menang: Menangkan permainan,Epekto ng Antas: Tumulong kay Milotic upang talunin ang Team Rocket! Kondisyon sa Panalo: Manalo sa laro,Kesan Tahap: Bekerjasama dengan Milotic untuk mengalahkan Team Rocket! Syarat Menang: Menang permainan,,<1091>,"csv.""csv.stage.sum",,,,"With Milotic's help, you defeated Team Rocket and won the final victory in the summer festival adventure!","Với sự giúp đỡ của Milotic, các bạn đã đánh bại Team Rocket và giành chiến thắng cuối cùng trong sự kiện khám phá lễ hội mùa hè!",,"With Milotic's help, you defeated Team Rocket and won the final victory in the summer festival adventure!",ด้วยความช่วยเหลือของมิโลติก คุณได้เอาชนะทีมร็อกเก็ตและคว้าชัยชนะสุดท้ายในเทศกาลฤดูร้อน!,"Dengan bantuan Milotic, kamu mengalahkan Team Rocket dan meraih kemenangan akhir dalam acara penjelajahan festival musim panas!","Sa tulong ni Milotic, natalo ninyo ang Team Rocket at nagwagi sa pinakahuling laban sa summer festival adventure!","Dengan bantuan Milotic, anda menewaskan Team Rocket dan memenangi kemenangan terakhir dalam acara penjelajahan festival musim panas!",,{2419=1;gold=140000;973=1;6394=30;21771=15},,,,
