VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
9,1,50,102,"In the anime, which statement about Kojirou is false?  ","Trong anime, câu nói nào về Kojirou là sai?","In the anime, which statement about Kojirou is false?  ",ในอนิเมะ ข้อใดเกี่ยวกับ Kojirou ไม่ถูกต้อง?  ,"Dalam anime, pernyataan mana tentang Kojirou yang salah?  ","Sa anime, alin sa mga pahayag tungkol kay Kojirou ang mali?  ","Dalam anime, pernyataan manakah tentang Kojirou yang salah?",Trong lòng mềm mỏng nhưng cũng rất tàn nhẫn,Trong lòng mềm mỏng nhưng cũng rất tàn nhẫn,Gentle at heart but also ruthless  ,ภายในอ่อนโยนแต่โหดเหี้ยม  ,Lembut di hati tapi juga kejam  ,Malambot ang puso ngunit malupit  ,Berhati lembut tetapi kejam  ,Second-generation super rich,Siêu phú nhị đại,Second-generation super rich,ทายาทเศรษฐีรุ่นสอง,Anak konglomerat generasi kedua,Ikalawang henerasyong sobrang mayaman  ,Generasi kedua yang sangat kaya  ,Once designed a famous bottle cap logo,Từng thiết kế logo nắp chai nổi tiếng,Once designed a famous bottle cap logo,เคยออกแบบโลโก้ฝาขวดชื่อดัง,Pernah merancang logo tutup botol terkenal,Nakapagdisenyo ng sikat na takip ng bote,Pernah mereka logo penutup botol terkenal,A Hacker  ,Một Hacker,A Hacker  ,แฮกเกอร์คนหนึ่ง  ,Seorang Hacker  ,A Hacker  ,Seorang Peretas  ,,
10,1,50,103,"In the anime, which Pokémon species below does not appear in a different color?  ","Trong anime, loài Pokémon nào dưới đây không xuất hiện với màu sắc khác biệt?","In the anime, which Pokémon species below does not appear in a different color?  ",ในอนิเมะ โปเกมอนชนิดใดด้านล่างนี้ไม่มีสีแตกต่าง?  ,"Dalam anime, jenis Pokémon mana di bawah ini yang tidak muncul dengan warna berbeda?  ","Sa anime, alin sa mga Pokémon ang hindi lumabas na may ibang kulay?  ","Dalam anime, Pokémon manakah di bawah ini yang tidak muncul dalam warna alternatif?",Mew,Mew,Mew  ,มิว  ,Mew  ,Mew  ,Mew  ,Metallic Giant Monster,Khổng Lồ Kim Quái,Metallic Giant Monster,ยักษ์โลหะประหลาด,Monster Raksasa Logam,Higanteng Metal na Halimaw  ,Raksasa Logam Gergasi  ,Golden Carp,Cá chép vàng,Golden Carp,ปลาคาร์ฟทอง,Ikan Mas Emas,Gintong Carp,Ikan Emas,Three Big Butterflies  ,Ba lớn bướm,Three Big Butterflies  ,ผีเสื้อใหญ่สามตัว  ,Tiga Kupu-kupu Besar  ,Three Big Butterflies  ,Tiga Kupu-kupu Besar  ,,
11,1,50,104,"In the animated movie ""Pokémon: Giratina and the Ice Flower Bouquet,"" what is Shaymin's special ability?  ","Trong phim hoạt hình ""Pokémon: Giratina và bó hoa băng giá"", khả năng đặc biệt của Shaymin là gì?","In the animated movie ""Pokémon: Giratina and the Ice Flower Bouquet,"" what is Shaymin's special ability?  ","ในภาพยนตร์การ์ตูน ""โปเกมอน: Giratina และช่อดอกไม้เย็น"" ความสามารถพิเศษของ Shaymin คืออะไร?  ","Dalam film animasi ""Pokémon: Giratina dan Buket Bunga Es,"" kemampuan khusus Shaymin apa?  ","Sa animated na pelikula ""Pokémon: Giratina at ang Ice Flower Bouquet,"" ano ang espesyal na kakayahan ni Shaymin?  ","Dalam filem animasi ""Pokémon: Giratina dan Bunga Ais"", apakah kebolehan istimewa Shaymin?",Truyền tải của hoa,Truyền tải của hoa,Flower's Transmission  ,การถ่ายทอดของดอกไม้  ,Transmisi Bunga  ,Pagpapasa ng Bulaklak  ,Penyerahan Bunga  ,Summoning Ocean Flower,Hoa Hải Triệu Hồi,Summoning Ocean Flower,ดอกไม้ทะเลแห่งการอัญเชิญ,Bunga Laut Pemanggil,Bulaklak ng Karagatan ng Pagtawag  ,Bunga Lautan Panggilan  ,Flower Care,Chăm sóc hoa,Flower Care,ดูแลดอกไม้,Perawatan Bunga,Pag-aalaga ng Bulaklak,Penjagaan Bunga,Restoration Flower  ,Hoa chi khôi phục,Restoration Flower  ,ดอกไม้ฟื้นฟู  ,Bunga Pemulihan  ,Restoration Flower  ,Bunga Pemulihan  ,,
12,1,50,104,"In the animated movie ""Pokémon: The Legendary Link,"" what tool sealed Hoopa’s true body because of its crimes 100 years ago?  ","Trong phim hoạt hình ""Pokémon: Mối liên kết huyền thoại"", công cụ nào đã phong ấn cơ thể thật của Hoopa vì những tội ác của nó cách đây 100 năm?","In the animated movie ""Pokémon: The Legendary Link,"" what tool sealed Hoopa’s true body because of its crimes 100 years ago?  ","ในภาพยนตร์การ์ตูน ""โปเกมอน: การเชื่อมโยงในตำนาน"" เครื่องมือใดที่ปิดผนึกร่างจริงของ Hoopa เพราะอาชญากรรมของมันเมื่อ 100 ปีก่อน?  ","Dalam film animasi ""Pokémon: The Legendary Link,"" alat apa yang menyegel tubuh asli Hoopa karena kejahatannya 100 tahun yang lalu?  ","Sa animated na pelikula ""Pokémon: The Legendary Link,"" anong gamit ang nagtatakda sa tunay na katawan ni Hoopa dahil sa mga krimen niya 100 taon na ang nakalipas?  ","Dalam filem animasi ""Pokémon: Ikatan Legenda"", apakah alat yang telah memeterai bentuk sebenar Hoopa kerana jenayahnya 100 tahun yang lalu?",Cái bình trừng phạt,Cái bình trừng phạt,Punishment Bottle  ,ขวดลงโทษ  ,Botol Hukuman  ,Bote ng Parusa  ,Botol Hukuman  ,Sealing Pot,Phong Ấn Chi Chậu,Sealing Pot,หม้อผนึก,Pot Penyegel,Kalderong Pangtatak  ,Periuk Meterai  ,Salvation Jar,Hũ cứu rỗi,Salvation Jar,ขวดแห่งความรอด,Toples Penyelamat,Garapon ng Kaligtasan,Balang Penyelamat,Warm Judge  ,Thẩm phán chi ấm,Warm Judge  ,ผู้พิพากษาอบอุ่น  ,Hakim Hangat  ,Warm Judge  ,Hakim Hangat  ,,
13,1,50,104,"In the animated movie ""Pokémon: Mewtwo Strikes Back — Evolution,"" who was controlled by Mewtwo?  ","Trong phim hoạt hình ""Pokémon: Cuộc phản công của Mewtwo - Tiến hóa"", ai đã bị Mewtwo điều khiển?","In the animated movie ""Pokémon: Mewtwo Strikes Back — Evolution,"" who was controlled by Mewtwo?  ","ในภาพยนตร์การ์ตูน ""โปเกมอน: การต่อต้านของ Mewtwo - วิวัฒนาการ"" ใครถูก Mewtwo ควบคุม?  ","Dalam film animasi ""Pokémon: Serangan Balik Mewtwo - Evolusi,"" siapa yang dikendalikan oleh Mewtwo?  ","Sa animated na pelikula ""Pokémon: Mewtwo Strikes Back — Evolution,"" sino ang kinontrol ni Mewtwo?  ","Dalam filem animasi ""Pokémon: Serangan Balas Mewtwo - Evolusi"", siapakah yang telah dikawal oleh Mewtwo?",Cô Joy,Cô Joy,Nurse Joy  ,พยาบาลจอย  ,Suster Joy  ,Nars Joy  ,Jururawat Joy  ,Lady Quân Sa,Quân Sa Tiểu Thư,Lady Quân Sa,คุณหนูจวินซา,Nona Quân Sa,Senyorita Quân Sa  ,Senorita Quân Sa  ,Mewtwo,Mewtwo,Mewtwo,มิวทู,Mewtwo,Mewtwo,Mewtwo,Little Ha  ,Tiểu Hà,Little Ha  ,เล็ก ฮา  ,Xiao Ha  ,Little Ha  ,Xiao Ha  ,,
14,1,50,104,"In the animated movie ""Pokémon: The Emperor of the Crystal Tower,"" what is the name of the home of Kasumi and her father, Dokutā Shūri?  ","Trong phim hoạt hình ""Pokémon: Hoàng đế của tháp pha lê"", nơi sống của Kasumi và cha cô, Dokutā Shūri, gọi là gì?","In the animated movie ""Pokémon: The Emperor of the Crystal Tower,"" what is the name of the home of Kasumi and her father, Dokutā Shūri?  ","ในภาพยนตร์การ์ตูน ""โปเกมอน: จักรพรรดิแห่งหอคริสตัล"" ที่อยู่อาศัยของ Kasumi และพ่อของเธอ Dokutā Shūri เรียกว่าอะไร?  ","Dalam film animasi ""Pokémon: Kaisar Menara Kristal,"" tempat tinggal Kasumi dan ayahnya Dokutā Shūri disebut apa?  ","Sa animated na pelikula ""Pokémon: The Emperor of the Crystal Tower,"" ano ang pangalan ng tahanan ni Kasumi at ng kanyang ama, Dokutā Shūri?  ","Dalam filem animasi ""Pokémon: Maharaja Menara Kristal"", apakah nama tempat tinggal Kasumi dan ayahnya, Doktor Shūri?",Cánh đồng xanh,Cánh đồng xanh,Green Field  ,ทุ่งหญ้าเขียว  ,Padang Rumput Hijau  ,Luntiang Bukirin  ,Padang Hijau  ,A Lộ Phú Ruins,A Lộ Phú Di Tích,A Lộ Phú Ruins,ซากโบราณสถานอาหลู่ฝู,Reruntuhan A Lu Fu,Guho ng A Luofu  ,Runtuhan A Luofu  ,Secret Garden,Vườn bí mật,Secret Garden,สวนลับ,Taman Rahasia,Lihim na Hardin,Taman Rahsia,Dragon's Holy Domain  ,Long chi Thánh Vực,Dragon's Holy Domain  ,ดินแดนศักดิ์สิทธิ์มังกร  ,Wilayah Suci Naga  ,Dragon's Holy Domain  ,Wilayah Suci Naga  ,,
15,1,30,105,"In this game, what is the individual value limit for a single Pokémon?  ","Trong trò chơi này, giới hạn giá trị cá thể đơn lẻ của Pokémon là bao nhiêu?","In this game, what is the individual value limit for a single Pokémon?  ",ในเกมนี้ ขีดจำกัดค่าส่วนบุคคลของโปเกมอนแต่ละตัวคือเท่าไร?  ,"Dalam permainan ini, berapa batas nilai individu untuk satu Pokémon?  ","Sa larong ito, ano ang limitasyon ng individual value ng isang Pokémon?  ","Dalam permainan ini, apakah had nilai individu tunggal bagi Pokémon?",,,,,,,,30,30,30,30,30,30,30,35,35,35,35,35,35,35,41,41,41,41,41,41,41,,
16,1,30,105,"In this game, which method can permanently obtain a title?  ","Trong trò chơi này, phương pháp nào sau đây có thể nhận được danh hiệu vĩnh viễn?","In this game, which method can permanently obtain a title?  ",ในเกมนี้ วิธีใดต่อไปนี้สามารถรับตำแหน่งถาวร?  ,"Dalam permainan ini, metode mana yang dapat memperoleh gelar permanen?  ","Sa larong ito, anong paraan ang makakakuha ng permanenteng titulo?  ","Dalam permainan ini, kaedah manakah berikut boleh memperoleh gelaran kekal?",Điểm thể lực đạt 3000,Điểm thể lực đạt 3000,Stamina reaches 3000  ,ค่าพลังถึง 3000  ,Stamina mencapai 3000  ,Lakas umabot sa 3000  ,Kekuatan mencecah 3000  ,First-Class Arena  ,Đấu Trường Đệ Nhất Danh,First-Class Arena  ,อารีนาระดับหนึ่ง  ,Arena Kelas Satu  ,Unang Klase na Arena  ,Arena Kelas Pertama  ,Became Honorary Zone President,Trở thành chủ tịch của khu danh dự,Became Honorary Zone President,เป็นประธานเขตเกียรติยศ,Menjadi Ketua Wilayah Kehormatan,Naging Pangulo ng Honor Zone,Menjadi Presiden Zon Kehormat,Top-ranked Inspector Gear  ,Đồ giám xếp hạng đệ nhất,Top-ranked Inspector Gear  ,เกียร์ผู้ตรวจสอบอันดับหนึ่ง  ,Peralatan Inspektur Peringkat Teratas  ,Top-ranked Inspector Gear  ,Peralatan Inspektur Peringkat Teratas  ,,
17,1,30,105,"In this game, which attribute cannot be inherited or transferred between Pokémon?  ","Trong trò chơi này, thuộc tính nào không thể được kế thừa hoặc trao đổi giữa các Pokémon?","In this game, which attribute cannot be inherited or transferred between Pokémon?  ",ในเกมนี้ คุณลักษณะใดไม่สามารถสืบทอดหรือแลกเปลี่ยนระหว่างโปเกมอนได้?  ,"Dalam permainan ini, atribut mana yang tidak dapat diwariskan atau dipertukarkan antar Pokémon?  ","Sa larong ito, anong attribute ang hindi maaaring ipamana o ipasa sa pagitan ng mga Pokémon?  ","Dalam permainan ini, atribut manakah yang tidak boleh diwarisi atau ditukar antara Pokémon?",Sao,Sao,Star  ,ดาว  ,Bintang  ,Bituin  ,Bintang  ,Personality  ,Tính Cách,Personality  ,บุคลิกภาพ  ,Kepribadian  ,Pagkatao  ,Perwatakan  ,Valuable Effort,Nỗ lực giá trị,Valuable Effort,ความพยายามที่มีค่า,Upaya Bernilai,Mahahalagang Pagsisikap,Usaha Bernilai,Affinity Level  ,Độ thiện cảm,Affinity Level  ,ระดับความชอบ  ,Tingkat Kesukaan  ,Affinity Level  ,Tingkat Kesukaan  ,,
18,1,30,105,"In this game, how many floors does Ether Park have at maximum?  ","Trong trò chơi này, Ether Park có tối đa bao nhiêu tầng?","In this game, how many floors does Ether Park have at maximum?  ",ในเกมนี้ Ether Park มีจำนวนชั้นสูงสุดกี่ชั้น?  ,"Dalam permainan ini, Ether Park memiliki berapa lantai maksimal?  ","Sa larong ito, ilang palapag ang Ether Park sa maximum?  ","Dalam permainan ini, Ether Park mempunyai maksimum berapa tingkat?",,,,,,,,8,8,8,8,8,8,8,10,10,10,10,10,10,10,6,6,6,6,6,6,6,,
19,1,30,105,"In this game, which type of item cannot be obtained from the daily clone?  ","Trong trò chơi này, bản sao hằng ngày không thể nhận được loại vật phẩm nào?","In this game, which type of item cannot be obtained from the daily clone?  ",ในเกมนี้ สำเนาประจำวันไม่สามารถรับไอเท็มประเภทใด?  ,"Dalam permainan ini, jenis barang apa yang tidak dapat diperoleh dari klon harian?  ","Sa larong ito, anong klase ng item ang hindi makukuha mula sa daily clone?  ","Dalam permainan ini, salinan harian tidak boleh memperoleh jenis item yang mana?",Mảnh vỡ thần thú vạn năng,Mảnh vỡ thần thú vạn năng,Universal Divine Beast Shard  ,เศษสัตว์เทพสารพัดประโยชน์  ,Pecahan Binatang Ilahi Serbaguna  ,Pangkalahatang Piraso ng Banal na Hayop  ,Serpihan Umum Binatang Suci  ,Gold Ingots  ,Kim Nguyên Bảo,Gold Ingots  ,ทองแท่ง  ,Batangan Emas  ,Gintong Ingot  ,Ingot Emas  ,Experience Item,Đồ vật kinh nghiệm,Experience Item,ไอเท็มประสบการณ์,Item Pengalaman,Karanasan na Bagay,Item Pengalaman,Gift Affinity  ,Độ thiện cảm lễ vật,Gift Affinity  ,ของขวัญความชอบ  ,Hadiah Kesukaan  ,Gift Affinity  ,Hadiah Kesukaan  ,,
20,1,30,105,"In this game, at what time each evening does the Arena calculate rank rewards?  ","Trong trò chơi này, Arena sẽ tính toán phần thưởng xếp hạng vào mấy giờ mỗi tối?","In this game, at what time each evening does the Arena calculate rank rewards?  ",ในเกมนี้ Arena จะคำนวณรางวัลอันดับเวลาใดในแต่ละคืน?  ,"Dalam permainan ini, Arena akan menghitung hadiah peringkat pada jam berapa setiap malam?  ","Sa larong ito, anong oras tuwing gabi kinakalculate ng Arena ang rank rewards?  ","Dalam permainan ini, Arena akan mengira ganjaran kedudukan pada jam berapa setiap malam?",Mỗi ngày 21:00,Mỗi ngày 21:00,Every day at 21:00  ,ทุกวันเวลา 21:00  ,Setiap hari pukul 21:00  ,Araw-araw sa ganap na 21:00  ,Setiap hari pada pukul 21:00  ,Daily at 21:30  ,Mỗi ngày 21:30,Daily at 21:30  ,ทุกวันเวลา 21:30  ,Setiap hari pukul 21:30  ,Araw-araw tuwing 21:30  ,Setiap hari pada pukul 21:30  ,Every day at 22:00,Mỗi ngày lúc 22:00,Every day at 22:00,ทุกวันเวลา 22:00 น.,Setiap hari pukul 22:00,Araw-araw sa 22:00,Setiap hari pada pukul 22:00,Daily at 20:30  ,Mỗi ngày 20:30,Daily at 20:30  ,ทุกวันเวลา 20:30  ,Setiap hari pukul 20:30  ,Daily at 20:30  ,Setiap hari pukul 20:30  ,,
21,1,30,105,"In this game, when a Pokémon reaches how many stars does it unlock maximum attribute training?  ","Trong trò chơi này, khi Pokémon đạt đến sao bao nhiêu sẽ mở khóa huấn luyện thuộc tính tối đa?","In this game, when a Pokémon reaches how many stars does it unlock maximum attribute training?  ",ในเกมนี้ เมื่อโปเกมอนมีดาวกี่ดวงจะปลดล็อกการฝึกคุณลักษณะสูงสุด?  ,"Dalam permainan ini, saat Pokémon mencapai berapa bintang akan membuka pelatihan atribut maksimum?  ","Sa larong ito, kapag umabot ng ilang stars ang Pokémon, ma-uunlock ang maximum attribute training?  ","Dalam permainan ini, pada bintang berapa Pokémon akan membuka kunci latihan atribut maksimum?",,,,,,,,4,4,4,4,4,4,4,8,8,8,8,8,8,8,10,10,10,10,10,10,10,,
