VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,gateID,firstAward,repeatAward,challengeAward,killAward,desc_cn,desc_tw,desc_vn,desc,desc_en,desc_th,desc_in,desc_ph,desc_ma
Defaults,"""""","""""","""""","""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""","""""","""""","""""","""""","""""",""""""
公会副本ID,副本名称,name_vn,name_en,name_th,name_in,name_ph,name_ma,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,desc_vn,特性介绍,desc_en,desc_th,desc_in,desc_ph,desc_ma
11,Misaka Mikoto  ,Misaka Mikoto,Misaka Mikoto  ,Misaka Mikoto  ,Misaka Mikoto  ,Misaka Mikoto  ,Misaka Mikoto  ,1010,{932=50;5000=50;19=2},{932=20;951=1;gold=130000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Mikoto Misaka dường như đã có được sức mạnh mạnh mẽ hơn.,Mikoto Misaka seems to have gained great power.  ,Mikoto Misaka seems to have gained great power.  ,Mikoto Misaka ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Mikoto Misaka tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Mikoto Misaka.  ,Mikoto Misaka nampaknya telah mendapat kuasa hebat.  
12,Hatake Kakashi  ,Hatake Kakashi,Hatake Kakashi  ,Hatake Kakashi  ,Hatake Kakashi  ,Hatake Kakashi  ,Hatake Kakashi  ,1011,{932=50;5000=50;519=1},{932=20;951=1;gold=140000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Kakashi Hatake dường như đã có được sức mạnh mạnh mẽ hơn.,Kakashi Hatake seems to have gained great power.  ,Kakashi Hatake seems to have gained great power.  ,Kakashi Hatake ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Kakashi Hatake tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Kakashi Hatake.  ,Kakashi Hatake nampaknya telah mendapat kuasa hebat.  
13,Shihouin Yoruichi  ,Shihouin Yoruichi,Shihouin Yoruichi  ,Shihouin Yoruichi  ,Shihouin Yoruichi  ,Shihouin Yoruichi  ,Shihouin Yoruichi  ,1012,{502=1;932=50;5000=50},{932=20;951=1;gold=150000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Yoruichi Shihouin dường như đã có được sức mạnh mạnh mẽ hơn.,Yoruichi Shihouin seems to have gained great power.  ,Yoruichi Shihouin seems to have gained great power.  ,Yoruichi Shihouin ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Yoruichi Shihouin tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Yoruichi Shihouin.  ,Yoruichi Shihouin nampaknya telah mendapat kuasa hebat.  
14,Lina · Inverse Bath  ,Lina · Bởi vì Bath,Lina · Inverse Bath  ,Lina · อาบน้ำผกผัน  ,Lina · Mandi Terbalik  ,Lina · Baliktad na Paligo  ,Lina · Mandian Songsang  ,1013,{932=60;rmb=100;5000=60},{932=20;951=1;gold=160000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Lina Inverse dường như đã có được sức mạnh mạnh mẽ hơn.,Lina Inverse seems to have gained great power.  ,Lina Inverse seems to have gained great power.  ,Lina Inverse ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Lina Inverse tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Lina Inverse.  ,Lina Inverse nampaknya telah mendapat kuasa hebat.  
15,Kina · Assassin  ,Kỳ nha · Đánh địch khách,Kina · Assassin  ,Kina · นักลอบสังหาร  ,Kina · Pembunuh  ,Kina · Mamamatay-tao  ,Kina · Pembunuh  ,1014,{932=60;501=1;5000=60},{932=25;951=1;gold=170000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Killua Zoldyck dường như đã có được sức mạnh mạnh mẽ hơn.,Killua Zoldyck seems to have gained great power.  ,Killua Zoldyck seems to have gained great power.  ,Killua Zoldyck ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Killua Zoldyck tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Killua Zoldyck.  ,Killua Zoldyck nampaknya telah mendapat kuasa hebat.  
16,Tall Pine Support  ,Cao sam tấn trợ,Tall Pine Support  ,ต้นสนสูงสนับสนุน  ,Dukungan Pinus Tinggi  ,Suportang Punong Pino  ,Sokongan Pine Tinggi  ,1015,{932=60;5000=60;19=2},{932=25;951=2;gold=180000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Takasugi Shinsuke dường như đã có được sức mạnh mạnh mẽ hơn.,Takasugi Shinsuke seems to have gained great power.  ,Takasugi Shinsuke seems to have gained great power.  ,Takasugi Shinsuke ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Takasugi Shinsuke tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Takasugi Shinsuke.  ,Takasugi Shinsuke nampaknya telah mendapat kuasa hebat.  
17,Ma Jia  ,Mã gia,Ma Jia  ,Ma Jia  ,Ma Jia  ,Ma Jia  ,Ma Jia  ,1016,{932=70;5000=70;519=1},{932=25;951=2;gold=190000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Maga dường như đã có được sức mạnh mạnh mẽ hơn.,Maga seems to have gained great power.  ,Maga seems to have gained great power.  ,Maga ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Maga tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Maga.  ,Maga nampaknya telah mendapat kuasa hebat.  
18,Heracles  ,Heracles,Heracles  ,Heracles  ,Heracles  ,Heracles  ,Heracles  ,1017,{932=70;501=1;5000=70},{932=25;951=2;gold=200000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Heracles dường như đã có được sức mạnh mạnh mẽ hơn.,Heracles seems to have gained great power.  ,Heracles seems to have gained great power.  ,Heracles ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Heracles tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Heracles.  ,Heracles nampaknya telah mendapat kuasa hebat.  
19,Muscle Wolf  ,Kiện lần lang,Muscle Wolf  ,หมาป่ากล้าม  ,Serigala Otot  ,Lobong Maskulado  ,Serigala Berotot  ,1018,{932=70;rmb=100;5000=70},{932=30;951=2;gold=210000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Kenshiro dường như đã có được sức mạnh mạnh mẽ hơn.,Kenshiro seems to have gained great power.  ,Kenshiro seems to have gained great power.  ,Kenshiro ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Kenshiro tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Kenshiro.  ,Kenshiro nampaknya telah mendapat kuasa hebat.  
20,Ayanami Rei  ,Ayanami Rei,Ayanami Rei  ,Ayanami Rei  ,Ayanami Rei  ,Ayanami Rei  ,Ayanami Rei  ,1019,{932=80;501=1;5000=80},{932=30;951=2;gold=220000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Rei Ayanami dường như đã có được sức mạnh mạnh mẽ hơn.,Rei Ayanami seems to have gained great power.  ,Rei Ayanami seems to have gained great power.  ,Rei Ayanami ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Rei Ayanami tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Rei Ayanami.  ,Rei Ayanami nampaknya telah mendapat kuasa hebat.  
21,Hyuga Hinata  ,Hyuga Hinata,Hyuga Hinata  ,Hyuga Hinata  ,Hyuga Hinata  ,Hyuga Hinata  ,Hyuga Hinata  ,1020,{932=80;5000=80;19=2},{932=30;951=2;gold=230000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Hinata Hyuga dường như đã có được sức mạnh mạnh mẽ hơn.,Hinata Hyuga seems to have gained great power.  ,Hinata Hyuga seems to have gained great power.  ,Hinata Hyuga ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Hinata Hyuga tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Hinata Hyuga.  ,Hinata Hyuga nampaknya telah mendapat kuasa hebat.  
22,Misaka Mikoto  ,Misaka Mikoto,Misaka Mikoto  ,Misaka Mikoto  ,Misaka Mikoto  ,Misaka Mikoto  ,Misaka Mikoto  ,1021,{932=80;5000=80;519=1},{932=35;951=2;gold=240000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Mikoto Misaka dường như đã có được sức mạnh mạnh mẽ hơn.,Mikoto Misaka seems to have gained great power.  ,Mikoto Misaka seems to have gained great power.  ,Mikoto Misaka ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Mikoto Misaka tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Mikoto Misaka.  ,Mikoto Misaka nampaknya telah mendapat kuasa hebat.  
23,Lomon Coal Wolf  ,Lò môn than trị lang,Lomon Coal Wolf  ,โลมอนถ่านหมาป่า  ,Lomon Serigala Batu Bara  ,Lomon Uling Lobo  ,Lomon Serigala Arang  ,1022,{932=90;501=1;5000=90},{932=35;951=2;gold=250000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Tanjiro Kamado dường như đã có được sức mạnh mạnh mẽ hơn.,Tanjiro Kamado seems to have gained great power.  ,Tanjiro Kamado seems to have gained great power.  ,Tanjiro Kamado ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Tanjiro Kamado tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Tanjiro Kamado.  ,Tanjiro Kamado nampaknya telah mendapat kuasa hebat.  
24,Shihouin Yoruichi  ,Shihouin Yoruichi,Shihouin Yoruichi  ,Shihouin Yoruichi  ,Shihouin Yoruichi  ,Shihouin Yoruichi  ,Shihouin Yoruichi  ,1023,{932=90;rmb=100;5000=90},{932=35;951=2;gold=260000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Yoruichi Shihouin dường như đã có được sức mạnh mạnh mẽ hơn.,Yoruichi Shihouin seems to have gained great power.  ,Yoruichi Shihouin seems to have gained great power.  ,Yoruichi Shihouin ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Yoruichi Shihouin tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Yoruichi Shihouin.  ,Yoruichi Shihouin nampaknya telah mendapat kuasa hebat.  
25,Tall Pine Support  ,Cao sam tấn trợ,Tall Pine Support  ,ต้นสนสูงสนับสนุน  ,Dukungan Pinus Tinggi  ,Suportang Punong Pino  ,Sokongan Pine Tinggi  ,1024,{932=90;501=1;5000=90},{932=40;951=2;gold=270000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Takasugi Shinsuke dường như đã có được sức mạnh mạnh mẽ hơn.,Takasugi Shinsuke seems to have gained great power.  ,Takasugi Shinsuke seems to have gained great power.  ,Takasugi Shinsuke ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Takasugi Shinsuke tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Takasugi Shinsuke.  ,Takasugi Shinsuke nampaknya telah mendapat kuasa hebat.  
26,Heracles  ,Heracles,Heracles  ,Heracles  ,Heracles  ,Heracles  ,Heracles  ,1025,{932=100;5000=100;19=2},{932=40;951=2;gold=280000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Heracles dường như đã có được sức mạnh mạnh mẽ hơn.,Heracles seems to have gained great power.  ,Heracles seems to have gained great power.  ,Heracles ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Heracles tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Heracles.  ,Heracles nampaknya telah mendapat kuasa hebat.  
27,Muscle Wolf  ,Kiện lần lang,Muscle Wolf  ,หมาป่ากล้าม  ,Serigala Otot  ,Lobong Maskulado  ,Serigala Berotot  ,1026,{932=100;5000=100;519=1},{932=40;951=2;gold=290000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Kenshiro dường như đã có được sức mạnh mạnh mẽ hơn.,Kenshiro seems to have gained great power.  ,Kenshiro seems to have gained great power.  ,Kenshiro ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Kenshiro tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Kenshiro.  ,Kenshiro nampaknya telah mendapat kuasa hebat.  
28,Hyuga Hinata  ,Hyuga Hinata,Hyuga Hinata  ,Hyuga Hinata  ,Hyuga Hinata  ,Hyuga Hinata  ,Hyuga Hinata  ,1027,{932=110;501=1;5000=110},{932=40;951=2;gold=300000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Hinata Hyuga dường như đã có được sức mạnh mạnh mẽ hơn.,Hinata Hyuga seems to have gained great power.  ,Hinata Hyuga seems to have gained great power.  ,Hinata Hyuga ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Hinata Hyuga tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Hinata Hyuga.  ,Hinata Hyuga nampaknya telah mendapat kuasa hebat.  
29,Xiao Yuan  ,Tiểu Viên,Xiao Yuan  ,เสี่ยวหยวน  ,Xiao Yuan  ,Xiao Yuan  ,Xiao Yuan  ,1028,{932=110;rmb=100;5000=110},{932=40;951=2;gold=310000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Madoka Kaname dường như đã có được sức mạnh mạnh mẽ hơn.,Madoka Kaname seems to have gained great power.  ,Madoka Kaname seems to have gained great power.  ,Madoka Kaname ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Madoka Kaname tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Madoka Kaname.  ,Madoka Kaname nampaknya telah mendapat kuasa hebat.  
30,Kurosaki Ichigo  ,Kurosaki Ichigo,Kurosaki Ichigo  ,Kurosaki Ichigo  ,Kurosaki Ichigo  ,Kurosaki Ichigo  ,Kurosaki Ichigo  ,1029,{932=110;501=1;5000=110},{932=40;951=2;gold=320000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Ichigo Kurosaki dường như đã có được sức mạnh mạnh mẽ hơn.,Ichigo Kurosaki seems to have gained great power.  ,Ichigo Kurosaki seems to have gained great power.  ,Ichigo Kurosaki ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Ichigo Kurosaki tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Ichigo Kurosaki.  ,Ichigo Kurosaki nampaknya telah mendapat kuasa hebat.  
31,Red Eyes  ,Mắt đỏ,Red Eyes  ,ตาแดง  ,Mata Merah  ,Pulang Mata  ,Mata Merah  ,1030,{932=120;5000=120;19=2},{932=45;951=3;gold=330000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Akame dường như đã có được sức mạnh mạnh mẽ hơn.,Akame seems to have gained great power.  ,Akame seems to have gained great power.  ,Akame ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Akame tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Akame.  ,Akame nampaknya telah mendapat kuasa hebat.  
32,Giant Snake  ,Đại xà,Giant Snake  ,งูยักษ์  ,Ular Raksasa  ,Higanteng Ahas  ,Ular Gergasi  ,1031,{932=120;5000=120;519=1},{932=45;951=3;gold=340000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Orochimaru dường như đã có được sức mạnh mạnh mẽ hơn.,Orochimaru seems to have gained great power.  ,Orochimaru seems to have gained great power.  ,Orochimaru ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Orochimaru tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Orochimaru.  ,Orochimaru nampaknya telah mendapat kuasa hebat.  
33,Asuna  ,Asuna,Asuna  ,Asuna  ,Asuna  ,Asuna  ,Asuna  ,1032,{932=120;501=1;5000=120},{932=45;951=3;gold=350000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Asuna dường như đã có được sức mạnh mạnh mẽ hơn.,Asuna seems to have gained great power.  ,Asuna seems to have gained great power.  ,Asuna ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น  ,Asuna tampaknya telah mendapatkan kekuatan besar.  ,Mukhang nakakuha ng mas malakas na kapangyarihan si Asuna.  ,Asuna nampaknya telah mendapat kuasa hebat.  
34,Hades,Hades,Hades,Hades,Hades,Hades,Hades,1033,{932=130;rmb=100;5000=130},{932=45;951=3;gold=360000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Hades dường như đã có được sức mạnh mạnh mẽ hơn.,Hades seems to have gained great power.,Hades seems to have gained great power.,Hades ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น,Hades tampaknya telah mendapatkan kekuatan besar.,Mukhang nakakuha ng mas malakas na kapangyarihan si Hades.,Hades nampaknya telah mendapat kuasa hebat.
35,Tohsaka Rin  ,Tohsaka Rin,Tohsaka Rin  ,Tohsaka Rin  ,Tohsaka Rin  ,Tohsaka Rin  ,Tohsaka Rin  ,1034,{932=130;501=1;5000=130},{932=45;951=3;gold=370000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Rin Tohsaka dường như đã có được sức mạnh mạnh mẽ hơn.,Rin Tohsaka seems to have gained tremendous power.  ,Rin Tohsaka seems to have gained tremendous power.  ,Rin Tohsaka ดูเหมือนจะได้รับพลังที่แข็งแกร่งอย่างมหาศาล  ,Rin Tohsaka tampaknya telah mendapatkan kekuatan luar biasa.  ,Rin Tohsaka tila nakakuha ng napakalakas na kapangyarihan.  ,Rin Tohsaka nampaknya telah memperoleh kuasa yang luar biasa.  
36,Jade Wonder  ,Kỳ ngọc,Jade Wonder  ,มหัศจรรย์หยก  ,Keajaiban Giok  ,Himalang Jade  ,Keajaiban Jed  ,1035,{932=140;5000=140;19=2},{932=50;951=3;gold=380000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Saitama dường như đã có được sức mạnh mạnh mẽ hơn.,Saitama seems to have gained tremendous power.  ,Saitama seems to have gained tremendous power.  ,Saitama ดูเหมือนจะได้รับพลังที่แข็งแกร่งอย่างมหาศาล  ,Saitama tampaknya telah mendapatkan kekuatan luar biasa.  ,Saitama tila nakakuha ng napakalakas na kapangyarihan.  ,Saitama nampaknya telah memperoleh kuasa yang luar biasa.  
37,Kurosaki Ichigo  ,Kurosaki Ichigo,Kurosaki Ichigo  ,Kurosaki Ichigo  ,Kurosaki Ichigo  ,Kurosaki Ichigo  ,Kurosaki Ichigo  ,1036,{932=140;5000=140;519=1},{932=50;951=3;gold=390000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},,,Ichigo Kurosaki dường như đã có được sức mạnh mạnh mẽ hơn.,Ichigo Kurosaki seems to have gained tremendous power.  ,Ichigo Kurosaki seems to have gained tremendous power.  ,Ichigo Kurosaki ดูเหมือนจะได้รับพลังที่แข็งแกร่งอย่างมหาศาล  ,Ichigo Kurosaki tampaknya telah mendapatkan kekuatan luar biasa.  ,Ichigo Kurosaki tila nakakuha ng napakalakas na kapangyarihan.  ,Ichigo Kurosaki nampaknya telah memperoleh kuasa yang luar biasa.  
