VariableName,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,type,stackMax,expAdd,series,icon,res,startResScale,attr,size,touchSize,relSize,startPos,position,quality,currentNum,languages
74501,可爱布艺沙发,,,Sofa vải dễ thương,,买胖丁附赠一张柔软舒适的沙发喽,,,Một chiếc ghế sofa mềm mại và thoải mái sẽ được tặng kèm khi bạn mua một cậu bé béo,,302,,,103,config/item/furniture/icon_shafa1.png,city/town/furniture/img_shafa1.png,,{flip=True},{width=1;height=3},<<45;2>;<4;21>;<4;123>;<122;127>;<147;84>;<141;51>>,,{y=13;x=-81},,,,
74502,软萌小凳子,,,Phân mềm dễ thương,,体积小，又轻便，放在哪个角落都是一抹靓丽的装饰,,,Kích thước nhỏ và trọng lượng nhẹ. nó là một vật trang trí đẹp mắt ở bất kỳ góc nào,,302,,,101,config/item/furniture/icon_xiaodengzi.png,city/town/furniture/img_xiaodengzi.png,,{flip=True},,<<1;3>;<34;4>;<35;37>;<2;39>>,,{y=20;x=-40},,,,
74503,时尚软椅,,,Ghế mềm thời trang,,是舒服到可以在上边小睡的程度,,,Nó đủ thoải mái để chợp mắt trên đó,,302,,,,config/item/furniture/icon_xiaodengzi2.png,city/town/furniture/img_xiaodengzi2.png,,{flip=True},,<<7;15>;<48;15>;<47;49>;<20;88>;<1;76>>,,{y=15;x=-60},,,,
75001,欧式屏风,,,Màn phong cách châu âu,,严密而厚实的设计，可以遮挡你所有的小秘密,,,Thiết kế nghiêm ngặt và dày dặn. có thể che đi tất cả những bí mật nhỏ của bạn,,303,,,109,config/item/furniture/icon_pinfeng.png,city/town/furniture/img_pinfeng.png,,{flip=True},{width=3;height=1},<<3;43>;<94;6>;<96;152>;<6;196>>,,{y=26;x=-190},,,,
75002,超薄电视,,,Tivi siêu mỏng,,超薄的设计，看起来科技感满满,,,Thiết kế siêu mỏng. vẻ ngoài đầy công nghệ,,303,,,109,config/item/furniture/icon_dianshi.png,city/town/furniture/img_dianshi.png,,{flip=True},{width=3;height=1},<<4;48>;<14;94>;<32;134>;<105;94>;<120;27>;<93;5>>,,{y=18;x=-200},,,,
75003,实木小床,,,Cũi gỗ rắn,,有大而厚的挂帘遮挡住刺眼的光线，舒适更好眠,,,Có rèm cửa dày và to để cản ánh sáng chói giúp bạn có giấc ngủ thoải mái,,303,,,109,config/item/furniture/icon_chuang.png,city/town/furniture/img_chuang.png,,{flip=True},{width=4;height=3},<<4;60>;<2;192>;<93;234>;<117;130>;<215;85>;<212;41>;<135;2>>,,{y=48;x=-293},,,,
75004,暖黄软垫,,,Bọc đệm màu vàng ấm áp,,垫在硬硬的地面上，坐上去也会觉得软乎舒服,,,Đệm trên nền đất cứng. ngồi lên sẽ có cảm giác mềm mại. dễ chịu,,303,,,,config/item/furniture/icon_dianzi.png,city/town/furniture/img_dianzi.png,,{flip=True},{width=2;height=2},<<7;15>;<12;44>;<61;48>;<78;16>;<41;3>>,,{y=34;x=-83},,,,
75501,转角橱柜,,,Tủ góc,,空间收纳大师的设计，连转角都不放过可以收纳的部分,,,Thiết kế của các bậc thầy lưu trữ không gian. ngay cả các góc không bỏ lỡ phần có thể được lưu trữ,,304,,,105,config/item/furniture/icon_guizi.png,city/town/furniture/img_guizi.png,,{flip=True},{width=2;height=2},<<1;31>;<16;92>;<65;92>;<66;7>>,,{y=18;x=-120},,,,
75502,简约花架,,,Kệ hoa đơn giản,,随手放置植物即可以点缀室内的布局,,,Đặt cây theo ý muốn để tô điểm cho bố cục trong nhà,,304,,,103,config/item/furniture/icon_huajia.png,city/town/furniture/img_huajia.png,,{flip=True},{width=2;height=1},<<23;129>;<66;100>;<59;8>;<2;18>>,,{y=21;x=-110},,,,
75503,玄关储物柜,,,Tủ đựng đồ ở lối vào,,友好的高度，适合接住回到家的你的所有疲惫,,,Chiều cao thân thiện. phù hợp để đánh bay mọi mệt mỏi mỗi khi về đến nhà,,304,,,106,config/item/furniture/icon_shugui.png,city/town/furniture/img_shugui.png,,{flip=True},{width=1;height=2},<<1;87>;<26;124>;<69;127>;<86;89>;<70;28>;<4;16>>,,{y=15;x=-45},,,,
75504,实木床头柜,,,Bàn đầu giường bằng gỗ nguyên khối,,简单而温馨的配色，还有一个巨大的抽屉，看起来特别实用,,,Phối màu đơn giản và ấm áp. và một ngăn kéo lớn. trông rất thiết thực,,304,,,107,config/item/furniture/icon_chuangtougui.png,city/town/furniture/img_chuangtougui.png,,{flip=True},{width=1;height=2},<<1;51>;<56;92>;<73;58>;<64;20>;<17;13>>,,{y=20;x=-40},,,,
76001,皮神定制冰箱,,,Tủ lạnh tùy chỉnh Pishen,,简单的小体积冰箱，跳跃的配色与皮神特别搭配,,,Tủ lạnh cỡ nhỏ đơn giản phối màu nhảy Pishen,,305,,,108,config/item/furniture/icon_bingxiang.png,city/town/furniture/img_bingxiang.png,,{flip=True},,<<3;17>;<13;146>;<33;179>;<68;137>;<61;12>>,,{y=7;x=-72},,,,
76002,一体式灶台,,,Bếp từ tích hợp,,功能非常齐全的灶台集柜设计，是时下最流行的款式,,,Thiết kế tủ bếp với đầy đủ công năng là phong cách được ưa chuộng nhất hiện nay,,305,,,108,config/item/furniture/icon_chugui1.png,city/town/furniture/img_chugui1.png,,{flip=True},{width=6;height=4},<<1;112>;<149;182>;<380;68>;<353;2>;<147;73>;<37;52>;<7;59>>,,{y=133;x=-453},,,,
76501,天堂鸟盆栽,,,chậu cây chim thiên đường,,是一个大件的植物，可以保证室内的清新,,,Là một loại cây lớn có thể giữ cho nội thất tươi mát,,306,,,105,config/item/furniture/icon_zhiwu.png,city/town/furniture/img_zhiwu.png,,{flip=True},,<<11;14>;<2;99>;<63;94>;<42;9>>,,{y=21;x=-60},,,,
76502,超大软萌皮卡丘,,,Pikachu siêu mềm dễ thương,,非常巨大的皮卡丘玩偶，摸上去软乎乎的，抱起来很舒服,,,Búp bê Pikachu rất lớn. mềm khi chạm vào và thoải mái khi cầm,,306,,,109,config/item/furniture/icon_wanou2.png,city/town/furniture/img_wanou2.png,,{flip=True},,<<4;56>;<29;123>;<89;67>;<83;14>;<33;11>>,,{y=8;x=-108},,,,
77001,解锁区域1,,,Mở khóa khu vực 1,,解锁区域,,,Khu vực mở khóa,,0,,,,config/item/furniture/img_kzqy1.png,city/town/furniture/img_kzqy1.png,,,{width=12;height=6},<<6;457>;<4;254>;<509;8>;<754;132>;<275;375>;<272;578>>,,{y=-20;x=-1020},,,,
77002,解锁区域2,,,Mở khóa khu vực 2,,解锁区域,,,Khu vực mở khóa,,0,,,,config/item/furniture/img_kzqy2.png,city/town/furniture/img_kzqy2.png,,,{width=6;height=18},<<720;698>;<719;507>;<3;134>;<246;8>;<997;377>;<994;588>>,,{y=-35;x=-480},,,,
77003,装修图标,,,Biểu tượng đổi mới,,解锁区域,,,Khu vực mở khóa,,0,,,,config/item/furniture/icon_sgz.png,city/town/furniture/icon_sgz.png,,,{width=1;height=2},<<49;140>;<30;83>;<61;19>;<190;84>;<161;157>;<132;160>>,,{y=-70;x=-140},,,,
77004,内墙,,,Tường nội thất,,未解锁时候的内墙,,,Các bức tường bên trong khi được mở khóa,,0,,,,config/item/furniture/img_neiqiang.png,city/town/furniture/img_neiqiang.png,,,{width=12;height=1},<<1;241>;<476;2>;<475;5>;<476;55>;<10;292>>,,{y=20;x=-900},,,,
77005,外墙,,,Bức tường bên ngoài,,外墙,,,Bức tường bên ngoài,,0,,,,config/item/furniture/img_waiqiang.png,city/town/furniture/img_waiqiang.png,,,{width=6;height=1},<<0;177>;<0;130>;<247;2>;<258;8>;<257;55>;<9;179>>,,{y=20;x=-420},,,,
