VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,type,arg,nums,levelMax,upCost,desc1_cn,desc1_tw,desc1,desc1_vn,desc1_en,desc1_th,desc1_in,desc1_ph,desc1_ma,desc2_cn,desc2_tw,desc2,desc2_vn,desc2_en,desc2_th,desc2_in,desc2_ph,desc2_ma
9,,,Financial Expert,Chuyên gia tài chính,Financial Expert,ผู้เชี่ยวชาญด้านการเงิน,Pakar Keuangan,Eksperto sa Pananalapi,Pakar Kewangan,city/develop/train/icon_jubaopen.png,13,,<0.03;0.06;0.09;0.12;0.15>,5,{453=40},,,Treasure Hunt  ,Tích tài,Treasure Hunt  ,ล่าสมบัติ  ,Berburu Harta  ,Paghahanap ng Kayamanan  ,Pemburuan Harta  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
10,,,Adventure Team Member,Thành viên đội phiêu lưu,Adventure Team Member,สมาชิกทีมผจญภัย,Anggota Tim Petualang,Miyembro ng Team Pakikipagsapalaran,Ahli Pasukan Pengembaraan,city/develop/train/icon_liancaidaren.png,15,,<0.01;0.02;0.03;0.04;0.05>,5,{453=45},,,Gold Dungeon  ,Phụ bản vàng,Gold Dungeon  ,ดันเจี้ยนทอง  ,Dungeon Emas  ,Dungeon ng Ginto  ,Penjara Emas  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
11,,,Hearty Breakfast,Bữa sáng thịnh soạn,Hearty Breakfast,อาหารเช้าจัดเต็ม,Sarapan Berat,Masaganang Almusal,Sarapan Berat,city/develop/train/icon_daweiwang.png,14,1,<2;4;6;8;10>,5,{453=45},,,Soufflé (Breakfast)  ,Bánh souffle (bữa sáng),Soufflé (Breakfast)  ,ซูเฟล่ (มื้อเช้า)  ,Soufflé (Sarapan)  ,Soufflé (Almusal)  ,Soufflé (Sarapan)  ,,,Stamina gained +%d  ,Nhận thêm thể lực +%d,Stamina gained +%d  ,ได้รับพลังงาน +%d  ,Energi diperoleh +%d  ,Nakatanggap ng stamina +%d  ,Tenaga diterima +%d  
12,,,Dungeon Veteran,Lão làng phụ bản,Dungeon Veteran,มือเก๋าดันเจี้ยน,Veteran Penjara,Manghuhukay na Beterano,Veteran Penjara,city/develop/train/icon_xunliandaren.png,16,,<0.01;0.02;0.03;0.04;0.05>,5,{453=45},,,EXP Dungeon  ,Phụ bản kinh nghiệm,EXP Dungeon  ,ดันเจี้ยน EXP  ,Dungeon EXP  ,Dungeon ng EXP  ,Penjara EXP  ,,,EXP gained +%d  ,Nhận kinh nghiệm +%d,EXP gained +%d  ,ได้รับค่าประสบการณ์ +%d  ,EXP diperoleh +%d  ,Nakatanggap ng karanasan +%d  ,Pengalaman diperoleh +%d  
13,,,Merchant,Nhà bán buôn,Merchant,พ่อค้า,Pedagang,Tindero,Perdagangan,city/develop/train/icon_pifashang.png,9,,<0.02;0.04;0.06;0.08;0.1>,5,{453=50},,,Buy EXP Potion  ,Mua thuốc kinh nghiệm,Buy EXP Potion  ,ซื้อโพชั่น EXP  ,Beli Ramuan EXP  ,Bumili ng EXP Potion  ,Beli Ramuan EXP  ,,,Discount +%d  ,Giảm giá +%d,Discount +%d  ,ลดราคา +%d  ,Diskon +%d  ,Diskwento +%d  ,Diskaun +%d  
14,,,Let's Grill,"Thịt nướng, đi nào",Let's Grill,มาปิ้งย่างกันเถอะ,Mari Membakar,Tayo'y Mag-inihaw,Mari Membakar,city/develop/train/icon_daweiwang.png,14,4,<2;4;6;8;10>,5,{453=50},,,Soufflé (Late Night)  ,Bánh souffle (bữa khuya),Soufflé (Late Night)  ,ซูเฟล่ (มื้อดึก)  ,Soufflé (Larut Malam)  ,Soufflé (Gabi)  ,Soufflé (Lewat Malam)  ,,,Stamina gained +%d  ,Nhận thêm thể lực +%d,Stamina gained +%d  ,ได้รับพลังงาน +%d  ,Energi diperoleh +%d  ,Nakatanggap ng stamina +%d  ,Tenaga diterima +%d  
15,,,Still Not Enough!,Vẫn chưa đủ!,Still Not Enough!,ยังไม่พอ!,Belum Cukup!,Hindi Pa Sapat!,Belum Cukup!,city/develop/train/icon_jubaopen.png,12,,<1>,1,{453=100},,,Treasure Hunt  ,Tích tài,Treasure Hunt  ,ล่าสมบัติ  ,Berburu Harta  ,Paghahanap ng Kayamanan  ,Pemburuan Harta  ,,,Daily free attempts +%d  ,Số lần miễn phí hàng ngày +%d,Daily free attempts +%d  ,จำนวนครั้งฟรีรายวัน +%d  ,Jumlah kesempatan gratis harian +%d  ,Libreng pagsubok kada araw +%d  ,Bilangan percubaan percuma harian +%d  
16,,,Master Trainer,Đại sư huấn luyện,Master Trainer,ครูฝึกชั้นยอด,Pelatih Master,Master Trainer,Pelatih Master,city/develop/train/icon_jiaojidashi.png,26,,<0.01;0.02;0.03;0.04;0.05>,5,{453=50},,,Shard Dungeon  ,Phụ bản mảnh ghép,Shard Dungeon  ,ดันเจี้ยนเศษ  ,Dungeon Pecahan  ,Dungeon ng Piraso  ,Penjara Serpihan  ,,,Production bonus +%d  ,Sản lượng tăng thêm +%d,Production bonus +%d  ,เพิ่มผลผลิต +%d  ,Peningkatan produksi +%d  ,Dagdag na produksyon +%d  ,Pengeluaran meningkat +%d  
17,,,For Others and Self,"Cho người khác, cho chính mình",For Others and Self,เพื่อคนอื่นและตัวเอง,Untuk Orang Lain dan Diri Sendiri,Para sa Iba at Sarili,Untuk Orang Lain dan Diri Sendiri,city/develop/train/icon_mingrenxiaoying.png,17,,<0.01;0.02;0.03;0.04;0.05>,5,{453=50},,,Guild Contribution  ,Cống hiến công hội,Guild Contribution  ,บริจาคกิลด์  ,Kontribusi Guild  ,Ambag sa Guild  ,Sumbangan Persatuan  ,,,Guild coins gained +%d  ,Lượng tiền công hội nhận được +%d,Guild coins gained +%d  ,ได้รับเหรียญกิลด์ +%d  ,Koin guild diperoleh +%d  ,Nakatanggap ng guild coins +%d  ,Syiling persatuan diterima +%d  
18,,,Mythical Creature Gift,Quà tặng sinh vật thần thoại,Mythical Creature Gift,ของขวัญสิ่งมีชีวิตในตำนาน,Hadiah Makhluk Mitologi,Panlabas ng Mitikal na Nilalang,Hadiah Makhluk Mitologi,city/develop/train/icon_tishudaren.png,2,,<3;6;9;12;15>,5,{453=50},,,Stamina Limit  ,Giới hạn thể lực,Stamina Limit  ,ขีดจำกัดพลังงาน  ,Batas Stamina  ,Limitasyon ng Stamina  ,Had Tenaga  ,,,Bonus increase +%d  ,Tăng thêm +%d,Bonus increase +%d  ,เพิ่มโบนัส +%d  ,Peningkatan tambahan +%d  ,Karagdagang bonus +%d  ,Peningkatan tambahan +%d  
19,,,Financial Master,Bậc thầy tài chính,Financial Master,เจ้านายการเงิน,Master Keuangan,Master sa Pananalapi,Master Kewangan,city/develop/train/icon_pifashang.png,9,,<0.02;0.04;0.06;0.08;0.1>,5,{453=60},,,Buy EXP Potion  ,Mua thuốc kinh nghiệm,Buy EXP Potion  ,ซื้อโพชั่น EXP  ,Beli Ramuan EXP  ,Bumili ng EXP Potion  ,Beli Ramuan EXP  ,,,Discount +%d  ,Giảm giá +%d,Discount +%d  ,ลดราคา +%d  ,Diskon +%d  ,Diskwento +%d  ,Diskaun +%d  
20,,,Relentless Progress,Tiến lên không ngừng,Relentless Progress,ความก้าวหน้าอย่างไม่หยุดยั้ง,Perkembangan Tak Henti,Hindi Matigil na Progreso,Perkembangan Tak Henti,city/develop/train/icon_fubendaren.png,18,,<0.05;0.1;0.15;0.2;0.25>,5,{453=60},,,Story Dungeon  ,Cốt truyện phụ bản,Story Dungeon  ,ดันเจี้ยนเนื้อเรื่อง  ,Dungeon Cerita  ,Dungeon ng Kuwento  ,Penjara Cerita  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
21,,,Santa Claus,Ông già Noel,Santa Claus,ซานตาคลอส,Santa Claus,Santa Claus,Santa Claus,city/develop/train/icon_lishangwanglai.png,24,,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},,,Gift Dungeon  ,Phụ bản quà tặng,Gift Dungeon  ,ดันเจี้ยนของขวัญ  ,Dungeon Hadiah  ,Dungeon ng Regalo  ,Penjara Hadiah  ,,,Production bonus +%d  ,Sản lượng tăng thêm +%d,Production bonus +%d  ,เพิ่มผลผลิต +%d  ,Peningkatan produksi +%d  ,Dagdag na produksyon +%d  ,Pengeluaran meningkat +%d  
22,,,Buddha's Soup,Phật nhảy tường,Buddha's Soup,ซุปพระพุทธเจ้า,Sup Buddha,Sabaw ng Buddha,Sup Buddha,city/develop/train/icon_daweiwang.png,14,3,<2;4;6;8;10>,5,{453=60},,,Soufflé (Dinner)  ,Bánh souffle (bữa tối),Soufflé (Dinner)  ,ซูเฟล่ (มื้อเย็น)  ,Soufflé (Makan Malam)  ,Soufflé (Hapunan)  ,Soufflé (Makan Malam)  ,,,Stamina gained +%d  ,Nhận thêm thể lực +%d,Stamina gained +%d  ,ได้รับพลังงาน +%d  ,Energi diperoleh +%d  ,Nakatanggap ng stamina +%d  ,Tenaga diterima +%d  
23,,,Practice Makes Perfect,Luyện tập làm nên tài,Practice Makes Perfect,การฝึกฝนทำให้เก่ง,Latihan Membuat Sempurna,Ang Pagsasanay ay Ginagawa ang Perpekto,Latihan Membuat Sempurna,city/develop/train/icon_jingyanlaodao.png,6,,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},,,Daily Quest  ,Nhiệm vụ hàng ngày,Daily Quest  ,ภารกิจประจำวัน  ,Misi Harian  ,Araw-araw na Gawain  ,Misi Harian  ,,,Extra EXP gained +%d  ,Nhận thêm kinh nghiệm +%d,Extra EXP gained +%d  ,ได้รับค่าประสบการณ์เพิ่มเติม +%d  ,EXP tambahan diperoleh +%d  ,Nakatanggap ng karagdagang karanasan +%d  ,Pengalaman tambahan diterima +%d  
24,,,Sincerity Wins,Chân thành sẽ đến nơi,Sincerity Wins,ความจริงใจจะชนะ,Ketulusan Menang,Ang Katapatan ay Panalo,Ketulusan Menang,city/develop/train/icon_fubendaren.png,19,,<0.05;0.1;0.15;0.2;0.25>,5,{453=75},,,Difficulty Level  ,Cấp độ khó,Difficulty Level  ,ระดับความยาก  ,Tingkat Kesulitan  ,Antas ng Kahirapan  ,Tahap Kesukaran  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
25,,,Premium Black Card,Thẻ đen cao cấp,Premium Black Card,บัตรดำพรีเมียม,Kartu Hitam Premium,Premium Itim na Card,Kad Hitam Premium,city/develop/train/icon_yuanyuanbugou.png,22,,<1>,1,{453=150},,,Dispatch Mission  ,Nhiệm vụ phái cử,Dispatch Mission  ,ภารกิจส่งตัว  ,Misi Penugasan  ,Misyon ng Pagpapadala  ,Misi Penugasan  ,,,Free refresh attempts +%d  ,Số lần làm mới miễn phí +%d,Free refresh attempts +%d  ,จำนวนครั้งรีฟรี +%d  ,Kesempatan refresh gratis +%d  ,Libreng pag-refresh +%d  ,Percubaan penyegaran percuma +%d  
26,,,Luxurious Lunch,Bữa trưa sang trọng,Luxurious Lunch,อาหารกลางวันหรูหรา,Makan Siang Mewah,Luksuryosong Tanghalian,Makan Tengahari Mewah,city/develop/train/icon_daweiwang.png,14,2,<2;4;6;8;10>,5,{453=75},,,Soufflé (Lunch)  ,Bánh souffle (bữa trưa),Soufflé (Lunch)  ,ซูเฟล่ (มื้อกลางวัน)  ,Soufflé (Makan Siang)  ,Soufflé (Tanghalian)  ,Soufflé (Makan Tengah Hari)  ,,,Stamina gained +%d  ,Nhận thêm thể lực +%d,Stamina gained +%d  ,ได้รับพลังงาน +%d  ,Energi diperoleh +%d  ,Nakatanggap ng stamina +%d  ,Tenaga diterima +%d  
27,,,Adventure Expert,Chuyên gia phiêu lưu,Adventure Expert,ผู้เชี่ยวชาญผจญภัย,Pakar Petualangan,Eksperto sa Pakikipagsapalaran,Pakar Pengembaraan,city/develop/train/icon_liancaidaren.png,15,,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},,,Gold Dungeon  ,Phụ bản vàng,Gold Dungeon  ,ดันเจี้ยนทอง  ,Dungeon Emas  ,Dungeon ng Ginto  ,Penjara Emas  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
28,,,Elite Backbone,Xương sống tinh nhuệ,Elite Backbone,กระดูกสันหลังชั้นยอด,Tulang Punggung Elite,Elite na Gulugod,Tulang Belakang Elit,city/develop/train/icon_mingrenxiaoying.png,17,,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},,,Guild Contribution  ,Cống hiến công hội,Guild Contribution  ,บริจาคกิลด์  ,Kontribusi Guild  ,Ambag sa Guild  ,Sumbangan Persatuan  ,,,Guild coins gained +%d  ,Lượng tiền công hội nhận được +%d,Guild coins gained +%d  ,ได้รับเหรียญกิลด์ +%d  ,Koin guild diperoleh +%d  ,Nakatanggap ng guild coins +%d  ,Syiling persatuan diterima +%d  
29,,,Protagonist Aura,Vầng hào quang của nhân vật chính,Protagonist Aura,ออร่าของตัวเอก,Aura Tokoh Utama,Aura ng Bida,Aura Watak Utama,city/develop/train/icon_fubendaren.png,18,,<0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5>,,{453=60},,,Story Dungeon  ,Cốt truyện phụ bản,Story Dungeon  ,ดันเจี้ยนเนื้อเรื่อง  ,Dungeon Cerita  ,Dungeon ng Kuwento  ,Penjara Cerita  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
30,,,Indomitable Will,Ý chí bất khuất,Indomitable Will,ความตั้งใจไม่ย่อท้อ,Keinginan Tak Terkalahkan,Walang Kapantay na Paninindigan,Keazaman Tak Terkalahkan,city/develop/train/icon_tishudaren.png,2,,<3;6;9;12;15>,5,{453=75},,,Stamina Limit  ,Giới hạn thể lực,Stamina Limit  ,ขีดจำกัดพลังงาน  ,Batas Stamina  ,Limitasyon ng Stamina  ,Had Tenaga  ,,,Bonus increase +%d  ,Tăng thêm +%d,Bonus increase +%d  ,เพิ่มโบนัส +%d  ,Peningkatan tambahan +%d  ,Karagdagang bonus +%d  ,Peningkatan tambahan +%d  
31,,,Elite Adventurer,Tinh anh phiêu lưu,Elite Adventurer,นักผจญภัยชั้นยอด,Petualang Elite,Piling Pakikipagsapalaran,Petualang Elit,city/develop/train/icon_jingyanlaodao.png,6,,<0.01;0.02;0.03;0.04;0.05>,5,{453=100},,,Daily Quest  ,Nhiệm vụ hàng ngày,Daily Quest  ,ภารกิจประจำวัน  ,Misi Harian  ,Araw-araw na Gawain  ,Misi Harian  ,,,Extra EXP gained +%d  ,Nhận thêm kinh nghiệm +%d,Extra EXP gained +%d  ,ได้รับค่าประสบการณ์เพิ่มเติม +%d  ,EXP tambahan diperoleh +%d  ,Nakatanggap ng karagdagang karanasan +%d  ,Pengalaman tambahan diterima +%d  
32,,,Future Star,Ngôi sao tương lai,Future Star,ดาวรุ่ง, Bintang Masa Depan,Bituwin ng Hinaharap,Bintang Masa Depan,city/develop/train/icon_xunliandaren.png,16,,<0.01;0.02;0.03;0.04;0.05>,5,{453=70},,,EXP Dungeon  ,Phụ bản kinh nghiệm,EXP Dungeon  ,ดันเจี้ยน EXP  ,Dungeon EXP  ,Dungeon ng EXP  ,Penjara EXP  ,,,EXP gained +%d  ,Nhận kinh nghiệm +%d,EXP gained +%d  ,ได้รับค่าประสบการณ์ +%d  ,EXP diperoleh +%d  ,Nakatanggap ng karanasan +%d  ,Pengalaman diperoleh +%d  
33,,,Time Merchant,Thương nhân thời gian,Time Merchant,พ่อค้าแห่งเวลา,Pedagang Waktu,Tindero ng Panahon,Pedagang Masa,city/develop/train/icon_pifashang.png,9,,<0.02;0.04;0.06;0.08;0.1;0.12;0.14;0.16;0.18;0.2>,,{453=70},,,Buy EXP Potion  ,Mua thuốc kinh nghiệm,Buy EXP Potion  ,ซื้อโพชั่น EXP  ,Beli Ramuan EXP  ,Bumili ng EXP Potion  ,Beli Ramuan EXP  ,,,Discount +%d  ,Giảm giá +%d,Discount +%d  ,ลดราคา +%d  ,Diskon +%d  ,Diskwento +%d  ,Diskaun +%d  
34,,,Youtiao and Soy Milk,Bánh quẩy và sữa đậu nành,Youtiao and Soy Milk,ปาท่องโก๋กับนมถั่วเหลือง,Youtiao dan Susu Kedelai,Youtiao at Gatas na Soy,Youtiao dan Susu Kedelai,city/develop/train/icon_daweiwang.png,14,1,<2;4;6;8;10>,5,{453=75},,,Soufflé (Breakfast)  ,Bánh souffle (bữa sáng),Soufflé (Breakfast)  ,ซูเฟล่ (มื้อเช้า)  ,Soufflé (Sarapan)  ,Soufflé (Almusal)  ,Soufflé (Sarapan)  ,,,Stamina gained +%d  ,Nhận thêm thể lực +%d,Stamina gained +%d  ,ได้รับพลังงาน +%d  ,Energi diperoleh +%d  ,Nakatanggap ng stamina +%d  ,Tenaga diterima +%d  
35,,,Mythical Relic,Di tích sinh vật thần thoại,Mythical Relic,โบราณวัตถุสิ่งมีชีวิตในตำนาน,Relik Mitologi,Relikyang Mitikal,Relik Mitologi,city/develop/train/icon_jiaojidashi.png,26,,<0.01;0.02;0.03;0.04;0.05>,5,{453=100},,,Shard Dungeon  ,Phụ bản mảnh ghép,Shard Dungeon  ,ดันเจี้ยนเศษ  ,Dungeon Pecahan  ,Dungeon ng Piraso  ,Penjara Serpihan  ,,,Production bonus +%d  ,Sản lượng tăng thêm +%d,Production bonus +%d  ,เพิ่มผลผลิต +%d  ,Peningkatan produksi +%d  ,Dagdag na produksyon +%d  ,Pengeluaran meningkat +%d  
36,,,Tycoon,Đại gia,Tycoon,เศรษฐี,Mogul,Milyonaryo,Tycoon,city/develop/train/icon_jubaopen.png,13,,<0.03;0.06;0.09;0.12;0.15>,5,{453=75},,,Treasure Hunt  ,Tích tài,Treasure Hunt  ,ล่าสมบัติ  ,Berburu Harta  ,Paghahanap ng Kayamanan  ,Pemburuan Harta  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
37,,,Local Resident,Người dân địa phương,Local Resident,ชาวบ้าน,Penduduk Lokal,Lokal na Residente,Penduduk Tempatan,city/develop/train/icon_fubendaren.png,19,,<0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5>,,{453=75},,,Difficulty Level  ,Cấp độ khó,Difficulty Level  ,ระดับความยาก  ,Tingkat Kesulitan  ,Antas ng Kahirapan  ,Tahap Kesukaran  ,,,Gold received +%d  ,Nhận vàng +%d,Gold received +%d  ,ได้รับทอง +%d  ,Emas diperoleh +%d  ,Nakatanggap ng ginto +%d  ,Emas diterima +%d  
38,,,Hot Milk,Sữa nóng,Hot Milk,นมร้อน,Susu Panas,Mainit na Gatas,Susu Panas,city/develop/train/icon_daweiwang.png,14,4,<2;4;6;8;10>,5,{453=75},,,Soufflé (Late Night)  ,Bánh souffle (bữa khuya),Soufflé (Late Night)  ,ซูเฟล่ (มื้อดึก)  ,Soufflé (Larut Malam)  ,Soufflé (Gabi)  ,Soufflé (Lewat Malam)  ,,,Stamina gained +%d  ,Nhận thêm thể lực +%d,Stamina gained +%d  ,ได้รับพลังงาน +%d  ,Energi diperoleh +%d  ,Nakatanggap ng stamina +%d  ,Tenaga diterima +%d  
39,,,Adventure Veteran,Lão làng phiêu lưu,Adventure Veteran,นักผจญภัยมือเก๋า,Veteran Petualangan,Beterano ng Pakikipagsapalaran,Veteran Pengembaraan,city/develop/train/icon_jingyanlaodao.png,6,,<0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.1>,,{453=75},,,Daily Quest  ,Nhiệm vụ hàng ngày,Daily Quest  ,ภารกิจประจำวัน  ,Misi Harian  ,Araw-araw na Gawain  ,Misi Harian  ,,,Extra EXP gained +%d  ,Nhận thêm kinh nghiệm +%d,Extra EXP gained +%d  ,ได้รับค่าประสบการณ์เพิ่มเติม +%d  ,EXP tambahan diperoleh +%d  ,Nakatanggap ng karagdagang karanasan +%d  ,Pengalaman tambahan diterima +%d  
40,,,Manager Staff,Nhân viên quản lý,Manager Staff,พนักงานผู้จัดการ,Staf Manajer,Tagapamahala ng Tauhan,Staf Pengurus,city/develop/train/icon_mingrenxiaoying.png,17,,<0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.1>,,{453=100},,,Guild Contribution  ,Cống hiến công hội,Guild Contribution  ,บริจาคกิลด์  ,Kontribusi Guild  ,Ambag sa Guild  ,Sumbangan Persatuan  ,,,Guild coins gained +%d  ,Lượng tiền công hội nhận được +%d,Guild coins gained +%d  ,ได้รับเหรียญกิลด์ +%d  ,Koin guild diperoleh +%d  ,Nakatanggap ng guild coins +%d  ,Syiling persatuan diterima +%d  
