VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,desc_cn,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任務名字,任務名字,name_vn,name_en,name_th,name_in,name_ph,name_ma,任务描述,任务描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
14,,,Mountain climbing training,Huấn luyện leo núi,Mountain climbing training,ฝึกปีนเขา,Latihan panjat gunung,Pagsasanay sa pag-akyat ng bundok,Latihan mendaki gunung,,Climb the mountain with Kakashi-sensei to help him recover his body  ,Leo núi cùng Kakashi-sensei để giúp ông ấy hồi phục cơ thể,Climb the mountain with Kakashi-sensei to help him recover his body  ,ปีนเขากับคาคาชิเซนเซย์เพื่อช่วยเขาฟื้นฟูร่างกาย  ,Mendaki gunung bersama Kakashi-sensei untuk membantu memulihkan tubuhnya  ,Umakyat ng bundok kasama si Kakashi-sensei para tulungan siyang magpagaling  ,Mendaki gunung bersama Kakashi-sensei untuk membantu memulihkan tubuhnya  ,5,100,300,<30;34>,{2103=1;gold=12500},{2103=1;gold=30000},<1.1;1.3>,4,<1;5>,70,2,{2=2},30
15,,,Forbidden methods,Những phương pháp bị cấm,Forbidden methods,วิธีต้องห้าม,Metode terlarang,Ipinagbabawal na pamamaraan,Kaedah terlarang,,Learn forbidden techniques from the sealing scroll under Orochimaru's guidance  ,Học các thuật cấm trong cuốn sách phong ấn dưới sự giúp đỡ của Orochimaru,Learn forbidden techniques from the sealing scroll under Orochimaru's guidance  ,เรียนรู้วิชาต้องห้ามจากคัมภีร์ผนึกโดยมีโอโรจิมารุช่วยแนะนำ  ,Pelajari jurus terlarang dari gulungan penyegel dengan bantuan Orochimaru  ,Pag-aralan ang mga ipinagbabawal na teknik mula sa sealing scroll sa tulong ni Orochimaru  ,Pelajari jurus terlarang dari gulungan penyegelan dengan bantuan Orochimaru  ,5,100,300,<30;34>,{2103=1;gold=12500},{2103=1;12=15},<1.1;1.3>,4,<2;3>,70,3,{2=2},30
16,,,Search for lost items,Tìm kiếm đồ thất lạc,Search for lost items,ค้นหาของที่หายไป,Mencari barang yang hilang,Maghanap ng nawawalang gamit,Cari barang yang hilang,,Help the Third Hokage retrieve the lost conduit  ,Giúp Hokage Thứ Ba tìm lại ống dẫn bị mất,Help the Third Hokage retrieve the lost conduit  ,ช่วยโฮคาเงะรุ่นที่สามตามหาอุปกรณ์ที่หายไป  ,Bantu Hokage Ketiga menemukan kembali pipa yang hilang  ,Tulungan si Third Hokage na mahanap ang nawawalang tubo  ,Bantu Hokage Ketiga mencari semula saluran yang hilang  ,,100,60,<35;39>,{2101=1;gold=7000},{930=1;2101=1},<0.4;0.6>,3,<2;4>,70,1,{2=1},30
17,,,Resettle refugees,Tái định cư người tị nạn,Resettle refugees,ตั้งถิ่นฐานใหม่ให้ผู้ลี้ภัย,Menempatkan kembali pengungsi,I-resettle ang mga refugee,Menempatkan semula pelarian,,Help the refugees find a place of asylum  ,Giúp người tị nạn tìm nơi tị nạn,Help the refugees find a place of asylum  ,ช่วยผู้ลี้ภัยหาที่หลบภัย  ,Bantu para pengungsi menemukan tempat perlindungan  ,Tulungan ang mga refugee na makahanap ng masisilungan  ,Bantu pelarian mencari tempat perlindungan  ,,100,60,<35;39>,{2101=1;gold=7000},{2101=1;gold=6000},<0.4;0.6>,3,<2;5>,70,2,{3=1},30
18,,,Treasure hunt in the fairyland,Truy tìm kho báu tại vùng đất thần tiên,Treasure hunt in the fairyland,ล่าขุมทรัพย์ในดินแดนเทพนิยาย,Berburu harta karun di negeri dongeng,Manghuli ng kayamanan sa engkantadong lupa,Mencari harta karun di tanah dongeng,,Accidentally obtained a treasure map pointing to a buried treasure somewhere on Mount Myouki  ,"Vô tình có được một bản đồ kho báu, chỉ dẫn kho báu được chôn cất ở một nơi nào đó trên núi Myouki",Accidentally obtained a treasure map pointing to a buried treasure somewhere on Mount Myouki  ,ได้แผนที่ขุมทรัพย์โดยบังเอิญ ชี้จุดสมบัติที่ฝังอยู่ที่ภูเขาเมียวกิ  ,Secara tidak sengaja mendapatkan peta harta karun yang menunjukkan lokasi harta yang terkubur di Gunung Myouki  ,Di sinasadyang makuha ang mapa ng kayamanan na nagtuturo sa isang nakabaong kayamanan sa Bundok Myouki  ,Secara tidak sengaja memperoleh peta harta karun yang menunjukkan lokasi harta di Gunung Myouki  ,,100,60,<35;39>,{2101=1;gold=7000},{2101=1;12=5},<0.4;0.6>,3,<3;4>,70,3,{1=1},30
19,,,The six relics,Sáu di vật,The six relics,วัตถุโบราณทั้งหก,Enam relik,Anim na relikya,Enam artifak,,"In a dream, received guidance from the Sage of Six Paths and found the location of the hidden red pot  ","Trong giấc mơ, nhận được chỉ dẫn của Sage of Six Paths và tìm thấy nơi chôn giấu của bình đỏ","In a dream, received guidance from the Sage of Six Paths and found the location of the hidden red pot  ",ในความฝัน ได้รับคำแนะนำจากเซียนหกวิถี และพบที่ซ่อนของหม้อแดง  ,"Dalam mimpi, menerima petunjuk dari Sage of Six Paths dan menemukan tempat tersembunyinya guci merah  ","Sa panaginip, nakatanggap ng gabay mula sa Sage of Six Paths at natagpuan ang taguan ng pulang banga  ","Dalam mimpi, menerima petunjuk dari Sage of Six Paths dan menemui tempat tersembunyinya periuk merah  ",2,100,120,<35;39>,{2101=2;gold=8750},{930=2;2101=2},<0.5;0.7>,3,<3;5>,70,1,{2=1},30
20,,,Rap training,Huấn luyện rap,Rap training,ฝึกแร็ป,Latihan rap,Pagsasanay sa rap,Latihan rap,,Compose rap with Killer Bee to improve your rapping skills  ,Sáng tác rap cùng Kirabi để nâng cao kỹ năng nói rap của bạn,Compose rap with Killer Bee to improve your rapping skills  ,แต่งเพลงแร็ปร่วมกับคิลเลอร์บีเพื่อฝึกทักษะการแร็ป  ,Buat lagu rap bersama Killer Bee untuk meningkatkan kemampuan rap-mu  ,Gumawa ng rap kasama si Killer Bee para gumaling sa pagra-rap  ,Cipta lagu rap bersama Killer Bee untuk meningkatkan kemahiran rap anda  ,2,100,120,<35;39>,{2101=2;gold=8750},{2101=2;gold=10000},<0.5;0.7>,3,<4;5>,70,2,{3=1},30
21,,,Capture the traitor,Bắt giữ kẻ phản bội,Capture the traitor,จับกุมผู้ทรยศ,Tangkap pengkhianat,Hulihin ang traydor,Tangkap pengkhianat,,Help the village capture the rogue ninja  ,Giúp làng bắt được ninja phản bội,Help the village capture the rogue ninja  ,ช่วยหมู่บ้านจับนินจาทรยศ  ,Bantu desa menangkap ninja pengkhianat  ,Tulungan ang nayon na mahuli ang traydor na ninja  ,Bantu kampung menangkap ninja yang mengkhianat  ,2,100,120,<35;39>,{2101=2;gold=8750},{2101=2;12=7},<0.5;0.7>,3,<1;2>,70,3,{1=1},30
22,,,Inspect villages,Kiểm tra làng mạc,Inspect villages,ตรวจตราหมู่บ้าน,Periksa desa,Suriin ang mga baryo,Periksa kampung,,Stroll around the village to make sure everything is okay  ,"Đi dạo quanh làng, kiểm tra mọi thứ có ổn không",Stroll around the village to make sure everything is okay  ,เดินตรวจตรารอบหมู่บ้านเพื่อดูว่าทุกอย่างเรียบร้อยดีไหม  ,Berjalan keliling desa untuk memeriksa apakah semuanya baik-baik saja  ,Mag-ikot sa nayon para tiyaking maayos ang lahat  ,Ronda-ronda di sekitar kampung untuk memastikan semuanya dalam keadaan baik  ,3,100,180,<35;39>,{2102=1;gold=10500},{930=3;2102=1},<0.6;0.8>,3,<1;3>,70,1,{2=1},30
23,,,Assist in grass cutting,Hỗ trợ cắt cỏ,Assist in grass cutting,ช่วยตัดหญ้า,Bantu potong rumput,Tumulong magputol ng damo,Bantu potong rumput,,The villagers' fields are overgrown with weeds and need many people to help remove them  ,"Cánh đồng của dân làng mọc đầy cỏ dại, cần rất nhiều người để giúp tiêu diệt cỏ dại",The villagers' fields are overgrown with weeds and need many people to help remove them  ,ทุ่งของชาวบ้านมีวัชพืชขึ้นเต็มไปหมด ต้องการคนมาช่วยกำจัด  ,"Ladang milik warga dipenuhi gulma, butuh banyak orang untuk membantu membersihkannya  ","Ang mga bukirin ng mga mamamayan ay tinubuan ng damo, kailangan ng maraming tao para tumulong  ","Ladang penduduk kampung penuh dengan rumput liar, perlukan ramai orang untuk membantu membersihkannya  ",3,100,180,<35;39>,{2102=1;gold=10500},{2102=1;gold=16000},<0.6;0.8>,3,<1;4>,70,2,{3=2},30
24,,,Escort horse cart,Hộ tống xe ngựa,Escort horse cart,คุ้มกันรถม้า,Mengawal kereta kuda,Eskortahan ang karwahe,Iringi kereta kuda,,Escort the trade caravan to the Cloud Village for a transaction  ,Hộ tống đoàn thương mại tới Làng Mây để giao dịch,Escort the trade caravan to the Cloud Village for a transaction  ,คุ้มกันขบวนค้าขายไปยังหมู่บ้านเมฆเพื่อทำการซื้อขาย  ,Kawal kafilah dagang ke Desa Awan untuk melakukan transaksi  ,I-escort ang karaban ng kalakalan papunta sa Cloud Village para makipagkalakalan  ,Iringi kafilah perdagangan ke Kampung Awan untuk urusan niaga  ,3,100,180,<35;39>,{2102=1;gold=10500},{2102=1;12=10},<0.6;0.8>,3,<1;5>,70,3,{2=2},30
25,,,Clean up bandit gang,Dọn dẹp băng cướp,Clean up bandit gang,จัดการกลุ่มโจร,Bersihkan geng bandit,Linisin ang grupo ng tulisan,Bersihkan kumpulan perompak,,"Bandits around the village have been active lately, investigate and eliminate them  ","Các tên cướp quanh làng gần đây hoạt động mạnh, đi điều tra nguyên nhân và tiêu diệt bọn cướp","Bandits around the village have been active lately, investigate and eliminate them  ",โจรบริเวณรอบหมู่บ้านเริ่มเคลื่อนไหวมากขึ้น ไปสืบหาสาเหตุและจัดการพวกมัน  ,"Para bandit di sekitar desa semakin aktif, selidiki dan basmi mereka  ","Ang mga tulisan sa paligid ng nayon ay aktibo nitong mga araw, imbestigahan at sugpuin sila  ","Perompak di sekitar kampung semakin aktif, selidik dan hapuskan mereka  ",4,100,240,<35;39>,{2102=2;gold=14000},{930=4;2102=2},<0.9;1.1>,4,<2;3>,70,1,{2=2},30
26,,,Infiltrate in disguise,Ngụy trang thâm nhập,Infiltrate in disguise,ปลอมตัวแทรกซึม,Menyusup dengan menyamar,Magbalatkayo at sumingit,Menyusup secara menyamar,,Use seduction skills to sneak into the women’s bathhouse and search for the lost intimate paradise  ,"Sử dụng kỹ năng quyến rũ để lẻn vào phòng tắm nữ, tìm kiếm thiên đường thân mật đã mất",Use seduction skills to sneak into the women’s bathhouse and search for the lost intimate paradise  ,ใช้เสน่ห์ลับลอบเข้าโรงอาบน้ำหญิง เพื่อตามหาสวรรค์ที่หายไป  ,Gunakan teknik rayuan untuk menyelinap ke pemandian wanita dan mencari surga yang hilang  ,Gamitin ang charm techniques para makalusot sa paliguan ng babae at hanapin ang nawawalang paraiso  ,Gunakan teknik godaan untuk menyusup masuk ke bilik mandi wanita dan cari syurga intim yang hilang  ,4,100,240,<35;39>,{2102=2;gold=14000},{2102=2;gold=20000},<0.9;1.1>,4,<2;4>,70,2,{3=2},30
27,,,Search for crafting materials,Tìm kiếm vật liệu,Search for crafting materials,ค้นหาวัสดุทำของ,Cari bahan kerajinan,Maghanap ng crafting materials,Cari bahan kraf,,Go to the frontline battlefield to find a ninja with a bloodline limit for Orochimaru  ,Đi đến chiến trường tiền tuyến để tìm kiếm ninja có giới hạn kế thừa máu cho Orochimaru,Go to the frontline battlefield to find a ninja with a bloodline limit for Orochimaru  ,เดินทางไปแนวหน้าสนามรบเพื่อตามหานินจาที่มีสายเลือดพิเศษให้โอโรจิมารุ  ,Pergi ke medan perang garis depan untuk mencari ninja dengan kekkei genkai untuk Orochimaru  ,Pumunta sa frontlines para hanapin ang ninja na may bloodline limit para kay Orochimaru  ,Pergi ke medan perang barisan hadapan untuk mencari ninja berdarah khas untuk Orochimaru  ,4,100,240,<35;39>,{2102=2;gold=14000},{2102=2;12=12},<0.9;1.1>,4,<2;5>,70,3,{2=2},30
28,,,Teach ninjutsu,Dạy ninjutsu,Teach ninjutsu,สอนนินจุตสึ,Ajarkan ninjutsu,Magturo ng ninjutsu,Ajarkan ninjutsu,,"Iruka-sensei is busy, you need to teach ninjutsu to Naruto and the others in his place","Iruka-sensei có việc bận, bạn cần thay ông ấy dạy ninjutsu cho Naruto và những người khác","Iruka-sensei is busy, you need to teach ninjutsu to Naruto and the others in his place",อิรุคะเซ็นเซไม่ว่าง คุณต้องสอนนินจุตสึให้กับนารูโตะและคนอื่นแทนเขา,"Iruka-sensei sedang sibuk, kamu harus menggantikannya mengajar ninjutsu kepada Naruto dan lainnya","Abala si Iruka-sensei, kailangan mong palitan siya sa pagtuturo ng ninjutsu kina Naruto at iba pa","Iruka-sensei sedang sibuk, anda perlu menggantikan beliau untuk mengajar ninjutsu kepada Naruto dan rakan-rakan",5,100,300,<35;39>,{2103=1;gold=17500},{930=5;2103=1},<1.1;1.3>,4,<3;4>,70,1,{2=2},30
29,,,Mountain climbing training,Huấn luyện leo núi,Mountain climbing training,ฝึกปีนเขา,Latihan panjat gunung,Pagsasanay sa pag-akyat ng bundok,Latihan mendaki gunung,,Climb mountains with Kakashi-sensei to help him recover,Leo núi cùng Kakashi-sensei để giúp ông ấy hồi phục cơ thể,Climb mountains with Kakashi-sensei to help him recover,ปีนเขากับคาคาชิเซ็นเซเพื่อช่วยให้เขาฟื้นฟูร่างกาย,Mendaki gunung bersama Kakashi-sensei untuk membantunya pulih,Umakyat ng bundok kasama si Kakashi-sensei upang matulungan siyang gumaling,Daki gunung bersama Kakashi-sensei untuk bantu beliau pulih,5,100,300,<35;39>,{2103=1;gold=17500},{2103=1;gold=30000},<1.1;1.3>,4,<3;5>,70,2,{3=2},30
30,,,Forbidden actions,Hành động bị cấm,Forbidden actions,การกระทำต้องห้าม,Tindakan terlarang,Bawal na kilos,Tindakan terlarang,,Learn forbidden techniques from the sealing scroll with Orochimaru’s help,Học các thuật cấm trong cuốn sách phong ấn dưới sự giúp đỡ của Orochimaru,Learn forbidden techniques from the sealing scroll with Orochimaru’s help,เรียนรู้วิชาต้องห้ามจากม้วนผนึกโดยมีโอโรจิมารุช่วยเหลือ,Pelajari jurus terlarang dari gulungan segel dengan bantuan Orochimaru,Matutunan ang mga ipinagbabawal na jutsu sa tulong ni Orochimaru,Belajar jutsu terlarang dalam gulungan terlarang dengan bantuan Orochimaru,5,100,300,<35;39>,{2103=1;gold=17500},{2103=1;12=15},<1.1;1.3>,4,<4;5>,70,3,{2=2},30
31,,,Search in lost area,Tìm kiếm nơi thất lạc,Search in lost area,ค้นหาในพื้นที่ที่หายไป,Cari di area yang hilang,Maghanap sa nawawalang lugar,Cari di kawasan yang hilang,,Help the Third Hokage recover a missing pipeline,Giúp Hokage Thứ Ba tìm lại ống dẫn bị mất,Help the Third Hokage recover a missing pipeline,ช่วยโฮคาเงะรุ่นที่สามตามหาเครื่องนำที่หายไป,Bantu Hokage Ketiga mencari pipa yang hilang,Tulungan ang Ikatlong Hokage hanapin ang nawawalang tubo,Bantu Hokage Ketiga mencari paip yang hilang,,100,60,<40;44>,{2101=1;gold=9000},{930=1;2101=1},<0.4;0.6>,3,<1;2>,70,1,{3=1},30
